process_id,Oper,master_desc,detail_desc,detail_id,remark,
	0008WAA18      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	0008WAA18      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA18      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA2       ,	2250,	Entity                                  ,	Other                                             ,	E22500199,	TEPLA                                   ,
	0008WAA2       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1680                                    ,
	0008WAA2       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	G                                       ,
	0008WAA2       ,	2080,	PTN No                                  ,	                                                  ,	R20800698,	66                                      ,
	0008WAA2       ,	2150,	PTN no                                  ,	                                                  ,	R21500198,	05                                      ,
	0008WAA2       ,	2250,	PTN no                                  ,	                                                  ,	R22500198,	15                                      ,
	0008WAA2       ,	2330,	PTN no                                  ,	                                                  ,	R23300398,	04                                      ,
	0008WAA2       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA2       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA2       ,	2200,	Support Entity                          ,	Heat block                                        ,	S22000102,	                                        ,
	0008WAA2       ,	2200,	Support Entity                          ,	Capillary(KNS)                                    ,	S22000103,	SU-22061-263E12                         ,
	0008WAA9       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WAA9       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA9       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA9       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WDAE001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WDAF001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WLAS001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WPRT001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WS201      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2880                                    ,
	0008WS201      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WS201      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS201      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS211      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-700                                  ,
	0008WS211      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-700                                  ,
	0008WS211      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-700                                  ,
	0008WS211      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2160                                    ,
	0008WS211      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS211      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS329      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WS329      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008WS329      ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008WS329      ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008WSA22      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WSA22      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WSA22      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA22      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA5       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100; DB-800; DB-700               ,
	0008WSA5       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100; DB-800; DB-700               ,
	0008WSA5       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	ESEC-2100; DB-800; DB-700               ,
	0008WSA5       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	3520                                    ,
	0008WSA5       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	A                                       ,
	0008WSA5       ,	2080,	PTN No                                  ,	                                                  ,	R20800698,	11                                      ,
	0008WSA5       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA5       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA5       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008WSA5       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008WSA6       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	360                                     ,
	0008WSA6       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008WSA6       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA6       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA7       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	360                                     ,
	0008WSA7       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008WSA7       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA7       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSMT001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA031       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA031       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA031       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA031       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA033       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA033       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA033       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA033       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA034       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA034       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA034       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA034       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA039       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA039       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA039       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA039       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA040       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA040       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA045       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA045       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA058       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA058       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA058       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA058       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA081       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA081       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA081       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	V                                       ,
	000IA081       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA081       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA085       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA085       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA089       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA089       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA114       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA114       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA116       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA116       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA125       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA125       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
