ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time,ent_weight
BB235,,UTC3000,ENG,R18NVUF49,,2200,345XTNV080,SC7800490U-00000-00055{SS,ANV345XTG002A,680,39499,2022/5/14 16:04,2022/5/14 16:04,PHISON,STBGA345NBC,00R18NVUF,PE,69.5439,,3000M,TA-A21,05/30/2022 SP,2200,1091A07C41,P,R18NVUF48,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,2022/5/14 18:12,2969.285714
BB441,,UTC1000S,WAIT-SETUP,R19BUB910,,2200,096EFBU001,IS46TR16128DL-125KBLA2-AS,ABU096EF2001A,4134,48768,2022/5/17 05:45,2022/5/17 06:41,ICSI,FBGA-96UEF,MRH255000Y1,M,271.2028,,3000M,TA-A3,,2200,1091A07T21,,R19BUB709,FBGA-96UEF,ICSI,ABU096EF2001A,1091A07T21,,271.2028,240.8959,2022/5/17 06:41,25105.96078
BB442,,UTC1000S,RUNNING,R18RKAI02,,2200,078EPRK003,Z32D-78ball{ARK-T},ARK078EP1001B,5960,25200,2022/5/15 15:02,2022/5/16 21:44,RK,FBGA-78UEP,JMC220426,,194.1381,,3000M,TA-A3,,2200,,,R18RKAE04,FBGA-78UEP,RK,ARK078EP1001B,1091A06C21,,194.1381,172.4432,2022/5/16 21:44,45783.5
BB443,,UTC1000S,RUNNING,R20ABSL05,,2200,060EMAB004,GAA112/LN/W971GG8NB-25,AAB060EM2001A,7737,76892,2022/5/16 23:10,2022/5/18 00:11,WINBOND,FBGA60UEM2-1,61456930053,,309.2533,,2000M,TA-A3,,2200,1091A07T21,,R20ABSU03,FBGA60UEM2-1,WINBOND,AAB060EM2001A,1091A07T21,,309.2533,274.6942,2022/5/18 00:11,14031.59167
BB444,,UTC1000S,IDLE,,,,,,AMS078EN1005A,,,2022/5/16 23:13,,,,,,,,3000M,TA-A3,,2200,,,R20MSE407,FBGA-78UEN,MTI,AMS078EN1005A,1091A06T21,,175.1896,155.6121,,
BB445,,UTC1000S,IDLE,,,,,,ACD054MF2003A,,,2022/5/17 07:13,,,,,,,,3000M,TA-A3,,2200,,,R20CDA603,MBGA54A2L,ETRON,ACD054MF2003A,1091A07T41,,308.1811,273.7419,,
BB446,,UTC1000S,ENG,R18AWBV02,,2200,064MRAW035,6656H-64XA10RYG3GP{A},AAW064MR1012A,4000,15680,2022/5/9 09:12,2022/5/9 09:12,MXIC,MBGA64J4U,5L562200,PE,242.9109,,3000M,TA-A3,,2200,,,R18RKA203,FBGA-78UEP,RK,ARK078EP1001B,1091A06C21,,242.9109,215.7656,2022/5/6 03:56,1965.475
BB447,,UTC1000S,RUNNING,R20CDAC06,,2200,054TNCD017,EDCE05FTS000-GC-5G-TR-HP2,ACD054TN1001A,2880,36230,2022/5/16 22:54,2022/5/17 11:19,ETRON,TSOP2-54ME,BTN592.13.1,,232.0865,,3000M,TA-A3,,2200,1091A07T21,,R20CDAC08,TSOP2-54ME,ETRON,ACD054TN1001A,1091A07T21,,232.0865,206.1508,2022/5/17 11:19,32585.075
BB448,,UTC1000S,IDLE,,,,,,AMS078EN1005A,,,2022/5/16 22:50,,,,,,,,1000M,TA-A3,,2200,,,R20MSE513,FBGA-78UEN,MTI,AMS078EN1005A,1091A06T21,,175.1896,155.6121,,
BB449,,UTC1000S,IDLE,,,,,,AAB178NN2001A,,,2022/5/16 15:24,,,,,,,,3000M,TA-A3,,2200,,,R19ABFN11,VFBGA178JEU,WINBOND,AAB178NN2001A,1091A07T21,,132.725,117.893,,
BB450,,UTC1000S,RUNNING,R20MSEL12,,2200,048TWMS080,M70M1WP1CMS3423,AMS048TW1065A,2160,40594,2022/5/17 04:54,2022/5/17 10:35,MTI,TSOP1-48AM,908146.006,,380.2036,,3000M,TA-A3,,2200,1091A07T41,,R20AWB805,MINIBGA24A3L,MXIC,AAW024MA6018B,1091A09T41,,380.2036,337.7158,2022/5/17 10:35,33837.89524
BB451,,UTC1000S,IDLE,,,,,,ABU078EA1001A,,,2022/5/16 16:14,,,,,,,,3000M,TA-A3,,2200,,,R20BUA405,FBGA-78LEA,ICSI,ABU078EA1001A,1091A07C21,,300.7119,267.1074,,
BB452,,UTC1000S,IDLE,,,,,,AMS078EN1005A,,,2022/5/17 05:39,,,,,,,,3000M,TA-A3,,2200,,,R20MSE314,FBGA-78UEN,MTI,AMS078EN1005A,1091A06T21,,175.1896,155.6121,,
BB453,,UTC1000S,RUNNING,R20BUAQ01,,2200,096EFBU001,IS46TR16128DL-125KBLA1-AS,ABU096EF2001A,4960,23509,2022/5/16 15:27,2022/5/17 09:44,ICSI,FBGA-96UEF,MRH078000Y1,,271.2028,,3000M,TA-A3,,2200,1091A07T21,,R19BUB708,FBGA-96UEF,ICSI,ABU096EF2001A,1091A07T21,,271.2028,240.8959,2022/5/17 09:44,25105.96078
BB454,,UTC1000S,RUNNING,R20MSEL16,,2200,048TWMS080,M70M1WP1CMS3423,AMS048TW1065A,2160,40594,2022/5/17 03:11,2022/5/17 08:52,MTI,TSOP1-48AM,908146.006,,380.2036,,3000M,TA-A3,05/17/2022 MP,2200,1091A07T41,,R20AWB806,MINIBGA24A3L,MXIC,AAW024MA6018B,1091A09T41,,380.2036,337.7158,2022/5/17 08:52,33837.89524
BB455,,UTC1000S,RUNNING,R20ABVL03,,2200,096EFAB009,GAA103/LN/W634GG6NB-09,AAB096EF3001A,2326,24740,2022/5/17 04:16,2022/5/17 14:39,WINBOND,FBGA96UEF3-2,62061C000,,224.1817,,3000M,TA-A3,05/18/2022 MP,2200,1091A07T21,,R20ABUJ05,FBGA96UEF3-2,WINBOND,AAB096EF3001A,1091A07T21,,224.1817,199.1294,2022/5/17 14:39,3505.933333
BB456,,UTC1000S,WAIT-SETUP,R20BUBN06,,2200,054MFBU004,IS42S16800F-7BLI-AS,BU054MF1002A,3861,78794,2022/5/17 06:53,2022/5/17 16:57,ICSI,MINIBGA54A4,BTN409000Y1,M,301.7539,,3000M,TA-A3,05/19/2022 MP,2200,1091A09C21,,R20BUAK16,MINIBGA54A4,ICSI,BU054MF1002A,1091A09C21,,301.7539,268.0329,2022/5/17 16:57,8830.083333
BB457,,UTC1000S,RUNNING,R20BUAB01,,2200,096EFBU002,IS43TR16256B-125KBL-AS,ABU096EF2002A,4987,4987,2022/5/16 15:09,2022/5/17 13:59,ICSI,FBGA-96UEF,MRH122230Y1,,218.2585,,3000M,TA-A3,05/20/2022 MP,2200,,,R20BUA901,FBGA-96UEF,ICSI,ABU096EF2002A,1091A07T21,,218.2585,193.8681,2022/5/17 13:59,5968
BB458,,UTC1000S,IDLE,,,,,,AAB096EL1003A,,,2022/5/16 16:06,,,,,,,,3000M,TA-A3,05/21/2022 MP,2200,,,R20ABRV04,FBGA96UEL(2),WINBOND,AAB096EL1003A,1091A07T21,,243.0216,215.8639,,
BB459,,UTC1000S,IDLE,,,,,,ABU096EF2002A,,,2022/5/17 06:26,,,,,,,,3000M,TA-A3,05/22/2022 MP,2200,,,R20BUA801,FBGA-96UEF,ICSI,ABU096EF2002A,1091A07T21,,218.2585,193.8681,,
BB460,,UTC1000S,RUNNING,R20MSJ602,,2200,096ECMS003,V89C JT1X16 C753EE,AMS096EC1002A,5573,40269,2022/5/17 07:03,2022/5/18 02:49,MTI,FBGA-96UEC,1087436.006,,281.9699,,3000M,TA-A8,05/23/2022 MP,2200,,,R19MSHQ04,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,,281.9699,250.4597,2022/5/18 02:49,65135.70833
BB461,,UTC1000S,IN-REPAIR,R20CDA102,,2200,054MFCD002,EDC305FBM0F0-GL-6IH-DP-00,ACD054MF2001A,6109,41129,2022/5/17 07:52,2022/5/17 09:33,ETRON,MBGA54A2L,BTN965.11.1,B2,315.7495,,3000M,TA-A4,05/24/2022 MP,2200,,,R19ABFL18,VFBGA178JEU,WINBOND,AAB178NN2001A,1091A07T21,,315.7495,280.4645,2022/5/17 09:33,18776.85833
BB462,,UTC1000S,RUNNING,R20MSE705,,2200,078ENMS017,Z41C1SA8CMS4454{Thick Ni},AMS078EN1005A,3560,58909,2022/5/17 00:19,2022/5/17 20:39,MTI,FBGA-78UEN,551927L.00L,,175.1896,,3000M,TA-A4,05/25/2022 MP,2200,,,R20MSE317,FBGA-78UEN,MTI,AMS078EN1005A,1091A06T21,,175.1896,155.6121,2022/5/17 20:39,29386.09942
BB463,,UTC1000S,RUNNING,R20MSEJ11,,2200,048TWMS080,M70M1WP1CMS3423,AMS048TW1065A,2160,38145,2022/5/17 03:15,2022/5/17 08:56,MTI,TSOP1-48AM,898006.006,,380.2036,,3000M,TA-A4,05/26/2022 MP,2200,1091A07T41,,R18YZBS12,FBGA-96UEI,ZJP,AYZ096EI1002A,1091A07T21,,380.2036,337.7158,2022/5/17 08:56,33837.89524
BB465,,UTC1000S,RUNNING,R20MSEM11,,2200,048TWMS080,M70M1WP1CMS3423,AMS048TW1065A,2160,40849,2022/5/17 07:06,2022/5/17 12:47,MTI,TSOP1-48AM,910136.006,,380.2036,,3000M,TA-A4,05/27/2022 MP,2200,1091A07T41,,R20MSEM04,TSOP1-48AM,MTI,AMS048TW1065A,1091A07T41,,380.2036,337.7158,2022/5/17 12:47,33837.89524
