ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R14ABKX01,3400,024XJAB025,AAB024XJ6011A,22-04-06 13:21,22-04-06 06:07,WINBOND,STBGA24D6U,5854,,1091A07T21,,R14ABKY01,STBGA24D6U,WINBOND,AAB024XJ6011A,1091A07T21,1077.1637,22-04-06 13:21,3400
BB212,UTC3000,RUNNING,R14CDB703,2200,096EFCD001,ACD096EF2001B,22-04-06 14:37,22-04-05 19:53,ETRON,FBGA-96UEF,4920,,1091A07T41,,R14CDB503,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,262.6932,22-04-06 14:37,2200
BB213,UTC3000,SETUP,,,,ATM132X2B002A,22-04-06 09:42,22-04-06 07:42,,,,,,,R14MSBV05,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,98.7722,,2200
BB214,UTC3000,SETUP,,,,AAB024MA6020A,22-04-06 09:14,22-04-06 07:50,,,,,,,R14CDB704,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,1720.7505,,2200
BB215,UTC3000,RUNNING,R14ABK306,3200,162KEAB011,AAB162KE1006A,22-04-06 13:36,22-04-06 06:15,WINBOND,STBGA162B4U,769,,,,R14ABD302,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-04-06 13:36,3200
BB216,UTC3000,ENG,,,,AAB054NB6004A,22-04-06 07:37,22-04-06 07:37,,,,04/06/2022 SP,,,R14MSBU02,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,316.1826,,2200
BB217,UTC3000,IDLE,,,,ANV132X2C059A,,22-04-06 07:20,,,,04/07/2022 SP,,,R14NVPN08,STBGA132G4VT,PHISON,ANV132X2C059A,1091A06C41,112.6849,,2200
BB218,UTC3000,IDLE,,,,ACD096EF2001B,,22-04-05 22:37,,,,04/08/2022 SP,,,R14CDB705,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,262.6932,,2200
BB219,UTC3000,ENG,R14NVPN08,2200,132X2NV158,ANV132X2C059A,22-04-06 06:28,22-04-06 06:28,PHISON,STBGA132G4VT,1121,04/09/2022 SP,1091A06C41,,R14NVPN11,STBGA132G4VT,PHISON,ANV132X2C059A,1091A06C41,112.6849,22-04-06 11:57,2200
BB220,UTC3000,ENG,R14CDC503,2200,084UCCD007,ACD084CC2003A,22-04-06 02:37,22-04-06 02:37,ETRON,FBGA-84UC(2),3885,04/10/2022 SP,,,R13OKL612,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,378.2577,22-04-06 07:46,2200
BB221,UTC3000,ENG,R14NVPN03,2200,132X2NV158,ANV132X2C059A,22-04-06 06:28,22-04-06 06:28,PHISON,STBGA132G4VT,1180,04/11/2022 MP,1091A06C41,,R13OKL608,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,112.6849,22-04-05 15:40,2200
BB222,UTC3000,ENG,R14CDCB01,2200,084UCCD007,ACD084CC2003A,22-04-06 02:38,22-04-06 02:38,ETRON,FBGA-84UC(2),5600,04/12/2022 MP,1091A07T41,,R13OKL613,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,378.2577,22-04-06 11:56,2200
