process_id,Oper,master_desc,detail_id,remark
000IA040,2010,Entity Code,R20100698,Y
000IA045,2070,Lot Size,O20700198,999999
000IA045,2010,Entity Code,R20100698,Y
000IA058,2070,Lot Size,O20700198,999999
000IA058,2010,Entity Code,R20100698,Y
000IA058,2040,Support Entity,S20400102,
000IA058,2040,Support Entity,S20400102,
000IA066,2022,PTN No,O20220198,12
000IA066,2070,Lot Size,O20700198,999999
000IA066,2010,Entity Code,R20100698,X
000IA075,2070,Lot Size,O20700198,999999
000IA075,2010,Entity Code,R20100698,Y
000IA075,2040,Support Entity,S20400102,
000IA075,2040,Support Entity,S20400102,
000IA081,2022,PTN No,O20220198,12
000IA081,2070,Lot Size,O20700198,999999
000IA081,2010,Entity Code,R20100698,V
000IA081,2040,Support Entity,S20400102,
000IA081,2040,Support Entity,S20400102,
000IA085,2070,Lot Size,O20700198,999999
000IA085,2010,Entity Code,R20100698,Y
000IA089,2070,Lot Size,O20700198,999999
000IA089,2010,Entity Code,R20100698,Y
000IA104,2022,PTN No,O20220198,12
000IA104,2070,Lot Size,O20700198,999999
000IA104,2010,Entity Code,R20100698,X
000IA114,2070,Lot Size,O20700198,999999
000IA114,2010,Entity Code,R20100698,Y
000IA116,2070,Lot Size,O20700198,999999
000IA116,2010,Entity Code,R20100698,Y
000IA119,2022,PTN No,O20220198,12
000IA119,2070,Lot Size,O20700198,999999
000IA119,2010,Entity Code,R20100698,V
000IA119,2040,Support Entity,S20400102,
000IA119,2040,Support Entity,S20400102,
000IA125,2070,Lot Size,O20700198,999999
000IA125,2010,Entity Code,R20100698,Y
000IA125,2040,Support Entity,S20400102,
000IA125,2040,Support Entity,S20400102,
000IA132,2070,Lot Size,O20700198,999999
000IA132,2010,Entity Code,R20100698,C
000IA132,2040,Support Entity,S20400199,Dual
000IA132,2040,Support Entity,S20400199,Dual
000IA138,2070,Lot Size,O20700198,999999
000IA138,2010,Entity Code,R20100698,Y
000IA138,2040,Support Entity,S20400102,
000IA138,2040,Support Entity,S20400102,
000IA143,2070,Lot Size,O20700198,999999
000IA143,2010,Entity Code,R20100698,Y
000IA146ENG,2070,Lot Size,O20700198,999999
000IA146ENG,2010,Entity Code,R20100698,Y
000IA146ENG,2040,Support Entity,S20400102,
000IA146ENG,2040,Support Entity,S20400102,
000IA147,2070,Lot Size,O20700198,999999
000IA147,2010,Entity Code,R20100698,Y
000IA149,2070,Lot Size,O20700198,999999
000IA149,2010,Entity Code,R20100698,Y
000IA149,2040,Support Entity,S20400102,
000IA149,2040,Support Entity,S20400102,
000IA162,2022,PTN No,O20220198,12
000IA162,2070,Lot Size,O20700198,999999
000IA162,2010,Entity Code,R20100698,X
000IA162,2040,Support Entity,S20400199,Dual
000IA162,2040,Support Entity,S20400199,Dual
000IA163,2022,PTN No,O20220198,12
000IA163,2070,Lot Size,O20700198,999999
000IA163,2010,Entity Code,R20100698,C
000IA163,2040,Support Entity,S20400102,
000IA163,2040,Support Entity,S20400102,
000IA173,2070,Lot Size,O20700198,999999
000IA173,2010,Entity Code,R20100698,Y
000IA173,2040,Support Entity,S20400102,
000IA173,2040,Support Entity,S20400102,
000IA184,2022,PTN No,O20220198,12
000IA184,2070,Lot Size,O20700198,999999
000IA184,2010,Entity Code,R20100698,C
000IA184,2040,Support Entity,S20400102,
000IA184,2040,Support Entity,S20400102,
000IA190,2022,PTN No,O20220198,12
000IA190,2070,Lot Size,O20700198,999999
000IA190,2010,Entity Code,R20100698,C
000IA190,2040,Support Entity,S20400102,
000IA190,2040,Support Entity,S20400102,
000IA192,2070,Lot Size,O20700198,999999
000IA192,2010,Entity Code,R20100698,Y
000IA192,2040,Support Entity,S20400102,
000IA192,2040,Support Entity,S20400102,
000IA193,2070,Lot Size,O20700198,999999
000IA193,2010,Entity Code,R20100698,Y
000IA203,2022,PTN No,O20220198,12
000IA203,2070,Lot Size,O20700198,999999
000IA203,2010,Entity Code,R20100698,C
000IA203,2040,Support Entity,S20400102,
000IA203,2040,Support Entity,S20400102,
000IA214,2022,PTN No,O20220198,12
000IA214,2070,Lot Size,O20700198,999999
000IA214,2010,Entity Code,R20100698,X
000IA216,2070,Lot Size,O20700198,999999
000IA216,2010,Entity Code,R20100698,Y
000IA216,2040,Support Entity,S20400102,
000IA216,2040,Support Entity,S20400102,
000IA220,2070,Lot Size,O20700198,999999
000IA220,2010,Entity Code,R20100698,Y
000IA220,2040,Support Entity,S20400102,
000IA220,2040,Support Entity,S20400102,
000IA232,2070,Lot Size,O20700198,999999
000IA232,2010,Entity Code,R20100698,Y
000IA235,2070,Lot Size,O20700198,999999
000IA235,2010,Entity Code,R20100698,Y
000IA235,2040,Support Entity,S20400102,
000IA235,2040,Support Entity,S20400102,
000IA236,2022,PTN No,O20220198,12
000IA236,2070,Lot Size,O20700198,999999
000IA236,2010,Entity Code,R20100698,C
000IA236,2040,Support Entity,S20400102,
000IA236,2040,Support Entity,S20400102,
000IA250,2022,PTN No,O20220198,12
000IA250,2070,Lot Size,O20700198,999999
000IA250,2010,Entity Code,R20100698,X
000IA250,2040,Support Entity,S20400102,
000IA250,2040,Support Entity,S20400102,
000IA251,2022,PTN No,O20220198,12
000IA251,2070,Lot Size,O20700198,999999
000IA251,2010,Entity Code,R20100698,C
000IA251,2040,Support Entity,S20400102,
000IA251,2040,Support Entity,S20400102,
000IA259,2070,Lot Size,O20700198,999999
000IA259,2010,Entity Code,R20100698,Y
000IA278,2022,PTN No,O20220198,12
000IA278,2070,Lot Size,O20700198,999999
000IA278,2010,Entity Code,R20100698,T
000IA278,2040,Support Entity,S20400102,
000IA278,2040,Support Entity,S20400102,
000IA281,2022,PTN No,O20220198,12
000IA281,2070,Lot Size,O20700198,999999
000IA281,2010,Entity Code,R20100698,C
000IA281,2040,Support Entity,S20400102,
000IA281,2040,Support Entity,S20400102,
000IA289,2022,PTN No,O20220198,12
000IA289,2070,Lot Size,O20700198,999999
000IA289,2010,Entity Code,R20100698,C
000IA289,2040,Support Entity,S20400102,
000IA289,2040,Support Entity,S20400102,
000IA298,2022,PTN No,O20220198,12
000IA298,2070,Lot Size,O20700198,999999
000IA298,2010,Entity Code,R20100698,N
000IA298,2040,Support Entity,S20400102,
000IA298,2040,Support Entity,S20400102,
000IA310,2070,Lot Size,O20700198,999999
000IA310,2010,Entity Code,R20100698,T
000IA312,2022,PTN No,O20220198,12
000IA312,2070,Lot Size,O20700198,999999
000IA312,2010,Entity Code,R20100698,C
000IA313,2070,Lot Size,O20700198,999999
000IA313,2010,Entity Code,R20100698,Y
000IA317,2070,Lot Size,O20700198,999999
000IA317,2010,Entity Code,R20100698,Y
000IA325,2070,Lot Size,O20700198,999999
000IA325,2010,Entity Code,R20100698,Y
000IA325,2040,Support Entity,S20400102,
000IA325,2040,Support Entity,S20400102,
000IA333,2070,Lot Size,O20700198,999999
000IA333,2040,Support Entity,S20400102,
000IA333,2040,Support Entity,S20400102,
000IA353,2022,PTN No,O20220198,12
000IA353,2070,Lot Size,O20700198,999999
000IA353,2010,Entity Code,R20100698,Y
