ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB211,0,UTC3000,SETUP,,,,,,ANV345XTG001A,,,22-02-08 07:37,22-02-08 09:01,,,,UMC,,,3000M,TA-A20,,3200,,,R06AWAP03,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,,73.5056,65.2914,
BB212,0,UTC3000,RUNNING,R06MSEU04,,2200,096ECMS003,V89C JT1X16 C753EE{A},AMS096EC1002A,5600,40341,22-02-08 01:57,22-02-08 19:25,MTI,FBGA-96UEC,1022136.006,,320.6464,,3000M,TA-A19,,2200,1091A06T41,,R06MSE105,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,,320.6464,284.8141,22-02-08 19:25
BB213,0,UTC3000,RUNNING,R06AWAP11,,2200,048TPAW056,6309G-48TBAIY1BG99,AAW048TP1024D,2160,46031,22-02-08 03:47,22-02-08 08:46,MXIC,TSOP1-48/48M,8J655500A1,,433.8075,,3000M,TA-A19,,2200,1091A08T41,,R06AWAP08,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,,433.8075,385.3295,22-02-08 08:46
BB214,0,UTC3000,RUNNING,R05AWA404,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,33982,22-02-08 05:17,22-02-08 14:34,MXIC,TSOP1-48/M2,T1220069,,77.5263,,3000M,TA-A19,,2200,1091A08T41,,R04AWDA25,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,22-02-08 14:34
BB215,0,UTC3000,ENG,,,,,,ABU024XJ6003A,,,22-02-08 07:29,22-02-08 07:29,,,,PE,,,3000M,TA-A19,02/08/2022 MP,3200,,,R05VGE601,STBGA24J4U,ISSI-VG,ABU024XJ6003A,1091A07T41,,498.1971,442.5236,
BB216,0,UTC3000,RUNNING,P46UKT303,,2200,012DNUK014,QMA7981-HCAAY,AUK012DN2003A,24000,98087,22-02-08 05:43,22-02-09 04:25,QST,LGA12CBP,1B2B,,1057.7735,,3000M,TA-A19,02/09/2022 MP,2200,1091A07C41,,P46UKT301,LGA12CBP,QST,AUK012DN2003A,1091A07C41,,1057.7735,939.5673,22-02-09 04:25
BB217,0,UTC3000,RUNNING,R06MSG107,,2200,096ECMS003,V89C JT1X16 C753EE,AMS096EC1002A,1586,34867,22-02-08 03:17,22-02-08 08:18,MTI,FBGA-96UEC,1010236.006,,320.6464,,2000M,TA-A20,02/10/2022 MP,2200,,,R06MSG308,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,,320.6464,284.8141,22-02-08 08:18
BB218,0,UTC3000,RUNNING,R06MSAT02,,2200,078EPMS003,Z32D1JC8CMS3712{S},AMS078EP1001A,6000,20326,22-02-07 19:59,22-02-08 19:09,MTI,FBGA-78UEP,589253K.00K,,258.9276,,1000M,TA-A20,02/11/2022 MP,2200,,,R05MSL401,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,258.9276,229.9924,22-02-08 19:09
BB219,0,UTC3000,RUNNING,R03NVBK09,,2200,345XTNV080,SC7800490U-00000-00006{SS,ANV345XTG002A,682,10897,22-02-08 06:21,22-02-08 16:10,PHISON,STBGA345NBC,00R03NVBK,,69.5439,,3000M,TA-A20,02/12/2022 MP,2200,1091A07C41,P,R03NVBK05,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,22-02-08 16:10
BB220,0,UTC3000,RUNNING,R06MSBJ02,,2200,078EPMS003,Z32D1JC8CMS3712{S},AMS078EP1001A,5920,16500,22-02-07 13:37,22-02-08 12:29,MTI,FBGA-78UEP,591002K.00K,,258.9276,,3000M,TA-A20,02/13/2022 MP,2200,,,R05MSL901,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,258.9276,229.9924,22-02-08 12:29
