bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	2,	2070,	1071P10764               ,	0.000,	15.000,	,	          ,	                                        ,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	3,	2200,	1091A08T41               ,	0.000,	0.150,	12        ,	          ,	,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	4,	2300,	1081G700L1               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	5,	3720,	1011CA104A               ,	0.014,	0.800,	,	          ,	,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	2,	2070,	120100155A               ,	0.000,	3.400,	0.152     ,	          ,	8/10 15變更LF供應商(Shinko)             ,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA295A               ,	0.014,	0.800,	,	          ,	,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	OK008601  ,	 C,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	靜電金屬袋回貨                          ,
	OK008601  ,	 C,	2021/11/5 上午 12:00:00,	2,	2070,	120100022A               ,	0.000,	3.400,	0.152     ,	          ,	1230BALLSN0000A                         ,
	OK008601  ,	 C,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA254A               ,	0.014,	0.800,	,	          ,	,
	OK008601  ,	 C,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	IA000140  ,	 A,	2021/1/8 上午 12:00:00,	1,	3720,	1011CA349A               ,	0.008,	0.800,	4/500     ,	          ,	                                        ,
	IA000015  ,	 B,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA201B               ,	0.008,	0.800,	,	          ,	20170914001 PJ改用量                    ,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	1,	2070,	1071F76004               ,	0.000,	14.000,	,	          ,	                                        ,
