ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB211,0,UTC3000,RUNNING,R07CDAF01,,2200,054TNCD026,EDEF10FTS000-GC-6G-DP-E10,ACD054TN1002B,2880,19455,22-02-15 23:26,22-02-16 12:07,ETRON,TSOP2-54ME,BTH358.26.1,,226.9653,,3000M,TA-A20,,2200,1091A07T21,,R07CDAD09,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,,226.9653,201.6019,22-02-16 12:07
BB212,0,UTC3000,RUNNING,R07BUAX01,,2200,096EABU001,IS46TR16512B-125KBLA1-AS,ABU096EA1001A,2600,10098,22-02-15 21:53,22-02-16 10:06,ICSI,FBGA-96LEA,MRD592000Y1,,212.7460,,3000M,TA-A19,,2200,1091A07C21,,R07BUAY01,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,,212.746,188.9716,22-02-16 10:06
BB213,0,UTC3000,SETUP,R07AWB515,,2200,048TPAW056,6309G-48TBAJY1BJ98,AAW048TP1024D,2160,47595,22-02-16 07:32,22-02-16 08:02,MXIC,TSOP1-48/48M,8J731200A1,CC,433.8075,,3000M,TA-A19,,2200,1091A08T41,,R07AWB503,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,,433.8075,385.3295,22-02-16 09:36
BB214,0,UTC3000,RUNNING,R07AWC524,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34105,22-02-16 00:58,22-02-16 10:15,MXIC,TSOP1-48/M2,T1220149,,77.5263,,3000M,TA-A19,,2200,1091A08T41,,R07AWAF40,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,22-02-16 10:15
BB215,0,UTC3000,SETUP,,,,,,ANV345XTG001A,,,22-02-16 07:45,22-02-16 09:09,,,,UMC,,,3000M,TA-A19,,3400,,,R03NVBN06,STBGA345NBC,PHISON,ANV345XTG001A,1091A07C41,,73.5056,65.2914,
BB216,0,UTC3000,RUNNING,R07AWC521,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34105,22-02-16 00:59,22-02-16 10:16,MXIC,TSOP1-48/M2,T1220149,,77.5263,,3000M,TA-A19,,2200,1091A08T41,,R07AWC126,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,22-02-16 10:16
BB217,0,UTC3000,RUNNING,R07BUAX04,,2200,096EABU001,IS46TR16512B-125KBLA1-AS,ABU096EA1001A,2358,10098,22-02-15 23:34,22-02-16 10:39,ICSI,FBGA-96LEA,MRD592000Y1,,212.7460,,2000M,TA-A20,,2200,1091A07C21,,R07BUAY03,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,,212.746,188.9716,22-02-16 10:39
BB218,0,UTC3000,RUNNING,R04NVCJ02,,2200,345XTNV086,SC7800490S-00000-00012{SS,ANV345XTB029A,650,2140,22-02-15 20:02,22-02-16 03:52,PHISON,STBGA345SBC,00R04NVCJ,,82.9764,,1000M,TA-A20,,2200,1091A07C41,E,R04NVCJ03A,STBGA345SBC,PHISON,ANV345XTB029A,1091A07C41,,82.9764,73.7038,22-02-16 03:52
BB219,0,UTC3000,RUNNING,R07CDA301,,2200,054TNCD027,EDEF10FTS000-GN-5IG-E2-00,ACD054TN1002B,2880,8111,22-02-14 03:52,22-02-16 09:47,ETRON,TSOP2-54ME,BTH356.21.1,,226.9653,,3000M,TA-A20,,2200,1091A07T21,,R07CDAD05,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,,226.9653,201.6019,22-02-16 09:47
BB220,0,UTC3000,RUNNING,R07AWB520,,2200,048TPAW056,6309G-48TBAJY1BJ98,AAW048TP1024D,2160,47595,22-02-16 02:41,22-02-16 07:40,MXIC,TSOP1-48/48M,8J731200A1,,433.8075,,3000M,TA-A20,,2200,1091A08T41,,R07AWB508,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,,433.8075,385.3295,22-02-16 07:40
BB221,0,UTC3000,RUNNING,R07BUAX02,,2200,096EABU001,IS46TR16512B-125KBLA1-AS,ABU096EA1001A,2600,10098,22-02-15 22:15,22-02-16 10:28,ICSI,FBGA-96LEA,MRD592000Y1,,212.7460,,3000M,TA-A20,,2200,1091A07C21,,R07BUAW01,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,,212.746,188.9716,22-02-16 10:28
BB222,0,UTC3000,RUNNING,R07AWB522,,2200,048TPAW056,6309G-48TBAJY1BJ98,AAW048TP1024D,2160,47595,22-02-16 04:24,22-02-16 09:23,MXIC,TSOP1-48/48M,8J731200A1,,433.8075,,3000M,TA-A20,,2200,1091A08T41,,R07AWB501,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,,433.8075,385.3295,22-02-16 09:23
BB223,0,UTC3000,RUNNING,R08MSKG04,,2200,096ECMS010,V00H TW1 X16 9FA552,AMS096EC3001B,1736,18437,22-02-16 01:55,22-02-16 08:19,MTI,FBGA-96UEC,231649B.01L,,273.6119,,3000M,TA-A20,02/16/2022 MP,2200,,,R07MSK208,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,,273.6119,243.0358,22-02-16 08:19
BB224,0,UTC3000,RUNNING,R07AWB514,,2200,048TPAW056,6309G-48TBAJY1BJ98,AAW048TP1024D,2160,47595,22-02-16 07:00,22-02-16 11:59,MXIC,TSOP1-48/48M,8J731200A1,,433.8075,,3000M,TA-A20,02/17/2022 MP,2200,1091A08T41,,R07AWB512,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,,433.8075,385.3295,22-02-16 11:59
BB225,0,UTC3000,RUNNING,R08MSKL04,,2200,096ECMS010,V00H TW1 X16 9FA552,AMS096EC3001B,5543,36768,22-02-16 02:03,22-02-16 22:19,MTI,FBGA-96UEC,237063B.00L,,273.6119,,3000M,TA-A12,02/18/2022 MP,2200,1091A06T21,,R07MSG804,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,,273.6119,243.0358,22-02-16 22:19
BB226,0,UTC3000,RUNNING,R07CDAG09,,2200,054TNCD026,EDEF10FTS000-GC-6G-DP-E10,ACD054TN1002B,2880,28733,22-02-16 06:26,22-02-16 19:07,ETRON,TSOP2-54ME,BTH358.27.1,,226.9653,,3000M,TA-A20,02/19/2022 MP,2200,,,R07CDAD13,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,,226.9653,201.6019,22-02-16 19:07
BB227,0,UTC3000,WAIT-REPAIR,R03NVBN01,,3400,345XTNV079,SC7800490S-00000-00009{SS,ANV345XTG001A,616,4838,22-02-16 07:56,22-02-16 11:23:15,PHISON,STBGA345NBC,00R03NVBN,E2,147.6873,,3000M,TA-A20,02/20/2022 MP,3400,1091A07C41,4P,R07AWC125,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,73.5056,65.2914,22-02-16 11:23
BB228,0,UTC3000,RUNNING,R07CDAG04,,2200,054TNCD026,EDEF10FTS000-GC-6G-DP-E10,ACD054TN1002B,2880,28733,22-02-16 04:08,22-02-16 16:49,ETRON,TSOP2-54ME,BTH358.27.1,,226.9653,,3000M,TA-A20,02/21/2022 MP,2200,,,R07CDAF04,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,,226.9653,201.6019,22-02-16 16:49
BB229,0,UTC3000,RUNNING,R07VGAX02,,2200,024XJVG009,IS25LP512M-RHLE{U},ABU024XJ6003A,1512,13672,22-02-16 06:50,22-02-16 09:57,ISSI-VG,STBGA24J4U,PPJ027Y2,,498.1971,,3000M,TA-A20,02/22/2022 MP,2200,1091A07T41,4,R07VGAJ02,STBGA24J4U,ISSI-VG,ABU024XJ6003A,1091A07T41,,498.1971,442.5236,22-02-16 09:57
BB230,0,UTC3000,SETUP,,,,,,ANV345XTG002A,,,22-02-16 07:44,22-02-16 09:08,,,,UMC,,,3000M,TA-A21,02/23/2022 MP,3400,,,R07AWAL03,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,69.5439,61.7724,
