,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
103,ABW072AF1004B,2200,TB-U,4.989,2.0,2.0,2.0
104,ACD054MF2003A,2200,TA-1,37.854,5.0,5.0,5.0
105,ACD054MF2003A,2200,TA-2,12.335,2.0,3.0,6.0
106,ACD054TN1001A,2200,TA-1,34.233,6.0,6.0,6.0
107,ACD054TN1001A,2200,TA-2,8.64,2.0,2.0,2.0
108,ACD084CC2002A,2200,TA-1,16.8,3.0,3.0,0.0
109,ACD084CC2002A,2200,TA-3,14.685,3.0,3.0,2.0
110,ACD084CC2003A,2200,TA-3,3.587,0.0,0.0,2.0
111,ACD096EF2001B,2200,TA-2,8.33,2.0,2.0,2.0
112,ACD096EF2001B,2200,TA-3,28.22,6.0,6.0,7.0
113,AGA134KM1001A,2200,TA-2,0.19,0.0,0.0,0.5
114,AHQ0223R1001B,2200,TB-I,18.852,0.0,0.0,6.0
115,AHQ0225N1002A,2200,TB-IP,10.957,1.0,1.0,3.0
116,AHQ0345V1001A,3200,TB-I,6.702,3.0,3.0,0.0
117,AHQ0415L1003B,2200,TB-I,4.421,2.0,2.0,2.0
118,AHQ0415L1003B,2200,TB-R,5.506,3.0,3.0,3.0
119,AHQ0442J3003A,2200,TB-I,2.324,0.0,0.0,3.0
120,AHQ0442J3003A,2200,TB-R,5.981,0.0,0.0,1.0
121,AHQ0442J3005A,2200,TB-R,26.17,2.0,2.0,5.0
122,AHQ0442J3005A,3200,TB-R,0.0,3.0,0.0,0.0
123,AHQ0442J3006A,2200,TB-I,2.4,0.0,0.0,1.0
124,AHQ0442J3006A,2200,TB-R,30.102,2.0,2.0,9.0
125,AHQ0442J3006A,3200,TB-IP,9.416,0.0,0.0,1.0
126,AHQ0442J3006A,3200,TB-R,16.4,7.0,7.0,0.0
127,AHQ0442J4004A,3200,TB-I,0.263,1.0,1.0,0.0
128,ALW078C93001A,2200,TA-3,0.0,2.0,1.0,0.0
129,ALW078C93001A,2200,TA-P,0.0,2.0,0.0,0.0
130,ALW078C93001A,2200,TA-R,0.0,3.0,2.0,2.0
131,ALW078EP1001A,2200,TA-R,0.0,4.0,0.0,0.0
132,AMS048TW1060A,2200,TA-1,7.922,0.0,0.0,2.0
133,AMS048TW1060A,2200,TA-2,7.779,0.0,0.0,1.5
134,AMS078C93001B,2200,TA-1,50.876,10.0,10.0,10.0
135,AMS078C93001B,2200,TA-R,67.63,14.0,14.0,14.0
136,AMS078C93001B,2200,TA-U,6.656,2.0,2.0,2.0
137,AMS078EN1001A,2200,TA-3,16.672,3.0,3.0,3.0
138,AMS078EN1001A,2200,TA-5,9.687,21.0,4.0,4.0
139,AMS078EN1001A,2200,TA-R,68.037,17.0,18.0,18.0
140,AMS078EN1001A,2200,TA-U,17.94,4.0,4.0,5.0
