wlth_lot_number,wlth_equipment_id,START,END
R05AWCH04,BB784,1644384150,1644384270
R05SSB407,BB785,1644276600,1644282771
R05SSB610,BB785,1644405864,1644405984
R03YZAJ17,BB786,1644276600,1644297050
R05SSB429,BB787,1644276600,1644294674
R05SSB533,BB787,1644380386,1644380506
R06AWAV03,BB788,1644257082,1644257082
R06AWB404,BB788,1644411903,1644412023
R05CDAK01,BB789,1644276600,1644312420
R06YZAB23,BB789,1644397640,1644397760
R06ABDV05,BB790,1644380142,1644380262
R05SSB419,BB791,1644276600,1644278757
R05SSB540,BB791,1644391566,1644391686
R05ABHF09,BB801,1644256185,1644256185
R05ABHF17,BB801,1644417518,1644417638
R05ABHF04,BB803,1644254079,1644254079
R05ABHF14,BB803,1644418220,1644418340
R05ABGF12,BB804,1644257446,1644257446
R06ABBY02,BB804,1644405785,1644405905
R03GAA304,BB805,1644276600,1644294977
R05ABFZ02,BB805,1644388640,1644388760
R05ASFB16,BB806,1644266193,1644266193
R05ASFE14,BB806,1644421779,1644421899
R05BWC106,BB807,1644381536,1644381656
R05BWC203,BB807,1644276600,1644288754
R05ASE403,BB808,1644256435,1644256435
R05ASEW10,BB808,1644419050,1644419170
R05NIJN09,BB809,1644407161,1644407281
R05ASAQ07,BB810,1644276600,1644367554
R05ASAR03,BB810,1644367647,1644367767
R05NIJA01,BB811,1644254780,1644254780
R05NIJU11,BB811,1644409042,1644409162
R05ASEP08,BB812,1644276600,1644282332
R05ASES03,BB812,1644367001,1644367121
R05ASAP03,BB813,1644273483,1644273483
R05ASAS08,BB813,1644347938,1644363000
R05ABF118,BB814,1644272106,1644272106
R05ABJM16,BB814,1644415915,1644416035
R05BWC208,BB815,1644383336,1644383456
R05BWC212,BB815,1644272376,1644272376
R05ASE309,BB816,1644276600,1644298599
R05ASES08,BB816,1644379841,1644379961
R05ABJK02,BB817,1644276600,1644277766
R06ABD103,BB817,1644411319,1644411439
R06MSEX05,BB818,1644276600,1644278068
R80CME501,BB818,1644410619,1644410739
R06MSER04,BB819,1644267483,1644267483
R06MSH102,BB819,1644360589,1644363000
R05ABF109,BB821,1644268337,1644268337
R05ABJM07,BB821,1644415170,1644415290
