,bd_id,oper,Location,Original ENT(07:30),Original ENT(11:00),Allocate ENT,Output plan
95,ABU153XT9001A,2200,0,4.0,4.0,4.0,0.0
96,ABU153XT9002A,2200,0,1.0,1.0,1.0,0.0
97,ABW032YB1005B,2200,TB-U,5.0,5.0,5.0,0.0
98,ABW032YF1002B,2200,0,5.0,5.0,5.0,0.0
99,ABW036AB1004A,2200,TB-I,2.0,2.0,2.0,0.0
100,ABW036AB1004A,2200,TB-P,3.0,3.0,3.0,0.0
101,ABW036AB1004A,2200,TB-U,10.0,10.0,10.0,0.0
102,ACD054MF2001A,2200,TA-1,2.0,2.0,2.0,0.0
103,ACD054MF2002A,2200,TA-1,3.0,3.0,3.0,0.0
104,ACD054TN1002B,2200,0,1.0,1.0,1.0,0.0
105,ACD054TN1002B,2200,TA-5,1.0,1.0,1.0,0.0
106,ACD084CC2002A,2200,TA-P,5.0,5.0,5.0,0.0
107,ACD096EL1003A,2200,TA-2,5.0,5.0,5.0,0.0
108,ACD096EL1004A,2200,TA-2,1.0,1.0,1.0,0.0
109,AHQ0442J4004A,2200,0,4.0,4.0,4.0,0.0
110,ALW078C93002A,2200,TB-R,1.0,1.0,1.0,0.0
111,ALW078C93002A,2200,TB-U,5.0,5.0,5.0,0.0
112,ALW132NY4010A,2200,TA-2,1.0,1.0,1.0,0.0
113,AMS048TW1046A,2200,TA-1,6.0,6.0,6.0,0.0
114,AMS048TW1053A,2200,TA-1,2.0,2.0,2.0,0.0
115,AMS078EN1001A,2200,0,2.0,2.0,2.0,0.0
116,AMS078EN1001A,2200,TA-1,1.0,1.0,1.0,0.0
117,AMS078EN1001A,2200,TB-5F,50.0,50.0,50.0,0.0
118,AMS078EN1005A,2200,TA-1,1.0,1.0,1.0,0.0
119,AMS078EN1006A,2200,0,9.0,9.0,9.0,0.0
120,AMS078EN1006A,2200,TA-1,25.0,25.0,25.0,0.0
121,AMS078EN1006A,2200,TA-2,3.0,7.0,7.0,0.0
122,AMS078EN1006A,2200,TA-R,12.0,13.0,13.0,0.0
123,AMS078EN1006A,2200,TB-5F,2.0,2.0,2.0,0.0
124,AMS078EN1006A,2200,TB-P,3.0,3.0,3.0,0.0
125,AMS078EN1006A,3200,0,1.0,1.0,1.0,0.0
126,AMS078EN4001A,2200,TA-1,4.0,4.0,4.0,0.0
127,AMS078EN4001A,2200,TA-P,1.0,1.0,1.0,0.0
128,AMS078EP1001A,2200,TB-5F,12.0,12.0,12.0,0.0
129,AMS096EC1002A,2200,TB-5F,16.0,16.0,16.0,0.0
130,ANI020YU1001M,2200,0,5.0,5.0,5.0,0.0
131,ANV0086A1003A,2200,0,1.0,1.0,1.0,0.0
132,ANV0086A1003A,2200,TB-P,1.0,1.0,1.0,0.0
133,ANV0086A1005A,2200,0,3.0,3.0,3.0,0.0
134,ANV0086A1042A,2200,TB-P,4.0,4.0,4.0,0.0
135,ANV0086A1081A,2200,TB-R,2.0,2.0,2.0,0.0
136,ANV0086A1081A,2200,TB-U,1.0,1.0,1.0,0.0
137,ANV048TR2076A,2200,TA-1,1.0,1.0,1.0,0.0
138,ANV132X2B012A,2200,TB-IP,1.0,1.0,1.0,0.0
139,ANV132X2C020A,2200,TA-R,1.0,1.0,1.0,0.0
140,ANV153XT9051A,2200,TB-IP,9.0,9.0,9.0,0.0
141,ANV153XT9078A,2200,0,10.0,10.0,10.0,0.0
142,AOK016D53005A,2200,TA-P,1.0,1.0,1.0,0.0
143,AOK016D53005A,2200,TA-R,16.0,16.0,16.0,0.0
144,AOK048TV1026B,2200,TA-1,16.0,16.0,16.0,0.0
145,AQT192X85001C,2200,0,1.0,1.0,1.0,0.0
146,ASS153XT3001A,2200,TA-2,2.0,2.0,2.0,0.0
147,ASS153XT3003A,3200,0,10.0,10.0,10.0,0.0
148,ASS153XT3003A,3200,TA-5,1.0,1.0,1.0,0.0
149,ATE084CC2005A,2200,TA-1,2.0,2.0,2.0,0.0
150,ATE096EI1001A,2200,TA-2,10.0,10.0,10.0,0.0
151,ATO132Y23002A,2200,0,16.0,16.0,16.0,0.0
152,AUL086TA1004A,2200,TA-1,6.0,6.0,6.0,0.0
153,AUL086TA1005A,2200,TA-1,1.0,1.0,1.0,0.0
154,AVE054TS1001E,2200,TA-2,2.0,2.0,2.0,0.0
155,AYU056TH2002B,2200,TA-3,1.0,1.0,1.0,0.0
156,AYU064XQ1002A,2200,TA-2,1.0,1.0,1.0,0.0
157,BU054MF1002A,2200,TA-1,10.0,10.0,10.0,0.0
