bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	YK010631  ,	 A,	,	2,	2070,	1071P10764               ,	0.000,	15.000,	          ,	          ,	,
	YK010631  ,	 A,	,	3,	2200,	1091A08T41               ,	0.000,	0.150,	10        ,	          ,	0.8mil Au                               ,
	YK010631  ,	 A,	,	4,	2300,	108192HF42               ,	0.000,	4.000,	          ,	          ,	1231BAS00A                              ,
	YK010631  ,	 A,	,	5,	2410,	1011CA106A               ,	0.014,	0.800,	          ,	          ,	,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	1,	2052,	1221C30010               ,	2000.000,	10.000,	          ,	          ,	,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	2,	2070,	121101391A               ,	1000.000,	0.900,	0.210     ,	          ,	                                        ,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	3,	2430,	1011TR413A               ,	11.224,	0.600,	          ,	          ,	,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	4,	2070,	1071F76004               ,	0.138,	14.000,	          ,	          ,	BOP-PS8225 12  55um                     ,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	5,	2130,	1071F76004               ,	9.784,	14.000,	          ,	          ,	TOP-Toshiba 128Gb 12  85um 一次上4dies  ,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	6,	2200,	1091A08C21               ,	196.850,	0.150,	260       ,	          ,	0.8 mil Au 2N                           ,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	7,	2300,	1081760LB7               ,	0.638,	4.000,	          ,	          ,	20201224002換CPD                        ,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	3.000,	          ,	          ,	,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	9,	2410,	1101L70545               ,	100.000,	3.000,	,	          ,	,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	10,	2052,	SUBMATSVG016             ,	1000.000,	0.800,	,	          ,	ABU100X69005A                           ,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	11,	2070,	SUBMATWVG003             ,	1000.000,	0.800,	,	          ,	BOP-PS8225 12  55um 1071F76004          ,
	X6100010  ,	 D,	2021/3/17 上午 12:00:00,	12,	2130,	SUBMATWVG035             ,	4000.000,	0.800,	,	          ,	TOP-Toshiba 128Gb 一次上4dies 1071F76004,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	1,	2070,	120100167A               ,	0.000,	3.400,	0.152     ,	          ,	                                        ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	2,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA296A               ,	0.014,	0.800,	,	          ,	20190408004變更Carrier                  ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	IA000015  ,	 B,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA201B               ,	0.008,	0.800,	,	          ,	20170914001 PJ改用量                    ,
	IA000013  ,	 A,	,	1,	3720,	1011CA190A               ,	0.027,	0.800,	,	          ,	                                        ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	1,	2070,	1071F76004               ,	0.000,	14.000,	,	          ,	                                        ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	2,	2200,	1091A08T41               ,	0.000,	0.150,	20        ,	          ,	0.8 AU                                  ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	3,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	PJ指示用92HF;1230BALLSN0000A 16.52      ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	4,	2070,	120100185B               ,	0.000,	3.400,	0.152     ,	          ,	                                        ,
	YU020611  ,	 B,	2020/12/11 上午 12:00:00,	5,	3720,	1011CA176A               ,	0.014,	0.800,	,	          ,	,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	1,	2070,	120101106A               ,	0.000,	3.400,	0.203     ,	          ,	L008Y0407E9/靜電袋出貨                  ,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	2,	2070,	1071P10764               ,	0.000,	15.000,	          ,	          ,	,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	3,	2200,	1091A08T41               ,	0.000,	0.150,	8         ,	          ,	0.8mil Au                               ,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	4,	2300,	108192HF42               ,	0.000,	4.000,	          ,	          ,	1231BAS00A                              ,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	5,	2410,	1011CA106A               ,	0.014,	0.800,	          ,	          ,	,
	IA000090  ,	 A,	,	1,	3720,	1011CA235A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000121  ,	 A,	,	1,	3720,	1011CA326A               ,	0.008,	0.800,	,	          ,	                                        ,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	1,	2410,	1231BAS00A               ,	0.070,	5.000,	,	          ,	TAPE需換成1010CA00000160A               ,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	2,	2300,	108192HF36               ,	0.009,	4.000,	,	          ,	                                        ,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	3,	2070,	120100008A               ,	1000.000,	3.400,	0.203     ,	          ,	,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	4,	3720,	1011CA139A               ,	0.014,	0.800,	,	          ,	,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	5,	2070,	1241FAC26S               ,	0.083,	5.000,	,	          ,	,
	IA000122  ,	 B,	2020/9/1 上午 12:00:00,	1,	3720,	1011CA332A               ,	0.008,	0.800,	,	          ,	                                        ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	1,	2070,	120101109A               ,	0.000,	3.400,	0.203     ,	          ,	L010Y0303E5(Possehl)                    ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	2,	2070,	1071P10764               ,	0.000,	15.000,	          ,	          ,	                                        ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	3,	2200,	1091A08T41               ,	0.000,	0.150,	10        ,	          ,	0.8mil Au                               ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	4,	2300,	108192HF42               ,	0.000,	4.000,	          ,	          ,	1231BAS00A                              ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	5,	3720,	1011CA106A               ,	0.014,	0.800,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	1,	2052,	1221C20008               ,	4000.000,	10.000,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	2,	2052,	1221C20005               ,	2000.000,	10.000,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	3,	2070,	121101809A               ,	1000.000,	0.900,	0.300     ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	4,	2430,	1011TR588B               ,	11.224,	0.600,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	5,	2070,	1071F76004               ,	0.082,	14.000,	          ,	          ,	BOT-5255 12  150um                      ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	6,	2130,	1071F76004               ,	0.951,	14.000,	          ,	          ,	TOP-9119 12  150um                      ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	7,	2200,	1091A07T41               ,	214.964,	0.150,	166       ,	          ,	0.7 mil Au                              ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	8,	2300,	1081G1250B               ,	0.471,	4.000,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	9,	2052,	1101T70525               ,	8.680,	3.000,	          ,	          ,	20210111005改版CPD                      ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	10,	2052,	SUBMATSAW016             ,	1000.000,	0.800,	,	          ,	TDAAW016D53026A-A                       ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	11,	2070,	SUBMATWAW097             ,	1000.000,	0.800,	,	          ,	BOT-5255A 12  150um EM710CA             ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	12,	2130,	SUBMATWAW098             ,	1000.000,	0.800,	,	          ,	TOP-9119X 12  150um EM710CA             ,
	IA000050  ,	 A,	2018/2/7 上午 12:00:00,	1,	3720,	1011CA246A               ,	0.016,	0.800,	,	          ,	                                        ,
	IA000158  ,	 A,	2021/6/9 上午 12:00:00,	1,	3720,	1011CA358A               ,	0.016,	0.800,	          ,	          ,	                                        ,
	2J028035  ,	 A,	2021/11/17 上午 12:00:00,	1,	2300,	1081A381C1               ,	0.203,	4.000,	          ,	          ,	,
	IA000025  ,	 C,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA218B               ,	0.004,	0.800,	,	          ,	20170914001 PJ改用量                    ,
	IA000064  ,	 A,	2018/5/29 上午 12:00:00,	1,	3720,	1011CA273A               ,	0.008,	0.800,	,	          ,	                                        ,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	1,	2070,	121102074A               ,	1000.000,	0.900,	0.210     ,	          ,	OSP SBT                                 ,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	2,	2430,	1011TR726A               ,	9.821,	0.600,	          ,	          ,	,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	4,	2200,	1091A07C41               ,	96.904,	0.150,	96        ,	          ,	0.7mil Au                               ,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	5,	2300,	1081760LB7               ,	0.510,	4.000,	          ,	          ,	,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	6,	2410,	1101L70542               ,	132.000,	3.000,	          ,	          ,	,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	7,	2070,	SUBMATWNV486             ,	2000.000,	0.800,	一次上2顆 ,	          ,	Die1-2_12 300um;F76004;30-M0NA00P025    ,
	X2132375  ,	 A,	2021/7/19 上午 12:00:00,	3,	2070,	1071F76004               ,	1.976,	14.000,	0.988*2   ,	          ,	Die1-2_12 300um;B47R                    ,
	IA000065  ,	 A,	2018/6/5 上午 12:00:00,	1,	3720,	1011CA270A               ,	0.016,	0.800,	,	          ,	                                        ,
	X2132414  ,	 A,	2021/11/24 上午 12:00:00,	1,	2070,	121102061A               ,	1000.000,	0.900,	0.210     ,	          ,	OSP SBT                                 ,
	X2132414  ,	 A,	2021/11/24 上午 12:00:00,	2,	2430,	1011TR726A               ,	9.821,	0.600,	          ,	          ,	,
	X2132414  ,	 A,	2021/11/24 上午 12:00:00,	3,	2070,	1071F90020               ,	4.856,	14.000,	          ,	          ,	,
	X2132414  ,	 A,	2021/11/24 上午 12:00:00,	4,	2200,	1091A07C41               ,	317.838,	0.150,	212       ,	          ,	,
	X2132414  ,	 A,	2021/11/24 上午 12:00:00,	5,	2300,	1081760LB7               ,	0.510,	4.000,	          ,	          ,	,
	X2132414  ,	 A,	2021/11/24 上午 12:00:00,	6,	2410,	1101L70542               ,	132.000,	3.000,	          ,	          ,	,
	X2132414  ,	 A,	2021/11/24 上午 12:00:00,	7,	2070,	SUBMATWNV514             ,	4000.000,	0.800,	,	          ,	,
	AD056080  ,	 B,	2019/4/17 上午 12:00:00,	1,	2070,	120100734A               ,	1000.000,	0.400,	          ,	          ,	,
	AD056080  ,	 B,	2019/4/17 上午 12:00:00,	2,	2070,	1071P49001               ,	1.523,	15.000,	,	          ,	,
	AD056080  ,	 B,	2019/4/17 上午 12:00:00,	3,	2200,	1091A07C41               ,	225.930,	0.150,	113       ,	          ,	,
	AD056080  ,	 B,	2019/4/17 上午 12:00:00,	4,	2300,	1081G770G1               ,	0.213,	4.000,	,	          ,	,
	AD056080  ,	 B,	2019/4/17 上午 12:00:00,	5,	2430,	1011TR141A               ,	4.231,	0.600,	,	          ,	                                        ,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	5,	2130,	1071F76001               ,	1.008,	14.000,	          ,	          ,	2/25 21 TIM改DAF                        ,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	6,	2200,	1091A06C41               ,	78.844,	0.150,	96        ,	          ,	,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	                                        ,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	5.000,	          ,	          ,	,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	9,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Controlle- AM2703ENLT): 厚度200 um      ,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	10,	2130,	SUBMATWNV198             ,	1000.000,	0.800,	,	          ,	Flash-BICS4 256Gb:SDP-1層DIE;厚度75um   ,
	6A008193  ,	 A,	2021/2/26 上午 12:00:00,	11,	2052,	SUBMATSNV298             ,	1000.000,	0.800,	,	          ,	ANV0086A1071A                           ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	5,	2130,	1071F76001               ,	1.008,	14.000,	          ,	          ,	2/25 TIM改DAF                           ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	6,	2200,	1091A06C41               ,	78.844,	0.150,	96        ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	                                        ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	5.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	9,	2052,	SUBMATSNV296             ,	1000.000,	0.800,	,	          ,	ANV0086A1069A                           ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	10,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Controlle-   AM2703ENLT): 厚度200 um    ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	11,	2130,	SUBMATWNV207             ,	1000.000,	0.800,	,	          ,	Flash-BICS4 256Gb:SDP-1層DIE;厚度175um  ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	5,	2130,	1071F76001               ,	1.008,	14.000,	          ,	          ,	2/25改DAF                               ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	6,	2200,	1091A06C41               ,	78.844,	0.150,	96        ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	                                        ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	5.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	9,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Controlle-AM2703ENLT200um               ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	10,	2130,	SUBMATWNV199             ,	1000.000,	0.800,	,	          ,	Flash-BICS4;256Gb:SDP;1層DIE;250um      ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	11,	2052,	SUBMATSNV295             ,	1000.000,	0.800,	,	          ,	ANV0086A1065A                           ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	1,	2052,	1221C20016               ,	7000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	2,	2052,	1221I20010               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	3,	2052,	1221R20006               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	4,	2052,	1221R20005               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	5,	2052,	1221R20072               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	6,	2052,	1221BA0007               ,	1000.000,	10.000,	          ,	          ,	                                        ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	7,	2052,	1221BF0001               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	8,	2070,	121102197A               ,	1000.000,	0.900,	0.200     ,	          ,	OSP SBT                                 ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	9,	2430,	1011TR439A               ,	7.237,	0.600,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	10,	2070,	1071F76004               ,	0.979,	14.000,	          ,	          ,	Die1_SPACER1;12 65um                    ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	11,	2130,	1071F76004               ,	0.153,	14.000,	          ,	          ,	Die2_PACER2;12 65um                     ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	12,	3130,	1071F76004               ,	0.317,	14.000,	          ,	          ,	Die3_PS5013;12 65um                     ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	13,	3330,	1071F310JB               ,	1.412,	14.000,	          ,	          ,	Die4_BiCS5 512Gb;12 250um               ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	14,	2200,	1091A07C41               ,	250.996,	0.150,	249       ,	          ,	0.7mil Au                               ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	15,	3200,	1091A07C41               ,	68.156,	0.150,	49        ,	          ,	0.7mil Au                               ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	16,	2300,	1081GE100C               ,	0.280,	4.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	17,	2052,	1101T70525               ,	8.680,	3.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	18,	2410,	1101L70528               ,	345.000,	3.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	19,	2070,	SUBMATWNV070             ,	1000.000,	0.800,	,	          ,	Die1_12402030DUMMY;12 65um;F76004       ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	20,	2130,	SUBMATWNV069             ,	1000.000,	0.800,	,	          ,	Die2_12402030DUMMY;12 65um;F76004       ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	21,	3130,	SUBMATWNV157             ,	1000.000,	0.800,	,	          ,	Die3_20-W5013BB107;65um;F76004          ,
