¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
123,	MAT         ,	ENG                 ,	0008WVE001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
124,	WLCSP       ,	                    ,	000IAQR012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
125,	MINIBGA48A2L,	BU048MA4005B        ,	048MABU043               ,	14.22,	8.48,	0.00,	0.00,	0.00,	0.00,
126,	MINIBGA48A1 ,	BU048MA2009B        ,	048MABU061               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
127,	MINIBGA48A1 ,	BU048MW2005C        ,	048MWBU004               ,	0.00,	0.00,	1.98,	0.00,	0.00,	1.88,
128,	MINIBGA60A3 ,	BU060MV1004A        ,	060MVBU008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
129,	FBGA-96UEF  ,	ABU096EF2001A       ,	096EFBU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
130,	MAT         ,	                    ,	0008WVG017               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
131,	DFN-08Y62D  ,	ABU008Y62012A       ,	008Y6VG013               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
132,	DFN-08YQ2A  ,	ABU008YQ2005A       ,	008YQVG003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
133,	DFN-08YQ2A  ,	ABU008YQ2002A       ,	008YQVG006               ,	0.00,	0.00,	38.88,	0.00,	0.00,	0.00,
134,	MBGA24J4U   ,	ABU024MAA007A       ,	024MAVG026               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
135,	MBGA24J4U   ,	ABU024MA5002A       ,	024MAVG027               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
136,	SSBGA100D4U ,	ABU100X69003A       ,	100X6VG003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
137,	FBGA-78UEP  ,	AMS078EP1001A       ,	078EPMS003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
138,	FBGA-78U9   ,	AMS078C93001B       ,	078U9MS017               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
139,	VFBGA90K8L  ,	AMS090NC4003A       ,	090NCMS008               ,	43.12,	0.00,	0.00,	0.00,	0.00,	0.00,
140,	MAT         ,	ENG                 ,	0008WAW065               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
141,	DFN-08Y62D  ,	AAW008Y62019A       ,	008Y6AW038               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
142,	SSLGA16DOU  ,	AAW016D53004A       ,	016D5AW011               ,	0.00,	0.00,	0.00,	0.00,	0.00,	1.89,
143,	MINIBGA24A4L,	AAW024MA6031B       ,	024MAAW059               ,	0.00,	0.00,	25.62,	0.00,	0.00,	0.00,
144,	MINIBGA24A3L,	AAW024MA6037B       ,	024MAAW066               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
145,	STBGA24A4L  ,	AAW024XJ6012A       ,	024XJAW024               ,	0.00,	0.00,	3.45,	0.00,	0.00,	0.00,
146,	TSOP1-48/48M,	AAW048TP1026E       ,	048TPAW054               ,	0.00,	0.00,	25.49,	0.00,	0.00,	0.00,
147,	TSOP1-48/48M,	AAW048TP1022B       ,	048TPAW066               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
148,	WAFER       ,	                    ,	000IAXF008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
149,	MAT         ,	                    ,	0008WNV366               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
150,	MAT         ,	                    ,	0008WNV425               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
151,	SMT         ,	ANV0086A1065A       ,	000SNV295                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
152,	SMT         ,	ANV0086A1061A       ,	000SNV396                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
153,	uSD08AQV-C  ,	ANV0086A1069A       ,	0086ANV162               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
154,	uSD08AQV-C  ,	ANV0086A1078A       ,	0086ANV211               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
155,	uSD08AQV-C  ,	ANV0086A1081A       ,	0086ANV213               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
156,	STBGA132C4V ,	ANV132X2B031A       ,	132X2NV208               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
157,	FCCSP319A3G ,	ANV319UK1002A       ,	319UKNV001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
158,	STBGA345NBC ,	ANV345XTG002A       ,	345XTNV080               ,	0.00,	0.00,	5.45,	0.00,	0.00,	0.00,
159,	STBGA345FBC ,	ANV345XTC011A       ,	345XTNV085               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
160,	MAT         ,	                    ,	0008WAB123               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
161,	WLCSP       ,	                    ,	000IAAB015               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
162,	STDFN-08YQ2A,	AAB008YQ2041A       ,	008YQAB082               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
163,	DFN-08YQ2A  ,	AAB008YQ2038A       ,	008YQAB088               ,	35.47,	0.00,	37.38,	0.00,	0.00,	3.18,
164,	STDFN08YQ3AW,	AAB008YQ3013A       ,	008YQAB113               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
165,	VFBGA54B4U  ,	AAB054NB6004A       ,	054NBAB015               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
166,	VFBGA60B4L  ,	AAB060NR1006A       ,	060NRAB010               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
167,	FBGA96UEL(2),	AAB096EL1012A       ,	096ELAB043               ,	34.68,	0.00,	0.00,	0.00,	0.00,	0.00,
168,	FBGA96UEL(2),	AAB096EL1005A       ,	096ELAB045               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
169,	MAT         ,	                    ,	0008WGJ080               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
170,	WLCSP       ,	                    ,	000IABW045               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
171,	WLCSP       ,	                    ,	000IABW053               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
172,	WLCSP       ,	                    ,	000IABW094               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
173,	WLCSP       ,	ENG                 ,	000IABW109               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
174,	WLCSP       ,	                    ,	000IABW144               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
175,	TSOP2-54CMES,	ACS054TS1009A       ,	054TSCS017               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
176,	MAT         ,	,	0008WFCB001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
177,	MAT         ,	,	0008WSMT001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
178,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
179,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI039               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
180,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI046               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
181,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI054               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
182,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI075               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
183,	DFN-08YK2A  ,	ANI008YK3002A       ,	008YKNI092               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
184,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI086               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
185,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI132               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
186,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI134               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
187,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI151               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
188,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI188               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
189,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI061               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
190,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI067               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
191,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI044               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
192,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI068               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
193,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI075               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
194,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI089               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
195,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI119               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
196,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI174               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
197,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI209               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
198,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI242               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
199,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI246               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
200,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI256               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
201,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI311               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
202,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI333               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
203,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI341               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
204,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI353               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
205,	MAT         ,	                    ,	0008WCM514               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
206,	DFN-08YQ2AW ,	AAS008YQ2014A       ,	008YQCME22ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
207,	MBGA24J3U   ,	AQW024MAA014A       ,	024MACM126ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
208,	FBGA96UEL(2),	AAB096EL1022A       ,	096ELCME43ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
209,	STLGA08J4U  ,	ACD008DR1031A       ,	008DRCD032               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
210,	TSOP2-54ME  ,	ACD054TN1002B       ,	054TNCD027               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
211,	MAT         ,	                    ,	0008WAS112               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
212,	MAT         ,	ENG                 ,	0008WVE041               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
213,	STBGA48D4L  ,	AVE048XV7001A       ,	048XVVE001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	3.12,
214,	MINIBGA48A1 ,	BU048MW2002C        ,	048MWBU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.70,
215,	FBGA-96LEA  ,	ABU096EA1003A       ,	096EABU007               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
216,	DFN-08Y62D  ,	ABU008Y62005A       ,	008Y6VG011               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
217,	MINIBGA24J4U,	ABU024MA6008A       ,	024MAVG008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
218,	SSLGA16DOU  ,	AOK016D53002A       ,	016D5OK004               ,	63.79,	1.21,	0.00,	0.00,	0.00,	11.68,
219,	FBGA-96UEC  ,	AMS096EC1002A       ,	096ECMS012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
220,	MAT         ,	ENG                 ,	0008WAW036               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
221,	SSLGA16DOU  ,	AAW016D53008A       ,	016D5AW030               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
222,	MINIBGA24A3L,	AAW024MA6008A       ,	024MAAW012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
223,	STBGA24A4L  ,	AAW024XJ6011B       ,	024XJAW017               ,	19.02,	0.00,	37.93,	0.00,	0.00,	1.96,
224,	MAT         ,	                    ,	0008WNV493               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
225,	MAT         ,	                    ,	0008WNV532               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
226,	SMT         ,	ANV345XTB016A       ,	000SNV332                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
227,	SMT         ,	ANV0086A1061A       ,	000SNV397                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
228,	uSD08AQV-C  ,	ANV0086A1070A       ,	0086ANV163               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
229,	uSD08AQV-C  ,	ANV0086A1081A       ,	0086ANV212               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
230,	uSD08AQV-C  ,	ANV0086A1081A       ,	0086ANV214               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
231,	MBGA132G4VT ,	ANV132X2C081A       ,	132X2NV207               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
232,	STBGA345NBC ,	ANV345XTG001A       ,	345XTNV079               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
233,	uSD08GEV-C  ,	AEU0086B1009A       ,	0086BEU015               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
234,	MAT         ,	                    ,	0008WAB126               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
235,	DFN-08YB2G  ,	AAB008YB2011A       ,	008YBAB023               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
236,	MBGA24A2L   ,	AAB024MA6008A       ,	024MAAB023               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
237,	FBGA96UEF3-2,	AAB096EF3001A       ,	096EFAB009               ,	0.00,	0.00,	0.00,	2.50,	0.00,	0.00,
238,	FBGA-96UEF  ,	AYZ096EF2003A       ,	096EFYZ004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
239,	STBGA252G4V ,	AGJ252X02002A       ,	252X0GJ003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
240,	STBGA252G4V ,	AGJ252X02001A       ,	252X0GJ004               ,	0.00,	0.00,	4.92,	0.00,	0.00,	0.00,
241,	STBGA252C4V ,	AGJ252X20003A       ,	252X2GJ006               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
242,	WLCSP       ,	ENG                 ,	000IABW020               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
243,	WLCSP       ,	ENG                 ,	000IABW032               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
244,	WLCSP       ,	ENG                 ,	000IABW040               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
245,	MAT         ,	,	0008WDAE001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
246,	MAT         ,	,	0008WDAF001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
247,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI042               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
248,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI071               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
249,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI088               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
250,	FCDFN-08Y72D,	ANI008Y71001C       ,	008Y7NI029               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
251,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI040               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
252,	FCDFN-09YZ2A,	ANI009YZ1001A       ,	009YZNI012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
253,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI123               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
254,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI148               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
255,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI150               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
256,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI154               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
257,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI179               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
258,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI181               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
259,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI039               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
260,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI046               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
261,	FCQFN-16OF2D,	ANI016OF2003A       ,	016OFNI034               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
