route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wip_outplan_time
BGA161,R08AWD605,MXIC,MINIBGA24A4L,024MAAW059,8599,0,2435,Y,N,AAW024MA6031B,,7,,Y,6738V-24XD05SYE9PH{A},81.0,N,BB565,
BGA161,R08AWD603,MXIC,MINIBGA24A4L,024MAAW059,8560,0,2440,N,N,AAW024MA6031B,,7,,Y,6738V-24XD05SYE9PH{A},81.0,N,BB606,
BGA161,R08AWD604,MXIC,MINIBGA24A4L,024MAAW059,8485,0,2450,N,N,AAW024MA6031B,,7,,Y,6738V-24XD05SYE9PH{A},81.0,N,BB567,
BGA161,R08AWD602,MXIC,MINIBGA24A4L,024MAAW059,17062,0,2450,N,N,AAW024MA6031B,,7,,Y,6738V-24XD05SYE9PH{A},81.0,N,BB606,
BGA170,R08UKC3,QST,LGA12CBP,012DNUK014,8,154061,2000,Y,N,AUK012DN2003A,,7,,,QMA7981-HCAAY,73.34,N,,
BGA170,R04UKA9,QST,LGA12CBP,012DNUK014,9,176034,2003,N,N,AUK012DN2003A,,8,,,QMA7981-HCAAY,73.8,N,,
BGA170,R06UKB7,QST,LGA12CBP,012DNUK014,2,37959,2003,N,N,AUK012DN2003A,,2,,,QMA7981-HCAAY,73.8,N,,
BGA170,R06UKB9,QST,LGA12CBP,012DNUK014,2,36094,2003,N,N,AUK012DN2003A,,2,,,QMA7981-HCAAY,73.8,N,,
BGA170,R04UKA5,QST,LGA12CBP,012DNUK014,8,150878,2003,N,N,AUK012DN2003A,,7,,,QMA7981-HCAAY,73.8,N,,
BGA170,R06UKB6,QST,LGA12CBP,012DNUK014,1,19265,2003,N,N,AUK012DN2003A,,1,,,QMA7981-HCAAY,73.8,N,,
BGA174,R08GAA304,FIDELIX,VFBGA60K8L,060NRGA006,5674,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB860,
BGA174,R08GAA308,FIDELIX,VFBGA60K8L,060NRGA006,5665,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB859,
BGA174,R08GAA502,FIDELIX,VFBGA60K8L,060NRGA006,3291,0,2225,N,N,AGA060NR1004A,,2,,,FMD8C16LAH-25EI{AG},74.61,N,BB860,
BGA174,R08GAA301,FIDELIX,VFBGA60K8L,060NRGA006,5702,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB857,
BGA174,R08GAA305,FIDELIX,VFBGA60K8L,060NRGA006,5580,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB859,
BGA174,R08GAA309,FIDELIX,VFBGA60K8L,060NRGA006,5730,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB823,
BGA174,R08GAA302,FIDELIX,VFBGA60K8L,060NRGA006,5680,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB860,
