ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB865,0,MAXUM,WAIT-SETUP,R08ASCY02,,2200,162KEAS010,FM6BD1G1GMBM1X{GBFFA},AAS162KE1008A,3320,28026,22-03-02 07:58,22-03-02 17:01:33,EliteMT,STBGA162B4U,M20BH.G,M,91.8472,,3000M,TB-B5,03/02/2022 MP,2200,1091G08PA4,,R08ASCX10,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,,91.8472,81.5833,22-03-02 17:01
BB866,0,MAXUM,RUNNING,R09ASD612,,2200,008FGAS005,EN25QH64AA1HM{M68FA}{FT3},AAS008FG1010A,10080,126073,22-03-02 02:39,22-03-02 11:18,EliteMT,SOP-8G,X200F.14,,1164.3532,,3000M,TB-B5,03/03/2022 MP,2200,1091G08PA4,,R09ASD506,SOP-8G,EliteMT,AAS008FG1010A,1091G08PA4,,1164.3532,1034.2368,22-03-02 11:18
BB867,0,MAXUM,RUNNING,R09VGD817,,2200,008Y6VG008,IS25WP032E-JTLI-TR{Rough},ABU008Y62011A,8320,354066,22-03-01 23:30,22-03-02 05:52,ISSI-VG,DFN-08Y62D,P33544Y1,,1305.0184,,3000M,TB-B5,03/04/2022 MP,2200,1091A07C41,,R09VGD802,DFN-08Y62D,ISSI-VG,ABU008Y62011A,1091A07C41,,1305.0184,1159.1826,22-03-02 05:52
BB868,0,MAXUM,WAIT-SETUP,,,,,,AAS008FG1011A,,,22-03-02 05:27,,,,,CSC,,,3000M,TB-B5,03/05/2022 MP,2200,,,R09YZAG12,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,,1156.8699,1027.5897,
BB869,0,MAXUM,RUNNING,R09ASBK01,,2200,096ELAS001,M15T1G1664AC1AG{GVNX2-13X,AAS096EL1002A,2925,7656,22-03-01 22:31,22-03-02 17:43,EliteMT,FBGA-96UEL-3,P28JW.12,,152.4326,,3000M,TB-B5,03/06/2022 MP,2200,,,R09MSGS04,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,,152.4326,135.3982,22-03-02 17:43
BB870,0,MAXUM,RUNNING,R09ASDD07,,2200,096ELAS043,ZWM15T4G16256AC1PG{GVNF2},AAS096EL1009B,2991,24897,22-03-01 11:35,22-03-02 08:03,EliteMT,FBGA-96UEL,V208X.01,,146.1810,,3000M,TB-B9,03/07/2022 MP,2200,,,R09MSIG02,FBGA-78U9,MTI,AMS078C91003A,1091A06T41,,146.181,129.8453,22-03-02 08:03
BB871,0,MAXUM,ENG,,,,,,AAS048TP2030A,,,22-02-28 12:43,22-02-28 12:43,,,,PE,,,3000M,TB-B5,03/08/2022 MP,2200,,,R08ASAY01,TSOP1-48/48M,EliteMT,AAS048TP2030A,1091G08PA4,,292.9542,260.2166,
BB872,0,MAXUM,RUNNING,R09ASAQ09,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2910,53777,22-03-02 07:17,22-03-03 00:59,EliteMT,FBGA-96UEL-3,P28TN.02,,164.3310,,3000M,TB-B5,03/09/2022 MP,2200,1091G08PA1,,R09ASAL04,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-03 00:59
BB873,0,MAXUM,WAIT-SETUP,,,,,,ABU008Y62002A,,,22-03-02 04:51,,,,,MC,,,3000M,TB-B5,03/10/2022 MP,2200,,,R09MSGU03,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,,1053.0683,935.3879,
BB874,0,MAXUM,RUNNING,R09ABCX28,,2200,008YQAB046,AAG061800/IG/W74M25JWZEIQ,AAB008YQ2026A,2160,61170,22-03-02 05:17,22-03-02 09:59,WINBOND,STDFN-08YQ2A,6208M0004,,459.8517,,3000,TB-B5,03/11/2022 MP,2200,1091A08T21,,R09ABCX29,STDFN-08YQ2A,WINBOND,AAB008YQ2026A,1091A08T21,,459.8517,408.4633,22-03-02 09:59
BB875,0,MAXUM,WAIT-REPAIR,R09ASAL06,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2994,32182,22-03-02 07:58,22-03-02 05:55:36,EliteMT,FBGA-96UEL-3,P28SC.02,E5,164.3310,,3000M,TB-B5,03/12/2022 MP,2200,1091G08PA1,,R09ASAJ12,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-02 05:55
BB876,0,MAXUM,RUNNING,R09ASB905,,2200,096ELAS001,M15T1G1664AC1AG{GVNX2-13X,AAS096EL1002A,2952,20989,22-03-02 05:24,22-03-03 00:46,EliteMT,FBGA-96UEL-3,P18JW.01,,152.4326,,3000M,TB-B5,03/13/2022 MP,2200,,,R09ASBN01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,,152.4326,135.3982,22-03-03 00:46
BB877,0,MAXUM,WAIT-SETUP,R09ASD103,,2200,0484AAS001,F59D1G81MBM1AG{GBNFA},AAS0484A1001A,17320,72778,22-03-02 07:01,22-03-02 23:31:43,EliteMT,VFBGA48KEU,P2AFQ.01,M,696.5623,,3000M,TB-B5,03/14/2022 MP,2200,1091G08PA4,,R09ASD101,VFBGA48KEU,EliteMT,AAS0484A1001A,1091G08PA4,,696.5623,618.7214,22-03-02 23:31
BB878,0,MAXUM,RUNNING,R09VGDX11,,2200,008YMVG004,IS25LQ040B-JULE-TR,ABU008YM2002A,16000,240404,22-03-02 04:25,22-03-02 17:53,ISSI-VG,DFN-08YM2D,P31581Y5,,1188.0943,,3000,TB-B5,03/15/2022 MP,2200,1091A08C41,4,R09ABCG11,DFN-08YM2D,WINBOND,AAB008YM2020A,1091A07T21,,1188.0943,1055.3248,22-03-02 17:53
BB879,0,MAXUM,IDLE,,,,,,AYZ066TS1001A,,,22-03-02 00:49,,,,,,,,3000M,TB-B9,03/16/2022 MP,2200,,,R09YZAG24,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,,215.55,191.4623,
BB880,0,MAXUM,IDLE,,,,,,AMS096EC3001B,,,22-03-02 07:46,,,,,,,,3000M,TB-B9,03/17/2022 MP,2200,,,R09MSIF04,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,,309.0839,274.5438,
BB881,0,MAXUM,IDLE,,R09ASDM06,,,,AYZ066TS1001A,,,22-03-02 06:22,,,,,,,,3000M,TB-B6,03/18/2022 MP,2200,,,R09YZAG17,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,,215.55,191.4623,
BB882,0,MAXUM,RUNNING,R09ASAR08,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2980,40453,22-03-02 03:05,22-03-02 21:13,EliteMT,FBGA-96UEL-3,P28TY.01,,164.3310,,3000M,TB-B6,03/19/2022 MP,2200,,,R09ASAJ14,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-02 21:13
