part_no,product_id,route,pin_package,die_size,die_pad_size,qty1,qty2,qty3,desc,die_size_pad_size,column,row,die,hb_design_version,wc_design_version,hb_series_no,wc_series_no,hb_unit_price,wc_unit_price,
	A0801CB0321,	,	Normal (L/F),	QFN 32L,	,	146*146 mil,	3,	0,	3,	須加壓板 ; SH(UTC-1000 : SK2453/01) ; 每個BLOCK有2直9橫共18顆Die ; 2007/07/20,	146*146mil,	2,	9,	18,	SK2453/01,	SK2453/01,	H003,	W003,	3450,	4200,
	A0801CB0322,	,	Normal (L/F),	QFN 56L,	,	248*248 mil,	3,	0,	3,	須加壓板 ; SH(UTC-1000 : SK2454/01) ; 每個BLOCK有2直6橫共12顆Die ; 2007/07/20,	248*248mil,	2,	6,	12,	SK2454/01,	SK2454/01,	H003,	W003,	3450,	4200,
	A0803CB0321,	QFN 32L,	,	,	,	146*146mil,	11,	0,	8,	須加壓板 ; SH(KNS : H/B:SK1105/01;W/C:SK1105/01) ; 每個BLOCK有2直9橫共18顆Die,	146*146mil,	2,	9,	18,	SK1105/01,	SK1105/01,	H011,	W008,	24660,	2200,
	A0803CB0322,	QFN 56L,	,	,	,	248*248mil,	18,	0,	13,	須加壓板 ; SH(K&S : H/B:SK1106/01W/C:SK1106/01) ; 每個BLOCK有2直6橫共12顆Die,	248*248mil,	2,	6,	12,	SK1106/01,	SK1106/01,	H018,	W013,	2200,	2700,
	A0803CB0233,	TSOP II 50L,	,	,	,	200*135 mil,	12,	0,	12,	須加壓板 ; 每個BLOCK有1直3橫共3顆Die ; ZC ; 2007/12/7,	200*135mil,	1,	3,	3,	SK5,	SK5,	H312,	W312,	2200,	2700,
	A0803CB0316,	QFN 64L,	,	,	,	258*258,	22,	0,	22,	SH( K&S:H/B:SK1071/03;W/C:SK1071/01);每個BLOCK有2直6橫共12顆Die;2020/10/15; 流水序號已到H036; W023,	258*258,	2,	6,	12,	SK1071/03,	SK1071/01,	H036,	W023,	NA,	NA,
	A0803CB0314,	QFN 40L,	,	,	,	 175*175 mil,	2,	0,	2,	須加壓板 ; SH(K&S : H/B:SK1073/01;W/C:SK1073/01) ; 每個BLOCK有2直8橫共16顆Die,	175*175mil,	2,	8,	16,	SK1073/01,	SK1073/01,	H002,	W002,	2200,	2700,
	A0803CB0315,	QFN 48L,	,	,	,	217*217,	18,	0,	18,	SH(K&S : H/B:SK1072/01;W/C:SK1072/01) ; 每個BLOCK有2直7橫共14顆Die;2020/10/15;流水序號H022;W019,	217*217,	2,	7,	14,	SK1072/01,	SK1072/01,	H022,	W019,	NA,	NA,
	A0801CB0323,	,	Normal (L/F),	QFN 48L,	,	160*160 mil,	2,	0,	2,	須加壓板 ; SH(UTC-1000 : SK2456/01) ; 每個BLOCK有2直7橫共14顆Die ; 2007/07/31,	160*160mil,	2,	7,	14,	SK2456/01,	SK2456/01,	H002,	W002,	3450,	4200,
	A0803CB0220,	TQFP 64L,	,	,	,	 210*210,	10,	0,	8,	須加壓板 ; SH(K&S :H/B: SK1096/01;W/C:SK1096/01)  ; 每個BLOCK有1直2橫共2顆Die,	210*210,	1,	2,	2,	SK1096/01,	SK1096/01,	H010,	W010,	2200,	2700,
	A0801CB0324,	,	Normal (L/F),	TSOP2-44L,	,	 324*186 mil,	5,	0,	5,	須加壓板 ; SH( UTC-1000 : 壓板SK2460 / 01 ; 熱板SK2460 / 03 );每個BLOCK有1直3橫共3顆Die ;2010/06/14 ;流水序號到 H005 ; W005 ; 因2460/01&02版別設計有誤 ; 2010/6/14 PE將熱板全部更改為2460/03版別 ; PE指示舊版別熱板全部報廢,	324*186mil,	1,	3,	3,	SK2460/03,	SK2460/02,	H007,	W005,	2200,	2700,
	A0801CB0326,	,	Normal (L/F),	TSOP1-48M,	,	422*614 mil,	24,	0,	24,	須加壓板 ; 每個BLOCK有1直3橫共3顆Die ; ZC(UTC-1000 ) ; 2007/09/11,	422*614mil,	1,	3,	3,	SK2466/01,	SK2466/01,	H024,	W024,	3450,	4200,
	A0801CB0325,	,	Normal (L/F),	TSOP1-48L,	,	324*409 mil,	5,	0,	5,	須加壓板 ; SH(UTC-1000 : SK2461/01) ; 每個BLOCK有1直2橫共2顆Die ; 11/11損壞1 pcs ; 已於2010/12/05補齊,	324*409mil,	1,	2,	2,	SK2461/01,	SK2461/01,	H007,	W007,	1950,	2450,
	A0801CB0327,	,	Substrate,	FBGA 60L,	387*348*8 mil,	,	23,	0,	23,	須加壓板 ; SH(UTC-1000 : SK2464/01) ; 每個BLOCK有2直4橫共8顆Die ; 2007/11/07,	387*348*8mil,	2,	4,	8,	SK2464/01,	SK2464/01,	H023,	W023,	3450,	4200,
	A0801CB0328,	,	Substrate,	FBGA 60L,	307*287*10 mil,	,	14,	0,	14,	SH (UTC-1000 : 壓板 :SK2465/05; 熱板:SK2465/01) ; 每個BLOCK有3直7橫共21顆Die ; 2010/12/05; 11/11損壞1PCS熱板 ; 已於2010/12/05補齊,	307*287*10mil,	3,	7,	21,	SK2465/01,	SK2465/05,	H015,	W015,	6700,	2450,
	A0801CB0329,	,	Normal (L/F),	TSOP2-66L,	,	319*204*11.8 mil,	3,	0,	3,	須加壓板 ; SH(UTC-1000 : SK2467/01) ; 每個BLOCK有1直1橫共1顆Die ; 2007/09/12,	319*204*11.8mil,	1,	1,	1,	SK2467/01,	SK2467/01,	H003,	W003,	2950,	3450,
	A0801CB0330,	,	Normal (L/F),	TSOP1-56L,	,	250*200mil,	2,	0,	2,	須加壓板 ; SH(UTC-1000 : SK2468/01) ; 每個BLOCK有1直2橫共2顆Die ; 2007/09/20,	250*200mil,	1,	2,	2,	SK2468/01,	SK2468/01,	H002,	W002,	3450,	4200,
	A0801CB0331,	,	Normal (L/F),	TSOP 48L,	,	582*435 mil,	5,	0,	5,	須加壓板 ; SH (UTC-1000 : 壓板 : SK2470/01 ; 熱板 : SK2470/02)  ; 每個BLOCK有1直2橫共2顆Die ; 2009/04/08 ; 流水編號到 W005 & H005,	582*435mil,	1,	2,	2,	SK2470/02,	SK2470/01,	H005,	W005,	1950,	2450,
	A0801CB0332,	,	Normal (L/F),	TSOP 48L,	,	426*650 mil,	1,	0,	1,	須加壓板 ; SH (UTC-1000 : SK2472/01) ; 每個BLOCK有1直3共3顆Die ; 2007/09/24,	426*650mil,	1,	3,	3,	SK2472/01,	SK2472/01,	H001,	W001,	3450,	4200,
	A0801CB0334,	,	Normal (L/F),	TSOP II-66L,	319*204*8mil,	,	2,	0,	2,	須加壓板 ; SH (UTC-1000 : SK2477/01) ; 每個BLOCK有1直1橫共1顆Die ; 2007/10/29,	319*204*8mil,	1,	1,	1,	SK2477/01,	SK2477/01,	H002,	W002,	3450,	4200,
	A0803CB0328,	FBGA 60L,	,	,	,	307*287mil,	1,	0,	1,	須加壓板 ; SH(K&S :H/B: SK1159/01;W/C:SK1159/01) ; 每個BLOCK有3直7橫共21顆Die,	307*287mil,	3,	7,	21,	SK1159/01,	SK1159/01,	H001,	W001,	2200,	2700,
	A0801CB0335,	,	Normal (L/F),	FBGA 60MV,	8*11.5mil,	,	3,	0,	3,	須加壓板 ; SH (UTC-1000 : SK2480/01) ; 每個BLOCK有1直4共4顆Die ; 2007/11/02,	8*11.5mil,	1,	4,	4,	SK2480/01,	SK2480/01,	H003,	W003,	3450,	4200,
	A0801CB0336,	,	Substrate,	FBGA 119L,	10*13mil,	,	10,	0,	10,	須加壓板 ; SH (UTC-1000 : SK2481/01) ; 每個BLOCK有3直4共12顆Die ; 2010/12/05; 11/11損壞1 pcs ;已於2010/12/05補齊,	10*13mil,	3,	4,	12,	SK2481/01,	SK2481/01,	H012,	W012,	4450,	2450,
	A0801CB0337,	,	Normal (L/F),	TSOP2-86L,	,	124*187*11.5mil,	18,	0,	18,	須加壓板 ; SH (UTC-1000 : SK2482/01) ; 每個BLOCK有1直2共2顆Die ; 2007/11/21 ; ; PS:7/9因熱板受損1PCS; ;2008/07/16已補齊,	124*187*11.5mil,	1,	2,	2,	SK2482/01,	SK2482/01,	H018,	W018,	1950,	2450,
	A0801CB0340,	,	 Substrate,	FBGA 84L,	276*407*8 mil,	,	20,	0,	20,	須加壓板 ; SH (UTC-1000 : SK2485/01) ; 每個BLOCK有1直4共4顆Die ; 2008/01/18,	276*407*8mil,	1,	4,	4,	SK2485/02,	SK2485/01,	H020,	W020,	3450,	4200,
	A0801CB0338,	,	Normal (L/F),	TSOP1-48L,	,	422*614 mil,	2,	0,	2,	須加壓板 ; SH (UTC-1000 : SK2483/01) ; 每個BLOCK有1直3共3顆Die ; 2007/11/21,	422*614mil,	1,	3,	3,	SK2483/01,	SK2483/01,	H002,	W002,	3450,	4200,
	A0803CB0341,	TQFP 100L,	,	,	,	 197*197mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1203/01;W/C:SK1203/01) ; 每個BLOCK有1直2橫共2顆Die,	307*287mil,	1,	2,	2,	SK1203/01,	SK1203/01,	H001,	W001,	2200,	2700,
	A0803CB0342,	TQFP 100L,	,	,	,	200*200mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1204/01;W/C:SK1204/01) ; 每個BLOCK有1直2橫共2顆Die,	200*200mil,	1,	2,	2,	SK1204/01,	SK1204/01,	H001,	W001,	2200,	2700,
	A0803CB0223,	SOP 8L,	,	,	,	100*160,	12,	0,	12,	須加壓板  ; ZC*9 set ;SH(K&S :H/B: SK1334/01;W/C:SK1334/01) ; 每個BLOCK有2直5橫共10顆Die,	100*160,	2,	5,	10,	SK1334/01,	SK1334/01,	H013,	W013,	2200,	2700,
	A0801CB0343,	,	 Substrate,	FBGA 68L,	290*563*8 mil,	,	5,	0,	5,	須加壓板 ; SH (UTC-1000 : SK2486/01) ; 每個BLOCK有4直3共12顆Die ; 2007/11/26,	290*563*8mil,	4,	3,	12,	SK2486/02,	SK2486/01,	H005,	W005,	3450,	4200,
	A0801CB0347,	,	 Substrate,	FBGA 60L,	114*181*11.8 mil,	,	3,	0,	3,	須加壓板 ; SH (UTC-1000 : SK2488/01) ; 每個BLOCK有5直3共15顆Die ; 2007/11/27,	114*181*11.8mil,	5,	3,	15,	SK2488/01,	SK2488/01,	H003,	W003,	3450,	4200,
	A0803CB0345,	QFN 40L,	,	,	,	126*126,	5,	0,	5,	SH(K&S : H/B:SK1211/01;W/C:SK1211/01) ; 每個BLOCK有2直8橫共16顆Die ; 2020/07/16流水號已到H012;W005,	126*126,	2,	8,	16,	SK1211/01,	SK1211/01,	H012,	W005,	NA,	NA,
	A0803CB0344,	QFN 36L,	,	,	,	185*185mil,	2,	0,	2,	須加壓板 ; SH(K&S :H/B: SK1210/01;W/C:SK1210/01) ; 每個BLOCK有2直8橫共16顆Die,	185*185mil,	2,	8,	16,	SK1210/01,	SK1210/01,	H002,	W002,	24660,	2200,
	A0801CB0348,	,	 Normal (L/F),	LQFP 64L,	,	210*210,	1,	0,	1,	須加壓板 ; SH (UTC-1000 : SK2489/01) ; 每個BLOCK有4直3共12顆Die ; 2007/11/30,	210*210,	4,	3,	12,	SK2489/01,	SK2489/01,	H001,	W001,	3450,	4200,
	A0801CB0349,	,	Substrate,	FBGA 60L,	339*281*10 mil,	,	11,	0,	11,	須加壓板 ; SH (UTC-1000 : SK2491/01) ; 每個BLOCK有4直4共16顆Die ; 2008/03/17,	339*281*10mil,	4,	4,	16,	SK2491/01,	SK2491/01,	H011,	W011,	3450,	4200,
	A0801CB0350,	,	Substrate,	FBGA 84L,	201*389*10 mil,	,	3,	0,	3,	須加壓板 ; SH (UTC-1000 : SK2492/01) ; 每個BLOCK有2直4共8顆Die ; 2007/12/07,	201*389*10mil,	2,	4,	8,	SK2492/01,	SK2492/01,	H003,	W003,	3450,	4200,
	A0803CB0351,	TQFP 128L,	,	,	,	190*190,	38,	0,	36,	須加壓板 ; SH( K&S:H/B:SK1228/03;W/C:SK1228/03);每個BLOCK有1直3橫共3顆Die;流水序號已到W037;H038,	190*190,	1,	3,	3,	SK1228/03,	SK1228/03,	H038,	W037,	NA,	NA,
	A0801CB0352,	,	Normal (L/F),	TSOPI-48L,	,	 433*646 mil,	19,	0,	19,	須加壓板 ; SH (UTC-1000 : SK2496/01) ; 每個BLOCK有1直3共3顆Die ; 2008/06/12 ; 熱板 1PCS 真空異常 ; 8/25已補齊,	433*646mil,	1,	3,	3,	SK2496/01,	SK2496/01,	H019,	W019,	2200,	2700,
	A0803CB0353,	QFN 68L,	,	,	,	190*190 mil,	8,	0,	8,	須加壓板 ; SH(K&S : H/B:SK1228/03;W/C:SK1228/01) ; 每個BLOCK有1直3橫共3顆Die ; (H/B :SK1228/3 * 2ea); H009;W010,	256*256 mil,	2,	6,	12,	SK1228/03,	SK1228/01,	H009,	W010,	24660,	2200,
	A0801CB0357,	,	 LOC,	TSOP2-66,	300*300 mil,	,	40,	0,	40,	須加壓板; UTC-1000每個BLOCK有2直3橫共6顆;2008/04/17;此H/B由A0801CB0266轉換成A0801CB0357 FOR 10 mil DIE厚度 ; 但A0801CB0357不可與A0801CB0266 H/B共用;序號到20號,	300*300mil,	2,	3,	6,	NA,	NA,	H040,	W040,	2950,	3450,
	A0801CB0489,	,	Normal (L/F),	LQFP 100,	,	236*236 mil,	0,	0,	0,	須加壓板 ; SH(UTC-1000 : 熱壓板SK2639/01); 每個BLOCK有1直2橫共2顆Die ; 2009/09/11 ;流水序號已到W003;H003;2011/5/16 PC同意將這3套寄給大陸上海廠生產,	236*236mil,	1,	2,	2,	SK2639/01,	SK2639/01,	H003,	W003,	1950,	2450,
	A0803CB0355,	QFP 56L,	,	,	,	185*213 mil,	12,	0,	12,	須加壓板 ; SH(K&S : H/B:SK1245/01;W/C:SK1245/01) ; 每個BLOCK有2直6橫共12顆Die ; 2012/07/31 H014;W012,	185*213 mil,	2,	6,	12,	SK1245/01,	SK1245/01,	H014,	W012,	24660,	2200,
	A0803CB0227,	QFP 128L,	,	,	,	315*315 mil,	17,	0,	17,	須加壓板 ; SH(K&S : H/B:SK1240/01;W/C:SK1240/01) ; 每個BLOCK有1直2橫共2顆Die,	315*315mil,	1,	2,	2,	SK1240/01,	SK1240/01,	H017,	W017,	2200,	2700,
	A0803CB0356,	QFN 84L,	,	,	,	197*197 mil,	3,	0,	2,	須加壓板 ; SH(K&S : H/B:SK1246/01;W/C:SK1246/01) ; 每個BLOCK有2直6橫共12顆Die,	197*197mil,	2,	6,	12,	SK1246/01,	SK1246/01,	H003,	W002,	24660,	2200,
	A0803CB0359,	LQFP 64L,	,	,	,	 210*210 mil,	7,	0,	7,	須加壓板 ; SH(K&S :H/B: SK1268/01;W/C:SK1268/01) ; 每個BLOCK有1直2橫共2顆Die ; 序號到H006;W006,	210*210mil,	1,	2,	2,	SK1268/01,	SK1268/01,	H007,	W007,	3450,	4200,
	A0801CB0360,	,	Normal (L/F),	FBGA 60LX,	276*407*6 mil,	,	1,	0,	1,	須加壓板 ; SH( UTC-1000 : SK2499 / 01 );每個BLOCK有1直4橫共4顆Die ; 2008/02/21,	276*407*6mil,	1,	4,	4,	SK2499/01,	SK2499/01,	H001,	W001,	3450,	4200,
	A0803CB0361,	QFN 24L,	,	,	,	102*102 mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1265/01;W/C:SK1265/01) ; 陶瓷熱板 ; 2008/2/26 陶瓷熱板,	102*102mil,	1,	1,	1,	SK1265/01,	SK1265/01,	H001,	W001,	24660,	2200,
	A0803CB0362,	QFP 128L,	,	,	,	197*197 mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1266/01;W/C:SK1266/01) ; 每個BLOCK有1直2橫共2顆Die ;  PS. CU WIRE,	197*197mil,	1,	2,	2,	SK1266/01,	SK1266/01,	H001,	W001,	2200,	2700,
	A0803CB0363,	FBGA 60L,	,	,	,	10.5*10mm,	0,	0,	0,	須加壓板 ; SH(K&S : H/B:SK1264/01;W/C:SK1264/01) ; 每個BLOCK有1直5橫共5顆Die ; PS.CU WIRE,	10.5*10mm,	1,	5,	5,	SK1264/01,	SK1264/01,	H001,	W001,	2200,	2700,
	A0801CB0364,	,	Normal (L/F),	TSOP1-48L,	,	433*646,	5,	0,	5,	須加壓板 ; SH( UTC-1000 : SK2507 / 01 );每個BLOCK有1直3橫共3顆Die ; 2008/05/29,	433*646,	1,	3,	3,	SK2507/01,	SK2507/01,	H005,	W005,	3450,	4200,
	A0803CB0294,	TSOP II 44L,	,	,	,	260*260mil,	3,	0,	3,	SH(K&S :H/B: SK1294/02;W/C:SK1294/02) ; 每個BLOCK有1直3橫共3顆Die ; 2017/12/20; 流水序號已到H004; W004,	260*260mil,	1,	3,	3,	SK1294/02,	SK1294/02,	H004,	W004,	NA,	NA,
	A0803CB0301,	FBGA 60MV,	,	,	,	8*11.5mm,	0,	0,	0,	須加壓板 ; SH(K&S :H/B: SK1295/01;W/C:SK1295/01) ; 每個BLOCK有1直4橫共4顆Die,	8*11.5mm,	1,	4,	4,	SK1295/01,	SK1295/01,	H001,	W001,	2200,	2700,
	A0803CB0365,	QFN 64L,	,	,	,	157*157mil,	10,	0,	10,	須加壓板 ; SH(K&S :H/B:SK1297/01;W/C:SK1297/01) ; 每個BLOCK有2直6橫共12顆Die,	157*157mil,	2,	6,	12,	SK1297/01,	SK1297/01,	H010,	W010,	24660,	2200,
	A0801CB0367,	,	Normal (L/F),	TQFP 80L,	,	 220*220mil,	3,	0,	3,	須加壓板 ; SH(UTC-1000 : SK2511/01) ;每個BLOCK有1直2橫共2顆Die ; 2008/6/27;一塊熱板因DIE PAD要貼TAPE防止球暴扁;更改DIE PAD深度(原DOWNSET深度再挖深210um),	220*220mil,	1,	2,	2,	SK2511/01,	SK2511/01,	H003,	W003,	3450,	4200,
	A0801CB0368,	,	Normal (L/F),	LQFP 64L,	,	236*236 mil,	15,	0,	15,	須加壓板 ; SH(UTC-1000 : SK2512/01) ;每個BLOCK有1直2橫共2顆Die ; 2008/07/29,	236*236mil,	1,	2,	2,	SK2512/01,	SK2512/01,	H015,	W015,	3450,	4200,
	A0801CB0369,	,	Normal (L/F),	TSOP-2  48L,	,	207*142 mil,	1,	0,	1,	須加壓板 ; SH(UTC-1000  : SK2513/01) ;每個BLOCK有1直2橫共2顆Die ; 2008/04/07,	207*142mil,	1,	2,	2,	SK2513/01,	SK2513/01,	H001,	W001,	3450,	4200,
	A0801CB0366,	,	Normal (L/F),	TSOP-2  54L,	,	275*150  mil,	1,	0,	1,	須加壓板 ; SH(UTC-1000  : SK2508/01) ;每個BLOCK有1直3橫共3顆Die ; 2008/04/07,	275*150mil,	1,	3,	3,	SK2508/01,	SK2508/01,	H001,	W001,	3450,	4200,
	A0803CB0231,	LQFP 48L,	,	,	,	160*160,	11,	0,	11,	須加壓板 ; 每個BLOCK有1直3橫共2顆Die ; SH(K&S :H/B: SK1308/01;W/C:SK1308/01) ; 2007/4/7;新增10SET熱壓板;流水號已到H011;W011,	160*160,	1,	3,	3,	SK1308/01,	SK1308/01,	H011,	W011,	2950,	3450,
	A0801CB0370,	,	Normal (L/F),	TSOPI-48L,	,	646*433 mil,	6,	0,	6,	須加壓板 ; SH (UTC-1000 : SK2515/01) ; 每個BLOCK有1直2共2顆Die ; 2008/05/21,	646*433mil,	1,	2,	2,	SK2515/01,	SK2515/01,	H006,	W006,	2200,	2700,
	A0801CB0371,	,	 Normal (L/F),	TSOPI-48L,	,	 646*433 mil,	4,	0,	4,	須加壓板 ; SH( UTC-1000 : SK2516 / 01 );每個BLOCK有1直2橫共2顆Die ; 2008/05/21,	646*433mil,	1,	2,	2,	SK2516/01,	SK2516/01,	H004,	W004,	2200,	2700,
	A0801CB0372,	,	Normal (L/F),	TSOP 2-44L,	,	260*260 mil,	1,	0,	1,	須加壓板 ; SH( UTC-1000 : SK2518 / 01 );每個BLOCK有1直3橫共3顆Die ; 2008/04/22,	260*260mil,	1,	3,	3,	SK2518/01,	SK2518/01,	H001,	W001,	2200,	2700,
	A0803CB0374,	QFN 48L,	,	,	,	134*134 mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1323/01;W/C:SK1323/01) ; 每個BLOCK有2直8橫共16顆Die,	134*134mil,	2,	8,	16,	SK1323/01,	SK1323/01,	H001,	W001,	2200,	2700,
	A0801CB0375,	,	Normal (L/F),	TSOPI-56L,	,	 270*350mil,	7,	0,	7,	須加壓板 ; SH(UTC-1000 : SK2523/01) ;每個BLOCK有1直2橫共2顆Die ; 2008/06/10 ;流水序號已到W007 ; H007,	270*350mil,	1,	2,	2,	SK2523/01,	SK2523/01,	H007,	W007,	1950,	2450,
	A0801CB0361,	,	Normal (L/F),	QFN 24L,	,	102*102mil,	1,	0,	1,	須加壓板 ; SH( UTC-1000 : SK2521 / 01 );每個BLOCK有4直4橫共16顆Die ; 2008/05/16 陶瓷熱板,	102*102mil,	4,	4,	16,	SK2521/01,	SK2521/01,	H001,	W001,	3450,	4200,
	A0803CB0378,	QFN 64L,	,	,	,	 248*248,	17,	0,	21,	須加壓板 ; SH(K&S : H/B:SK1329/01;W/C:SK1329/01) ; 每個BLOCK有1直6橫共6顆Die ;序號到H022;W023,	248*248,	1,	6,	6,	SK1329/01,	SK1329/01,	H022,	W023,	24660,	2200,
	A0803CB0829,	,	,	,	,	460*263,	3,	0,	3,	SH( K&s : H/B&W/C:SK5610/01); 每個BLOCK有1直2橫共2顆Die ; 2014/07/02;流水序號已到H003 ; W003,	460*263,	1,	2,	2,	SK5610/01,	SK5610/01,	H003,	W003,	NA,	NA,
	A0801CB0829,	,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-3000 : 熱壓板編號 SK3040/01) ; 每個BLOCK有1直2橫共2顆Die ; 2014/06/26;流水序號已到H003; W003,	460*263,	1,	2,	2,	SK3040/01,	SK3040/01,	H003,	W003,	1900,	2400,
	A0803CB0830,	VFBGA 67L,	,	,	,	6.5*8,	8,	0,	8,	SH( K&S : H/B:SK5620/01; W/C : SK5620/01 );每個BLOCK有1直8橫共8顆Die ; 2020/04/01流水序號已到W008; H008,	6.5*8,	1,	8,	8,	SK5620/01,	SK5620/01,	H008,	W008,	NA,	NA,
	A0801CB0830,	VFBGA-67L,	,	,	,	,	1,	0,	1,	須加壓板 ;SH (UTC-2000/S : SK3044/01) ; 每個BLOCK有1直8橫共8顆Die ; 2014/08/04;流水序號已到H001 ; W001,	6.5*8 mil,	1,	8,	8,	SK3044/01,	SK3044/01,	H001,	W001,	3250,	4150,
	A0801CB0831,	TSOP I -48L,	,	,	,	272*345mil,	70,	0,	70,	SH (UTC-3000 : 熱板SK3048/02;壓板SK3048/03;2015/8/19熱壓板改為02版;2016/4/26壓板改為03版;2017/1/9PE冠瑋壓板改為08版) ; 每個BLOCK有1直3橫共3顆Die ; 2017/12/19，流水序號已到H074; W093,	272*345mil,	1,	3,	3,	SK3048/02,	SK3048/08,	H074,	W093,	2150,	2880,
	A0801CB0834,	TSOP 1 -56L,	,	,	,	,	13,	0,	13,	須加壓板 ;SH (UTC-2000/S : 熱板:SK3050/01;壓板:SK3050/02);每個BLOCK有1直2橫共2Die;2014/09/03;流水序號已到H013; W016,	φ2.0 mm,	1,	2,	2,	SK3050/01,	SK3050/02,	H013,	W016,	1900,	2400,
	A0801CB0835,	TSOP 1 -56L,	,	,	,	,	13,	0,	13,	須加壓板 ;SH (UTC-2000/S : 熱板:SK3051/01;壓板:SK3051/02);每個BLOCK有1直2橫共2Die;2014/09/03;流水序號已到H013; W016,	φ3.0 mm,	1,	2,	2,	SK3051/01,	SK3051/02,	H013,	W016,	1900,	2400,
	A0803CB0834,	,	,	,	,	,	3,	0,	3,	SH( K&s : H/B:SK5631/01; W/C : SK5631/01 );每個BLOCK有1直2橫共2顆Die ; 2014/08/27流水序號已到W003 ; H003,	,	1,	2,	2,	SK5631/01,	SK5631/01,	H003,	W003,	NA,	NA,
	A0803CB0389,	LQFP 48L,	,	,	,	120*120,	3,	0,	3,	SH(K&S :HB: SK1339/02; WC:SK1339/02);每個BLOCK有2直3橫共6顆Die;2017/07/27;序號到H004;W004,	120*120,	2,	3,	6,	SK1339/02,	SK1339/02,	H004,	W004,	NA,	NA,
	A0803CB0390,	LQFP 48L,	,	,	,	181*181 mil,	1,	0,	1,	須加壓板 ; SH(K&S :H/B: SK1340/01;W/C:SK1340/01) ; 每個BLOCK有2直3橫共6顆Die,	181*181mil,	2,	3,	6,	SK1340/01,	SK1340/01,	H001,	W001,	2950,	3450,
	A0803CB0391,	QFN 46L,	,	,	,	209*130,	33,	0,	34,	須加壓板 ; SH(K&S : H/B:SK1341/01;W/C:SK1341/01) ; Sawing type 共用; 序號到H045;W036,	209*130,	1,	1,	1,	SK1341/01,	SK1341/01,	H045,	W036,	2200,	2700,
	A0801CB0392,	,	Substrate,	FBGA 68L,	262*509*10 mil,	,	55,	0,	55,	須加壓板 ; SH(UTC-1000 : 壓板SK2536/01 熱板SK2536/02) ;每個BLOCK有4直5橫共20顆Die;2011/11/29; 流水序號到 H058;W056;2/2 1PCS熱板損壞 ; 2/26補齊，2011/11/29熱板損壞1PCS，已補齊,	262*509*10mil,	4,	5,	20,	SK2536/02,	SK2536/01,	H058,	W056,	11450,	7200,
	A0803CB0393,	TQFP 128L,	,	,	,	250*250 mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1344/01;W/C:SK1344/01) ; 每個BLOCK有1直2橫共18顆Die;2008/6/30,	250*250mil,	1,	2,	2,	SK1344/01,	SK1344/01,	H001,	W001,	2200,	2700,
	A0803CB0206,	QFP 44L,	,	,	,	205*205 mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1345/01;W/C:SK1345/01) ; 每個BLOCK有1直1橫共1顆Die,	205*205 mil,	1,	1,	1,	SK1345/01,	SK1345/01,	H001,	W001,	1700,	2200,
	A0801CB0394,	,	Substrate,	VFBGA 60L,	,	351*303 mil,	1,	0,	1,	須加壓板 ; SH (UTC-1000 : SK2537/01) ; 每個BLOCK有4直5共20顆Die ; 2008/07/03,	351*303mil,	4,	5,	20,	SK2537/01,	SK2537/01,	H001,	W001,	3450,	3200,
	A0803CB0395,	TQFP 128L,	,	,	,	 114*114 mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1347/01;W/C:SK1347/01) ; 每個BLOCK有2直9橫共18顆Die;2008/7/4,	114*114mil,	2,	9,	18,	SK1347/01,	SK1347/01,	H001,	W001,	24660,	2200,
	A0803CB0396,	QFN 48L,	,	,	,	134*134 mil,	1,	0,	1,	須加壓板 ; SH(K&S : H/B:SK1348/01;W/C:SK1348/01) ; 每個BLOCK有2直8橫共16顆Die;2008/7/4,	134*134mil,	2,	8,	16,	SK1348/01,	SK1348/01,	H001,	W001,	2200,	2700,
	A0803CB0397,	QFN 48L,	,	,	,	181*181,	18,	0,	18,	SH(K&S : H/B:SK1349/01;W/C:SK1349/01) ; 每個BLOCK有2直8橫共16顆Die ; 序號到H019;W018,	181*181,	2,	8,	16,	SK1349/01,	SK1349/01,	H019,	W018,	NA,	NA,
	A0803CB0398,	QFN 72L,	,	,	,	244*244,	25,	0,	28,	SH(K&S :HB: SK1353/02; WC:SK1353/01);每個BLOCK有2直5橫共10顆Die;2015/10/29 更改真空孔;2020/03/04;流水號到H073;W030,	244*244,	2,	5,	10,	SK1353/02,	SK1353/01,	H073,	W030,	NA,	NA,
	A0801CB0399,	,	Normal (L/F),	TSOP1-48L,	,	350*395 mil,	6,	0,	6,	須加壓板 ; SH (UTC-1000 : SK2541/01) ; 每個BLOCK有1直2共2顆Die ; 2008/08/08;流水序號到 H007;W006;  2010/01/15熱板1pcs受損 ; 1/25已補齊,	350*395mil,	1,	2,	2,	SK2541/01,	SK2541/01,	H007,	W007,	2950,	2450,
