ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,IDLE,,,,AOK048TV1029A,,22-04-05 07:53,,,,,,,R13OKL615,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,,2200
BB212,UTC3000,RUNNING,R14CDB503,2200,096EFCD001,ACD096EF2001B,22-04-05 16:14,22-04-04 21:24,ETRON,FBGA-96UEF,4948,,1091A07T41,,R14CDAW02,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,262.6932,22-04-05 16:14,2200
BB213,UTC3000,IDLE,,,,AMS078EN1001A,,22-04-05 05:44,,,,,,,R14MSBV05,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,,2200
BB214,UTC3000,RUNNING,R14CDB602,2200,096EFCD001,ACD096EF2001B,22-04-05 18:46,22-04-04 23:50,ETRON,FBGA-96UEF,4973,,1091A07T41,,R14CDAZ03,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,262.6932,22-04-05 18:46,2200
BB215,UTC3000,RUNNING,R14ABD302,3200,162KEAB011,AAB162KE1006A,22-04-06 01:49,22-04-05 06:39,WINBOND,STBGA162B4U,2020,04/05/2022 SP,,,R14LWCC03,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,412.5821,22-04-06 01:49,3200
BB216,UTC3000,IDLE,,,,AMS078EN1001A,,22-04-05 02:16,,,,04/06/2022 SP,,,R14MSBU02,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,,2200
BB217,UTC3000,IN-REPAIR,R14NVPN08,2200,132X2NV158,ANV132X2C059A,22-04-05 15:04:55,22-04-05 07:52,PHISON,STBGA132G4VT,1121,04/07/2022 SP,1091A06C41,,R13OKL114,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,112.6849,22-04-05 15:04,2200
BB218,UTC3000,IN-REPAIR,R14CDB504,2200,096EFCD001,ACD096EF2001B,22-04-05 18:36:52,22-04-05 07:52,ETRON,FBGA-96UEF,4960,04/08/2022 SP,1091A07T41,,R14CDAW05,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,262.6932,22-04-05 18:36,2200
BB219,UTC3000,RUNNING,R14NVPN11,2200,132X2NV158,ANV132X2C059A,22-04-05 15:01,22-04-05 05:21,PHISON,STBGA132G4VT,1089,04/09/2022 SP,1091A06C41,,R13OKL112,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,112.6849,22-04-05 15:01,2200
BB220,UTC3000,IDLE,,,,AOK048TV1029A,,22-04-05 05:57,,,,04/10/2022 SP,,,R13OKL612,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,,2200
