OPER,CUST,B/D#,MODEL,G.UPH
2200,MXIC,AAW016D53004A,UTC1000S,89.62491428571427
2200,MXIC,AAW016D53004A,UTC1000,89.62491428571427
2200,MXIC,AAW016D53004A,UTC2000S,89.62491428571427
2200,MXIC,AAW016D53004A,UTC3000,89.62491428571427
2200,MXIC,AAW016D53004A,UTC2000,92.3769
2200,MXIC,AAW016D53004A,ICONN,89.62491428571427
2200,MXIC,AAW016D53004A,ICONN-PLUS,89.62491428571427
2200,MXIC,AAW016D53004A,RAPID,89.62491428571427
2200,MXIC,AAW016D53004A,UTC5000S,107.6208
2200,MXIC,AAW016D53004A,MAXUM,89.62491428571427
2200,MXIC,AAW016D53004A,MAXUM-PLUS,79.2414
2200,MXIC,AAW016D53004A,MAXUM-BASE,89.62491428571427
2200,MXIC,AAW016D53004A,MAXUM-CU,89.62491428571427
2200,MXIC,AAW016D53011A,UTC2000,85.2863
2200,MXIC,AAW016D53011A,UTC3000,101.2351
2200,MXIC,AAW016D53011A,UTC2000S,102.127
2200,MXIC,AAW016D53011A,UTC1000,102.127
2200,MXIC,AAW016D53011A,UTC1000S,102.127
2200,MXIC,AAW016D53011A,UTC5000S,108.9892
2200,MXIC,AAW016D53011A,RAPID,113.383
2200,MXIC,AAW016D53011A,ICONN-PLUS,102.127
2200,MXIC,AAW016D53011A,ICONN,102.127
2200,MXIC,AAW016D53011A,MAXUM,102.127
2200,MXIC,AAW016D53011A,MAXUM-CU,102.127
2200,MXIC,AAW016D53011A,MAXUM-BASE,102.127
2200,MXIC,AAW016D53011A,MAXUM-PLUS,104.2246
2200,EMC,AHQ0442J4004A,,231.44404
2200,EMC,AHQ0442J4004A,,231.44404
2200,EMC,AHQ0442J4004A,,231.44404
2200,EMC,AHQ0442J4004A,,231.44404
2200,EMC,AHQ0442J4004A,,231.44404
2200,EMC,AHQ0442J4004A,,231.44404
2200,EMC,AHQ0442J4004A,,231.44404
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,ANV0086A1032A,ICONN-PLUS,100.1652
2200,PHISON,ANV0086A1032A,MAXUM-PLUS,98.86224999999999
2200,PHISON,ANV0086A1032A,MAXUM-CU,98.86224999999999
2200,PHISON,ANV0086A1032A,MAXUM-BASE,98.86224999999999
2200,PHISON,ANV0086A1032A,MAXUM,98.86224999999999
2200,PHISON,ANV0086A1032A,RAPID,97.5593
2200,PHISON,ANV0086A1032A,ICONN,98.86224999999999
2200,PHISON,ANV0086A1065A,ICONN-PLUS,191.23678333333336
2200,PHISON,ANV0086A1065A,MAXUM,191.23678333333336
2200,PHISON,ANV0086A1065A,MAXUM-PLUS,108.1061
2200,PHISON,ANV0086A1065A,ICONN,191.23678333333336
2200,PHISON,ANV0086A1065A,MAXUM-CU,191.23678333333336
2200,PHISON,ANV0086A1065A,MAXUM-BASE,191.23678333333336
2200,PHISON,ANV0086A1065A,RAPID,191.23678333333336
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV0086A1075A,MAXUM,123.3695
2200,PHISON,ANV0086A1075A,RAPID,123.3695
2200,PHISON,ANV0086A1075A,ICONN,123.3695
2200,PHISON,ANV0086A1075A,MAXUM-BASE,123.3695
2200,PHISON,ANV0086A1075A,ICONN-PLUS,123.3695
2200,PHISON,ANV0086A1075A,MAXUM-CU,123.3695
2200,PHISON,ANV0086A1075A,MAXUM-PLUS,123.3695
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1076A,,220.92579999999998
2200,PHISON,ANV0086A1076A,,220.92579999999998
2200,PHISON,ANV0086A1076A,,220.92579999999998
2200,PHISON,ANV0086A1076A,,220.92579999999998
2200,PHISON,ANV0086A1076A,,220.92579999999998
2200,PHISON,ANV0086A1076A,,220.92579999999998
2200,PHISON,ANV0086A1076A,,220.92579999999998
2200,PHISON,ANV0086A1075A,,123.3695
2200,PHISON,ANV0086A1075A,,123.3695
2200,PHISON,ANV0086A1075A,,123.3695
2200,PHISON,ANV0086A1075A,,123.3695
2200,PHISON,ANV0086A1075A,,123.3695
2200,PHISON,ANV0086A1075A,,123.3695
2200,PHISON,ANV0086A1075A,,123.3695
2200,PHISON,ANV0086A1106A,,221.1585
2200,PHISON,ANV0086A1106A,,221.1585
2200,PHISON,ANV0086A1106A,,221.1585
2200,PHISON,ANV0086A1106A,,221.1585
2200,PHISON,ANV0086A1106A,,221.1585
2200,PHISON,ANV0086A1106A,,221.1585
2200,PHISON,ANV0086A1106A,,221.1585
2200,PHISON,ANV0086A1061A,,0.0
2200,PHISON,ANV0086A1061A,,0.0
2200,PHISON,ANV0086A1061A,,0.0
2200,PHISON,ANV0086A1061A,,0.0
2200,PHISON,ANV0086A1061A,,0.0
2200,PHISON,ANV0086A1061A,,0.0
2200,PHISON,ANV0086A1061A,,0.0
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,PHISON,ANV153XT9067A,,112.89644999999999
2200,LAPIS,AOK016D53002A,UTC2000,134.0743
2200,LAPIS,AOK016D53002A,UTC1000S,129.20456
2200,LAPIS,AOK016D53002A,UTC3000,129.20456
2200,LAPIS,AOK016D53002A,UTC2000S,129.20456
2200,LAPIS,AOK016D53002A,UTC1000,129.20456
2200,LAPIS,AOK016D53002A,MAXUM,129.20456
2200,LAPIS,AOK016D53002A,ICONN,129.20456
2200,LAPIS,AOK016D53002A,UTC5000S,129.20456
2200,LAPIS,AOK016D53002A,MAXUM-CU,129.20456
2200,LAPIS,AOK016D53002A,RAPID,129.20456
2200,LAPIS,AOK016D53002A,ICONN-PLUS,129.20456
2200,LAPIS,AOK016D53002A,MAXUM-PLUS,113.9934
2200,LAPIS,AOK016D53002A,MAXUM-BASE,129.20456
2200,HOSIN,ASS153XT3001A,UTC1000S,127.2132
2200,HOSIN,ASS153XT3001A,UTC2000,127.2132
2200,HOSIN,ASS153XT3001A,UTC3000,127.2132
2200,HOSIN,ASS153XT3001A,UTC2000S,127.2132
2200,HOSIN,ASS153XT3001A,UTC1000,127.2132
2200,HOSIN,ASS153XT3001A,RAPID,127.2132
2200,HOSIN,ASS153XT3001A,MAXUM-CU,127.2132
2200,HOSIN,ASS153XT3001A,MAXUM-BASE,127.2132
2200,HOSIN,ASS153XT3001A,MAXUM,127.2132
2200,HOSIN,ASS153XT3001A,ICONN,127.2132
2200,HOSIN,ASS153XT3001A,MAXUM-PLUS,127.2132
2200,HOSIN,ASS153XT3001A,ICONN-PLUS,127.2132
2200,ENG,ANV0086A1058A,,0.0
2200,ENG,ANV0086A1058A,,0.0
2200,ENG,ANV0086A1058A,,0.0
2200,ENG,ANV0086A1058A,,0.0
2200,ENG,ANV0086A1058A,,0.0
2200,ENG,ANV0086A1058A,,0.0
2200,ENG,ANV0086A1058A,,0.0
2200,ENG,ANV0086A1055A,,0.0
2200,ENG,ANV0086A1055A,,0.0
2200,ENG,ANV0086A1055A,,0.0
2200,ENG,ANV0086A1055A,,0.0
2200,ENG,ANV0086A1055A,,0.0
2200,ENG,ANV0086A1055A,,0.0
2200,ENG,ANV0086A1055A,,0.0
2200,PHISON,ANV0086A1008A,ICONN,152.2159
2200,PHISON,ANV0086A1008A,RAPID,152.039375
2200,PHISON,ANV0086A1008A,MAXUM,152.023
2200,PHISON,ANV0086A1008A,MAXUM-BASE,152.039375
2200,PHISON,ANV0086A1008A,MAXUM-CU,152.039375
2200,PHISON,ANV0086A1008A,MAXUM-PLUS,151.7027
2200,PHISON,ANV0086A1008A,ICONN-PLUS,152.2159
2200,PHISON,ANV0086A1082A,MAXUM-PLUS,205.7069
2200,PHISON,ANV0086A1082A,ICONN-PLUS,239.511
2200,PHISON,ANV0086A1082A,MAXUM-CU,221.87954
2200,PHISON,ANV0086A1082A,RAPID,251.2103
2200,PHISON,ANV0086A1082A,MAXUM-BASE,221.87954
2200,PHISON,ANV0086A1082A,ICONN,227.695
2200,PHISON,ANV0086A1082A,MAXUM,185.2745
2200,PHISON,ANV0086A1076A,RAPID,178.9209
