ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB211,UTC3000,RUNNING,R21AWAC14,2200.0,048TPAW086,AAW048TP1041B,22-05-23 10:16,22-05-23 00:59,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R20AWEC46,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-05-23 10:16,2200,30949.714285714286
BB212,UTC3000,RUNNING,R18NVUF35,3200.0,345XTNV080,ANV345XTG002A,22-05-23 11:12,22-05-23 01:41,PHISON,STBGA345NBC,701.0,,1091A07C41,4P,R18NVUF30,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-23 11:12,3200,0.0
BB213,UTC3000,WAIT-SETUP,,,,ANV345XTG002A,,22-05-23 06:51,,,,,,,R21ABFB02,STBGA24D6U,WINBOND,AAB024XJ6011A,1091A07T21,69.5439,,3200,0.0
BB214,UTC3000,RUNNING,R18NVUF47,3200.0,345XTNV080,ANV345XTG002A,22-05-23 15:55,22-05-23 06:49,PHISON,STBGA345NBC,670.0,,1091A07C41,4P,R18NVUF52,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-23 15:55,3200,0.0
BB215,UTC3000,RUNNING,R19OKB412,2200.0,048TVOK056,AOK048TV1029A,22-05-23 19:35,22-05-23 07:48,LAPIS,TSOP1-48A2,2560.0,,1091A07C41,,R19OKB409,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,217.3206,22-05-23 19:35,2200,21994.5
BB216,UTC3000,WAIT-REPAIR,R18VGB301,3600.0,024XJVG008,ABU024XJ8004A,22-05-23 08:09:48,22-05-23 06:37,ISSI-VG,STBGA24D4U,4214.0,,,,R18VGBG01,STBGA24D4U,ISSI-VG,ABU024XJ8004A,1091A07T41,546.937,22-05-23 08:09,3600,0.0
BB217,UTC3000,RUNNING,R18NVUF33,3200.0,345XTNV080,ANV345XTG002A,22-05-23 04:00,22-05-22 18:29,PHISON,STBGA345NBC,702.0,,1091A07C41,4P,R18NVUF21,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-23 04:00,3200,0.0
BB218,UTC3000,RUNNING,R18NVUF19,3200.0,345XTNV080,ANV345XTG002A,22-05-23 15:02,22-05-23 06:00,PHISON,STBGA345NBC,665.0,,1091A07C41,4P,R18NVUF25,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-23 15:02,3200,0.0
BB219,UTC3000,RUNNING,R18NVUF28,3200.0,345XTNV080,ANV345XTG002A,22-05-23 11:00,22-05-23 01:34,PHISON,STBGA345NBC,694.0,,1091A07C41,4P,R18NVUF26,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-23 11:00,3200,0.0
BB220,UTC3000,RUNNING,R19NVVK02,2200.0,132X2NV232,ANV132X2C090A,22-05-22 07:24,22-05-22 07:19,PHISON,STBGA132G4V,1019.0,,1091A07C41,Q,R19NVVK01,STBGA132G4V,PHISON,ANV132X2C090A,1091A07C41,,22-05-22 07:24,2200,371.66666666666663
