assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	N36BWBU44  ,	2,	2470,	2020/9/11 下午 06:47:42,	WSM       ,	Y,	3720,	N36BWBU44  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	184741,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU44  ,	2,	2470,	2020/9/11 下午 06:47:42,	WSM       ,	Y,
	N36BWBU48  ,	2,	2470,	2020/9/12 上午 01:47:10,	WSM       ,	Y,	3720,	N36BWBU48  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200912,	14710,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU48  ,	2,	2470,	2020/9/12 上午 01:47:10,	WSM       ,	Y,
	N36BWBU52  ,	2,	2470,	2020/9/12 上午 08:20:03,	WSM       ,	Y,	3720,	N36BWBU52  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200912,	82003,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU52  ,	2,	2470,	2020/9/12 上午 08:20:03,	WSM       ,	Y,
	P39BWCF76  ,	2,	2470,	2021/10/3 上午 04:04:07,	WSM       ,	Y,	3720,	P39BWCF76  ,	AKM          ,	WLCSP          ,	000IABW112               ,	WSDS127A                                          ,	7149,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09973AUC0-B4{FT1}{FRM-PP}                       ,	5K4627                   ,	N,	N,	0,	0,	20220511,	224955,	2021/9/24 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09973AUC0-B4{FT1}{FRM-PP}                       ,	PROD        ,	2021/9/25 上午 12:00:00,	2021/9/26 上午 12:00:00,	2021/9/27 上午 12:00:00,	2021/9/28 上午 12:00:00,	2021/9/28 上午 12:00:00,	8 ,	,	 A C C A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	口袋破損                           ,	P39BWCF,	P39BWCF76  ,	2,	2470,	2021/10/3 上午 04:04:07,	WSM       ,	Y,
	P80CMNR02  ,	2,	2470,	2021/8/19 下午 07:19:12,	WSM       ,	Y,	3720,	P80CMNR02  ,	ENG          ,	WLCSP          ,	000IACM233ENG            ,	130027000                                         ,	5000,	0,	3720,	A2,	N,	TSOP  ,	CM,	ARE70K0WA0-A01-ENG                                ,	ERA2107XXX               ,	N,	N,	0,	0,	20210819,	191911,	2021/8/11 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	ARE70K0WA0-A01-ENG                                ,	ENG         ,	2021/8/12 上午 12:00:00,	2021/8/13 上午 12:00:00,	2021/8/14 上午 12:00:00,	2021/8/15 上午 12:00:00,	2021/8/15 上午 12:00:00,	12,	 E,	 B A A B A                                                                      ,	                    ,	0,	 N,	     ,	CM99    ,	                         ,	20210810010.E  ,	1,	                                   ,	P80CMNR,	P80CMNR02  ,	2,	2470,	2021/8/19 下午 07:19:12,	WSM       ,	Y,
	R06BWAF55  ,	2,	2470,	2022/2/11 下午 08:14:32,	WSM       ,	Y,	3720,	R06BWAF55  ,	AKM          ,	WLCSP          ,	000IABW108               ,	WSDP237A                                          ,	1558,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK07314-XC2-FI{FT1}{FRM-PP}                       ,	5K3T78                   ,	N,	N,	0,	0,	20220407,	225143,	2022/2/8 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK07314-XC2-FI{FT1}{FRM-PP}                       ,	SWR         ,	2022/2/14 上午 12:00:00,	2022/2/15 上午 12:00:00,	2022/2/16 上午 12:00:00,	2022/2/16 上午 12:00:00,	2022/2/16 上午 12:00:00,	8 ,	 P,	 A B B B                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200605006.E  ,	1,	黑膠汙染                           ,	R06BWAF,	R06BWAF55  ,	2,	2470,	2022/2/11 下午 08:14:32,	WSM       ,	Y,
	R09BWF901  ,	2,	2470,	2022/5/18 下午 10:59:52,	WSM       ,	Y,	3720,	R09BWF901  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR13A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4T37                   ,	N,	N,	0,	0,	20220518,	230402,	2022/5/14 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/20 上午 12:00:00,	2022/5/21 上午 12:00:00,	2022/5/22 上午 12:00:00,	2022/5/22 上午 12:00:00,	2022/5/22 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R09BWF9,	R09BWF901  ,	2,	2470,	2022/5/18 下午 10:59:52,	WSM       ,	Y,
	R09BWF905  ,	2,	2470,	2022/5/19 上午 08:12:45,	WSM       ,	Y,	3720,	R09BWF905  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR13A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4T37                   ,	N,	N,	0,	0,	20220519,	81244,	2022/5/14 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/20 上午 12:00:00,	2022/5/21 上午 12:00:00,	2022/5/22 上午 12:00:00,	2022/5/22 上午 12:00:00,	2022/5/22 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R09BWF9,	R09BWF905  ,	2,	2470,	2022/5/19 上午 08:12:45,	WSM       ,	Y,
	R09BWF909  ,	2,	2470,	2022/5/19 下午 03:33:06,	WSM       ,	Y,	3720,	R09BWF909  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR13A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4T37                   ,	N,	N,	0,	0,	20220519,	153306,	2022/5/14 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/20 上午 12:00:00,	2022/5/21 上午 12:00:00,	2022/5/22 上午 12:00:00,	2022/5/22 上午 12:00:00,	2022/5/22 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R09BWF9,	R09BWF909  ,	2,	2470,	2022/5/19 下午 03:33:06,	WSM       ,	Y,
	R09BWF913  ,	2,	2470,	2022/5/19 下午 11:16:53,	WSM       ,	Y,	3720,	R09BWF913  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR13A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4T37                   ,	N,	N,	0,	0,	20220519,	231653,	2022/5/14 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/20 上午 12:00:00,	2022/5/21 上午 12:00:00,	2022/5/22 上午 12:00:00,	2022/5/22 上午 12:00:00,	2022/5/22 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R09BWF9,	R09BWF913  ,	2,	2470,	2022/5/19 下午 11:16:53,	WSM       ,	Y,
