assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	PXXASQD    ,	,	2059,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2059,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2060,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2060,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2061,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2061,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2090,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2090,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2200,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2200,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2205,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2205,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2210,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2210,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2230,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2230,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2250,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2250,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
	PXXASQD    ,	,	2300,	2021/11/24 下午 05:28:29,	S2784     ,	Y,	2070,	PXXASQD    ,	ChipMOS      ,	FBGA-84UC      ,	084UCAS104               ,	P98A3.01                                          ,	10,	0,	2070,	A2,	N,	TSOP  ,	FQ,	M14D5121632AM1AG{GVEX2}                           ,	MT2021111150             ,	N,	N,	0,	0,	20211124,	172829,	2021/11/24 上午 12:00:00,	AAS084CC2011A       ,	,	      ,	M,	                         ,	          ,	               ,	M14D5121632AM1AG{GVEX2}                           ,	PROD        ,	2021/11/27 上午 12:00:00,	2021/11/28 上午 12:00:00,	2021/11/29 上午 12:00:00,	2021/11/30 上午 12:00:00,	2021/11/30 上午 12:00:00,	12,	,	 C E E A A                                                                      ,	A0803CB1313         ,	30,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	PXXASQD,	PXXASQD    ,	,	2300,	2021/11/24 下午 05:28:29,	S2784     ,	Y,
