¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
429,	DFN-08YD2A  ,	ABU008YD2001A       ,	008YDVG005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
430,	DFN-08YD2A  ,	ABU008YD2009A       ,	008YDVG009               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
431,	TSOP1-48AM  ,	AMS048TW1050A       ,	048TWMS059               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
432,	DFN-08Y62D  ,	AAW008Y62018A       ,	008Y6AW036               ,	5.11,	0.00,	28.64,	0.00,	0.00,	0.00,
433,	MINIBGA24A4L,	AAW024MA6033B       ,	024MAAW060               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
434,	TSOP1-48/48M,	AAW048TP1043B       ,	048TPAW105               ,	0.00,	0.00,	2.10,	0.00,	0.00,	0.00,
435,	MAT         ,	                    ,	0008WNV207               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
436,	MAT         ,	                    ,	0008WNV323               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
437,	SMT         ,	ANV0086A1070A       ,	000SNV403                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
438,	uSD08AQV-C  ,	ANV0086A1078A       ,	0086ANV210               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
439,	FBGA-78UEP  ,	ARK078EP1001B       ,	078EPRK003               ,	103.20,	5.98,	125.70,	0.00,	0.00,	0.00,
440,	MAT         ,	                    ,	0008WEU051               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
441,	DFN-08YD2A  ,	AAB008YD2003A       ,	008YDAB014               ,	85.77,	0.00,	55.96,	0.00,	0.00,	14.08,
442,	DFN-08YQ2A  ,	AAB008YQ2036A       ,	008YQAB087               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
443,	MBGA24A2L   ,	AAB024MA6010A       ,	024MAAB027               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
444,	TSOP1-48AM  ,	AAB048TW2002A       ,	048TWAB016               ,	71.63,	2.16,	41.23,	0.00,	0.00,	0.00,
445,	VFBGA60B4L  ,	AAB060NR1007A       ,	060NRAB016               ,	0.00,	0.00,	5.72,	0.00,	0.00,	0.00,
446,	WLCSP       ,	                    ,	000IABW072               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
447,	WLCSP       ,	                    ,	000IABW107               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
448,	WLCSP       ,	                    ,	000IABW123               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
449,	QFN-32YF1A  ,	ABW032YF1007B       ,	032YFBW028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
450,	QFN-72AF1   ,	ABW072AF1004B       ,	072AFBW022               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
451,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI037               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
452,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI050               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
453,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI065               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
454,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI087               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
455,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI094               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
456,	FCDFN-08Y72D,	ANI008Y71001C       ,	008Y7NI003               ,	158.56,	0.00,	0.00,	0.00,	0.00,	0.00,
457,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI017               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
458,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI057               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
459,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI101               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
460,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI122               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
