¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
580,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI313               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
581,	MAT         ,	                    ,	0008WCM079               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
582,	MAT         ,	                    ,	0008WCME538ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
583,	WLCSP       ,	                    ,	000IACM233ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
584,	DFN-08YQ3AW ,	AAW008YQ3004A       ,	008YQCM142ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
585,	STDFN08YQ3AW,	AAB008YQ3021A       ,	008YQCME71ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
586,	MBGA24J3U   ,	AQW024MAA017A       ,	024MACM127ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
587,	FCBGA49AMF  ,	AST049UL1001A       ,	049ULCM003ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
588,	FBGA-78U9   ,	AMS078C93001B       ,	078U9CM010ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
589,	QFN88Y23AW  ,	AMF088Y23001A       ,	088Y2CME002ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
590,	FBGA-96UEF  ,	AMS096EF2001A       ,	096EFCM061ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
591,	STBGA132G4V ,	ANV132X2C022A       ,	132X2CM105ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
592,	STBGA132G4VT,	ANV132X2C008A       ,	132X2CME53ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
593,	STBGA192B4U ,	AQT192X85001B       ,	192X8CM001ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
594,	MAT         ,	                    ,	0008WCD017               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
595,	TSOP2-54ME  ,	ACD054TA1008B       ,	054TNCD019               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
596,	TSOP2-54ME  ,	ACD054TN1008A       ,	054TNCD033               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
597,	DFN-08YQ2AW ,	AAS008YQ9002A       ,	008YQAS038               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
598,	TSOP2-66CME ,	AAS066TS1004B       ,	066TSAS017               ,	21.95,	2.88,	0.00,	0.00,	0.00,	0.00,
599,	FBGA-84UC   ,	AAS084CC2010A       ,	084UCAS080               ,	0.00,	0.00,	22.49,	0.00,	0.00,	0.00,
600,	FBGA-84UC   ,	AAS084CC2015B       ,	084UCAS105               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
601,	MAT         ,	                    ,	0008WVE015               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
602,	MBGA48J2U   ,	AGA048MA7001A       ,	048MAGA037               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
603,	WLCSP       ,	                    ,	000IAQR028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
604,	TSOP1-48/48M,	ABU048TP2003B       ,	048TPBU013               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
605,	FBGA-84UC(2),	ABU084CC2004B       ,	084UCBU006               ,	18.89,	0.00,	20.63,	5.60,	0.00,	0.00,
606,	FBGA-96UEI2 ,	ABU096EI1001A       ,	096EIBU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
607,	STDFN-08YQ2A,	ABU008YQ2015A       ,	008YQVG009               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
608,	DFN-08YQ2A  ,	ABU008YQ2006A       ,	008YQVG013               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
609,	TSOP1-48AM  ,	AMS048TW1053A       ,	048TWMS063               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
610,	TSOP1-48AM  ,	AMS048TW1036A       ,	048TWMS086               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
611,	MAT         ,	                    ,	0008WAW094               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
612,	STBGA24A3L  ,	AAW024XJ6014A       ,	024XJAW021               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
613,	TSOP1-48/48M,	AAW048TP1024D       ,	048TPAW056               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
614,	TSOP1-48/48M,	AAW048TP1034C       ,	048TPAW074               ,	0.00,	0.00,	2.95,	0.00,	0.00,	0.00,
615,	MBGA64J4U   ,	AAW064MR1008B       ,	064MRAW030               ,	38.37,	0.00,	0.00,	0.00,	0.00,	0.00,
616,	MAT         ,	                    ,	0008WNV419               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
617,	MAT         ,	                    ,	0008WNV486               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
618,	SMT         ,	TDANV153XT8028A-A   ,	000SNV149                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
619,	SMT         ,	ANV0086A1069A       ,	000SNV296                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
620,	SMT         ,	ANV345XTA010A       ,	000SNV393                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
621,	SSBGA132G4U ,	ANV132X2A023A       ,	132X2NV210               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
622,	STBGA345UBC ,	ANV345XTA010A       ,	345XTNV066               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
623,	LGA12CBP    ,	AUK012DN2003A       ,	012DNUK014               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
624,	WLCSP       ,	                    ,	000IAAB007               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
625,	DFN-08YB2G  ,	AAB008YB2008A       ,	008YBAB019               ,	32.24,	0.00,	0.00,	0.00,	0.00,	0.00,
626,	STDFN08YQ3AW,	AAB008YQ3021A       ,	008YQAB114               ,	0.00,	0.00,	14.19,	0.00,	0.00,	0.00,
627,	TSOP1-48AM  ,	AAB048TW2005A       ,	048TWAB014               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
628,	VFBGA54B4   ,	AB054NB2002A        ,	054NBAB001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
629,	TSOP2-54CME ,	AAB054TS1004A       ,	054TSAB011               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
630,	WLCSP       ,	ENG                 ,	000IABW015               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
631,	WLCSP       ,	                    ,	000IABW056               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
632,	QFN-32YB1A  ,	ABW032YB1004B       ,	032YBBW007               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
633,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI036               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
634,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI041               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
635,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI077               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
636,	DFN-08YK2A  ,	ANI008YK1006A       ,	008YKNI084               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
637,	DFN-08YK2A  ,	ANI008YK3002A       ,	008YKNI097               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
638,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI037               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
639,	QFN-10YK2A  ,	ANI010YK3003A       ,	010YKNI043               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
640,	QFN-10YK2A  ,	ANI010YK2001A       ,	010YKNI046               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
641,	QFN-10YK2A  ,	ANI010YK3004A       ,	010YKNI056               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
642,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI054               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
643,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI055               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
644,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI130               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
645,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI135               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
646,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI137               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
647,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI149               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
648,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI157               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
649,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI164               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
650,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI178               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
651,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI184               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
652,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI185               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
653,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI192               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
654,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI212               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
655,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI046               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
656,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI065               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
657,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
658,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI036               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
659,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI104               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
660,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI115               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
661,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI116               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
662,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI139               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
663,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI216               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
664,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI230               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
665,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI236               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
666,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI276               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
667,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI297               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
668,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI317               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
669,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI325               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
670,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI331               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
671,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI355               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
672,	MAT         ,	                    ,	0008WHQ178               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
673,	uSD08AQV    ,	ANV0086A1055A       ,	0086ACM131ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
674,	MBGA24J3U   ,	AQW024MAA015A       ,	024MACM128ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
675,	STBGA24J3U  ,	AAW024XW3001C       ,	024XWCM002ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
676,	TSOP1-48/M2 ,	AAW048TP1008B       ,	048TPCM120ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
677,	STBGA48P4L  ,	AVE048XZ3007A       ,	048XZCM012ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
678,	TSOP1-56/56S,	AAW056TH1015A       ,	056THCM128ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
679,	FBGA-96UEA  ,	ABU096EA4001A       ,	096EACM015ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
680,	SMT         ,	ACD008DR1022A       ,	000SCD031                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
681,	DFN-08YQ2AW ,	AAS008YQ2014A       ,	008YQAS031               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
682,	VFBGA48KEU  ,	AAS0484A1001A       ,	0484AAS001               ,	0.00,	0.00,	37.99,	0.00,	0.00,	17.18,
683,	MINIBGA48A1 ,	BU048MA2009B        ,	048MABU018               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
684,	MINIBGA48A2L,	ABU048MA4015A       ,	048MABU057               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
685,	MINIBGA48A1 ,	BU048MW2002C        ,	048MWBU015               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
686,	FBGA-60M3   ,	ABU060C32001D       ,	060C3BU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
687,	FBGA-60U9(2),	ABU060C91003A       ,	060U9BU003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
688,	FBGA-96LEA  ,	ABU096EA1001A       ,	096EABU001               ,	0.00,	0.00,	18.32,	0.00,	0.00,	0.00,
689,	MINIBGA165A3,	BU165ML3002C        ,	165MLBU089               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
690,	FBGA-96UEC  ,	AMS096EC3001B       ,	096ECMS010               ,	0.00,	11.13,	228.77,	16.69,	0.00,	16.62,
691,	SSBGA132B4U ,	ALW132NY4045A       ,	132NYLW079               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
692,	MAT         ,	                    ,	0008WAW082               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
693,	MAT         ,	                    ,	0008WAW096               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
694,	SMT         ,	ANV153XT9070A       ,	000SNV405                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
695,	uSD08AQV    ,	ANV0086A1058A       ,	0086ANV157               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
696,	uSD08AQV-C  ,	ANV0086A1076A       ,	0086ANV203               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
697,	MAT         ,	                    ,	0008WEU052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
698,	DFN-08YM2D  ,	AAB008YM2020A       ,	008YMAB069               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
699,	DFN-08YQ2A  ,	AAB008YQ2001B       ,	008YQAB010               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
700,	MBGA24D6U   ,	AAB024MA6030A       ,	024MAAB070               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
701,	STBGA24A2L  ,	AAB024XJ6005A       ,	024XJAB013               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
702,	VFBGA60B4L  ,	AAB060NR1004B       ,	060NRAB005               ,	7.65,	0.00,	5.48,	0.00,	0.00,	0.00,
703,	VFBGA63BFU  ,	AAB063NW3001A       ,	063NWAB003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
704,	FBGA-84UC2H ,	AAB084CC9001A       ,	084UCAB027               ,	0.00,	0.00,	35.28,	0.00,	0.00,	0.00,
705,	TSOP2-66CME ,	AYZ066TS1001A       ,	066TSYZ002               ,	0.00,	0.00,	25.92,	0.00,	0.00,	0.00,
706,	WLCSP       ,	                    ,	000IABW142               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
707,	TSOP2-54CME ,	ACS054TS1013A       ,	054TSCS019               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
708,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI010               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
709,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI020               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
710,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI035               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
711,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
712,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI055               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
713,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI058               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
714,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI059               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
715,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI095               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
716,	FCDFN-08Y72D,	ANI008Y71001C       ,	008Y7NI031               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
717,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI043               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
718,	QFN-10YK2A  ,	ANI010YK3001A       ,	010YKNI037               ,	131.84,	0.00,	0.00,	0.00,	0.00,	0.00,
719,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
720,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI095               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
721,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI136               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
722,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI141               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
723,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI152               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
724,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI050               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
725,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI056               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
726,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI058               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
727,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI069               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
728,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI027               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
729,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI032               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
730,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI040               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
731,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI096               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
732,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI128               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
733,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI129               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
734,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI130               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
735,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI153               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
736,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI159               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
737,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI172               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
738,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI214               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
739,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI217               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
740,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI226               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
741,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI301               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
742,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI323               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
743,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI332               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
744,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI335               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
745,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI345               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
746,	WLCSP       ,	                    ,	000IAXI002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
747,	MAT         ,	                    ,	0008WHQ179               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
748,	FPSLGA22t6V ,	AHQ0225N1002A       ,	0225NHQ003               ,	16.66,	0.00,	15.83,	2.78,	0.00,	2.80,
749,	FPSLGA22N6V ,	AHQ0225O2001A       ,	0225OHQ005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
750,	FPSTLGA44tBV,	AHQ0442J3003A       ,	0442JHQ026               ,	22.95,	0.00,	0.00,	0.00,	0.00,	0.00,
751,	FPSTLGA44tBV,	AHQ0442J3006A       ,	0442JHQ029               ,	0.00,	0.00,	5.40,	0.00,	0.00,	0.00,
752,	MAT         ,	                    ,	0008WCM298ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
753,	MAT         ,	                    ,	0008WCME440ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
754,	SOP-8G      ,	AAS008FG1034A       ,	008FGCME22ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
755,	DFN-08YQ3AW ,	ACM008YQ2005A       ,	008YQCME69ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
756,	FPSLGA34e4V ,	AHQ0345V1003A       ,	0345VCM005ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
757,	TSOP1-56/56S,	AAW056TH1015A       ,	056THCM127ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
758,	FBGA-96UEI2 ,	ABU096EI1001A       ,	096EICME002ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
759,	STBGA252G4VT,	AGJ252X02003A       ,	252X0CM006ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
760,	MBGA54A2L   ,	ACD054MF2003A       ,	054MFCD001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
761,	TSOP2-66ME  ,	ACD066TN1002A       ,	066TNCD019               ,	0.00,	0.00,	2.88,	0.00,	0.00,	0.00,
762,	FBGA-96UH6B ,	ACD096CA4001B       ,	096CACD004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
763,	FBGA-96UEF  ,	ACD096EF2001B       ,	096EFCD001               ,	0.00,	0.00,	21.69,	0.00,	0.00,	0.00,
764,	SOP-8G      ,	AAS008FG1011A       ,	008FGAS024               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
765,	MINIBGA48J3U,	AAS048MAB008A       ,	048MAAS011               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
766,	WLCSP       ,	                    ,	000IAQR026               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
767,	MINIBGA48A1 ,	CU048MA2012A        ,	048MABU002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
768,	FBGA-96UEF  ,	ABU096EF2002A       ,	096EFBU002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
769,	MINIBGA165A3,	ABU165ML3016A       ,	165MLBU093               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
770,	SMT         ,	ABU100X69005A       ,	000SVG016                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
771,	DFN-08Y62D  ,	ABU008Y62002A       ,	008Y6VG012               ,	0.00,	0.00,	113.53,	0.00,	0.00,	87.48,
772,	TSOP1-48/48M,	ABU048TP2005A       ,	048TPVG003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
773,	TSOP1-48/48M,	ABU048TP2008A       ,	048TPVG012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
774,	VFBGA63H8L  ,	ABU063NW1003A       ,	063NWVG002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
775,	SSBGA100D4U ,	ABU100X69008A       ,	100X6VG010               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
776,	VFBGA60K8L  ,	AMS060NR1003A       ,	060NRMS004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
777,	VFBGA132B4U ,	ALW132NY4049A       ,	132NYLW078               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
778,	MAT         ,	ENG                 ,	0008WAW068               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
779,	MAT         ,	                    ,	0008WAW088               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
780,	SMT         ,	AAW016D53004A       ,	000SAW007                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
781,	DFN-08Y62D  ,	AAW008Y62015A       ,	008Y6AW034               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
782,	DFN-08YM2D  ,	AAW008YM2004A       ,	008YMAW020               ,	0.00,	0.00,	232.59,	0.00,	0.00,	0.00,
783,	SSLGA16DOU  ,	AAW016D53011A       ,	016D5AW020               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
784,	SMT         ,	ANV153XT9078A       ,	000SNV341                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
785,	SMT         ,	ANV0086A1075A       ,	000SNV380                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
