process_id,Oper,master_desc,detail_desc,detail_id,remark,
	0008WAA9       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WAA9       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA9       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA9       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WDAE001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WDAF001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WE54ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WE54ENG    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WLAS001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WPRT001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WS201      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2880                                    ,
	0008WS201      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WS201      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS201      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS206      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WS206      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WS206      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WS206      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	8640                                    ,
	0008WS206      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008WS206      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS206      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS326      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800; DB-700                          ,
	0008WS326      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800; DB-700                          ,
	0008WS326      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800; DB-700                          ,
	0008WS326      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2880                                    ,
	0008WS326      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008WS326      ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008WS326      ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008WS353      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1600                                    ,
	0008WS353      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WS353      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS353      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA12      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	3520                                    ,
