bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	IA000015  ,	 B,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA201B               ,	0.008,	0.800,	,	          ,	20170914001 PJ改用量                    ,
	IA000013  ,	 A,	,	1,	3720,	1011CA190A               ,	0.027,	0.800,	,	          ,	                                        ,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	1,	2070,	120101106A               ,	0.000,	3.400,	0.203     ,	          ,	L008Y0407E9/靜電袋出貨                  ,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	2,	2070,	1071P10764               ,	0.000,	15.000,	          ,	          ,	,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	3,	2200,	1091A08T41               ,	0.000,	0.150,	8         ,	          ,	0.8mil Au                               ,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	4,	2300,	108192HF42               ,	0.000,	4.000,	          ,	          ,	1231BAS00A                              ,
	YK008646  ,	 A,	2021/10/20 上午 12:00:00,	5,	2410,	1011CA106A               ,	0.014,	0.800,	          ,	          ,	,
	Y7008602  ,	 B,	2021/11/5 上午 12:00:00,	1,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y7008602  ,	 B,	2021/11/5 上午 12:00:00,	2,	2070,	120100009A               ,	0.000,	3.400,	0.152     ,	          ,	,
	Y7008602  ,	 B,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA180A               ,	0.014,	0.800,	,	          ,	2/25 15 PACK PE PETER改貼布             ,
	Y7008602  ,	 B,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	IA000090  ,	 A,	,	1,	3720,	1011CA235A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000121  ,	 A,	,	1,	3720,	1011CA326A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000140  ,	 A,	2021/1/8 上午 12:00:00,	1,	3720,	1011CA349A               ,	0.008,	0.800,	4/500     ,	          ,	                                        ,
