¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
208,	ACD008DR1008B       ,	2200,	UTC2000     ,	20220219-B-ACD008DR1008B-2200-Criteria  ,	20220219,	195500,
209,	ACD008DR1008B       ,	2200,	UTC3000     ,	20220219-B-ACD008DR1008B-2200-Criteria  ,	20220219,	195500,
210,	ACD008DR1008B       ,	3200,	UTC2000     ,	20220219-B-ACD008DR1008B-3200-Criteria  ,	20220219,	195500,
211,	AYZ096EF2003A       ,	2200,	UTC2000     ,	20220209-A-AYZ096EF2003A-2200-Criteria  ,	20220209,	105930,
212,	AYZ096EF2003A       ,	2200,	UTC5000S    ,	20220209-A-AYZ096EF2003A-2200-Criteria  ,	20220209,	105930,
213,	ABU064RK1007A       ,	2200,	UTC1000S    ,	20220209-B-ABU064RK1007A-2200-Criteria  ,	20220209,	172136,
214,	ABU064RK1007A       ,	2200,	UTC2000     ,	20220209-B-ABU064RK1007A-2200-Criteria  ,	20220209,	172136,
215,	AOK048TV1029A       ,	2200,	UTC3000     ,	20220209-A-AOK048TV1029A-2200-Criteria  ,	20220209,	153729,
216,	AOK048TV1029A       ,	2200,	MAXUM-PLUS  ,	20220209-A-AOK048TV1029A-2200-Criteria  ,	20220209,	153729,
217,	AOK048TV1029A       ,	2200,	RAPID       ,	20220209-A-AOK048TV1029A-2200-Criteria  ,	20220209,	153729,
218,	ANI010YK3001A       ,	2200,	MAXUM       ,	20220209-A-ANI010YK3001A-2200-Criteria  ,	20220209,	154448,
219,	ABW032YF1013A       ,	2200,	MAXUM       ,	ABW032YF1013A-2200-Criteria             ,	20210327,	141223,
220,	ANI010YK3001A       ,	2200,	RAPID       ,	20220209-A-ANI010YK3001A-2200-Criteria  ,	20220209,	154448,
221,	AAS096EL1002A       ,	2200,	MAXUM       ,	20220209-A-AAS096EL1002A-2200-Criteria  ,	20220209,	205023,
222,	AOK016D54001A       ,	2200,	UTC3000     ,	20220209-A-AOK016D54001A-2200-Criteria  ,	20220209,	172711,
223,	AAB008YQ3013A       ,	3200,	MAXUM       ,	20220217-N-AAB008YQ3013A-3200-Criteria  ,	20220217,	93949,
224,	AQH072AF1001A       ,	2200,	MAXUM-PLUS  ,	AQH072AF1001A-2200-Criteria             ,	20210225,	182532,
225,	AQH072AF1001A       ,	2200,	MAXUM       ,	AQH072AF1001A-2200-Criteria             ,	20210225,	182532,
226,	AYZ066TS1001A       ,	2200,	MAXUM       ,	20220209-C-AYZ066TS1001A-2200-Criteria  ,	20220209,	214434,
227,	AAW016D53004A       ,	2200,	UTC2000     ,	AAW016D53004A-2200-Criteria             ,	20220210,	1434,
228,	AAW016D53004A       ,	2200,	UTC5000S    ,	AAW016D53004A-2200-Criteria             ,	20220210,	1434,
229,	AAW016D53004A       ,	2200,	MAXUM-PLUS  ,	AAW016D53004A-2200-Criteria             ,	20220210,	1434,
230,	AAW016D53004A       ,	2200,	RAPID       ,	AAW016D53004A-2200-Criteria             ,	20220210,	1434,
231,	ABU008YD2006A       ,	2200,	MAXUM-PLUS  ,	ABU008YD2006A-2200-Criteria             ,	20210226,	165033,
232,	ABU008YD2006A       ,	2200,	MAXUM       ,	ABU008YD2006A-2200-Criteria             ,	20210226,	165033,
233,	AAS048N01003A       ,	2200,	MAXUM       ,	20220210-A-AAS048N01003A-2200-Criteria  ,	20220210,	94115,
234,	ACD008DR1009B       ,	3200,	UTC2000     ,	20220215-B-ACD008DR1009B-3200-Criteria  ,	20220216,	110229,
235,	ACD008DR1009B       ,	2200,	UTC2000     ,	20220215-B-ACD008DR1009B-2200-Criteria  ,	20220216,	110229,
236,	AEU0086A1004A       ,	2200,	MAXUM-PLUS  ,	AEU0086A1004A-2200-Criteria             ,	20210225,	201632,
237,	ACD008DR1009B       ,	2200,	UTC3000     ,	20220215-B-ACD008DR1009B-2200-Criteria  ,	20220216,	110229,
238,	ABU078EA1001A       ,	2200,	UTC1000S    ,	20220214-A-ABU078EA1001A-2200-Criteria  ,	20220214,	230929,
239,	ABU078EA1001A       ,	2200,	UTC2000     ,	20220214-A-ABU078EA1001A-2200-Criteria  ,	20220214,	230929,
240,	AGA060NR1001A       ,	2200,	UTC1000S    ,	AGA060NR1001A-2200-Criteria             ,	20210225,	235630,
241,	AGA060NR1001A       ,	2200,	UTC2000     ,	AGA060NR1001A-2200-Criteria             ,	20210225,	235630,
242,	AMS048TW1057A       ,	2200,	UTC1000S    ,	AMS048TW1057A-2200-Criteria             ,	20220210,	144555,
243,	AAB008YQ3004A       ,	2200,	MAXUM       ,	20220215-E-AAB008YQ3004A-2200-Criteria  ,	20220215,	135239,
244,	ABU054NO2009A       ,	2200,	UTC1000S    ,	20220210-A-ABU054NO2009A-2200-Criteria  ,	20220210,	183048,
245,	ABU024MAA007A       ,	2200,	UTC1000S    ,	20220213-B-ABU024MAA007A-2200-Criteria  ,	20220213,	103543,
246,	ANV132X2B031A       ,	2200,	UTC2000     ,	20220215-E-ANV132X2B031A-2200-Criteria  ,	20220215,	160131,
247,	AAW024MAA002B       ,	2200,	UTC1000S    ,	20220210-A-AAW024MAA002B-2200-Criteria  ,	20220210,	183444,
248,	AAB066TN1001A       ,	2200,	UTC2000     ,	AAB066TN1001A-2200-Criteria             ,	20220210,	184158,
249,	AAB066TN1001A       ,	2200,	MAXUM-PLUS  ,	AAB066TN1001A-2200-Criteria             ,	20220210,	184158,
250,	AAB066TN1001A       ,	2200,	MAXUM       ,	AAB066TN1001A-2200-Criteria             ,	20220210,	184158,
251,	ANV345XTB029A       ,	3400,	UTC3000     ,	20220216-C-ANV345XTB029A-3400-Criteria  ,	20220216,	194403,
252,	ANV345XTB029A       ,	2200,	UTC3000     ,	20220216-C-ANV345XTB029A-2200-Criteria  ,	20220216,	194403,
253,	ANV345XTB029A       ,	3200,	UTC2000     ,	20220216-C-ANV345XTB029A-3200-Criteria  ,	20220216,	194403,
254,	ANV345XTB029A       ,	3200,	UTC3000     ,	20220216-C-ANV345XTB029A-3200-Criteria  ,	20220216,	194403,
255,	AHQ0282D3001A       ,	2200,	UTC3000     ,	20220211-B-AHQ0282D3001A-2200-Criteria  ,	20220211,	165635,
256,	AAS084CC2010A       ,	2200,	MAXUM-PLUS  ,	20220210-A-AAS084CC2010A-2200-Criteria  ,	20220210,	211216,
257,	AAB024MA6020A       ,	2200,	UTC2000     ,	AAB024MA6020A-2200-Criteria             ,	20210226,	101433,
258,	AAB024MA6020A       ,	2200,	UTC3000     ,	AAB024MA6020A-2200-Criteria             ,	20210226,	101433,
259,	AAS084CC2010A       ,	2200,	MAXUM       ,	20220210-A-AAS084CC2010A-2200-Criteria  ,	20220210,	211216,
260,	AAS084CC2010A       ,	2200,	ICONN       ,	20220210-A-AAS084CC2010A-2200-Criteria  ,	20220210,	211216,
261,	ABU008Y62003A       ,	2200,	MAXUM       ,	ABU008Y62003A-2200-Criteria             ,	20210326,	181538,
