ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB211,UTC3000,RUNNING,R42AWAI39,2200.0,048TPAW103,AAW048TP1008B,22-10-19 15:05,22-10-19 04:30,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R42AWAI21,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-10-19 15:05,2200,1098.6416738646926
BB212,UTC3000,RUNNING,R42AWAE09,2200.0,048TPAW103,AAW048TP1008B,22-10-19 16:33,22-10-19 05:58,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R41CDB503B,FBGA-96UH6B,ETRON,ACD096CA4001B,1091A07T41,68.0197,22-10-19 16:33,2200,1098.6416738646926
BB213,UTC3000,RUNNING,R41AWDA29,2200.0,048TPAW103,AAW048TP1008B,22-10-19 10:48,22-10-19 00:13,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R42AWAE40,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-10-19 10:48,2200,1098.6416738646926
BB214,UTC3000,WAIT-SETUP,R42AWAB29,2200.0,048TPAW103,AAW048TP1008B,22-10-19 07:11:34,22-10-19 06:55,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R42AWAD46,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-10-19 07:11,2200,1098.6416738646926
BB215,UTC3000,ENG,,,,AYU056TH2002B,22-10-19 07:47,22-10-19 07:47,,,,,,,R41CDB502,FBGA-96UH6B,ETRON,ACD096CA4001B,1091A07T41,223.112,,2200,0.0
BB216,UTC3000,RUNNING,R42AWAE17,2200.0,048TPAW103,AAW048TP1008B,22-10-18 21:56,22-10-18 11:21,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R41CDB501,FBGA-96UH6B,ETRON,ACD096CA4001B,1091A07T41,68.0197,22-10-18 21:56,2200,1098.6416738646926
BB217,UTC3000,IDLE,,,,ABU024XJ8004A,,22-10-18 04:31,,,,,,,R41VGPW02,STBGA24D4U,ISSI-VG,ABU024XJ8004A,1091A07T41,546.937,,3200,0.0
BB218,UTC3000,RUNNING,R42AWAI07,2200.0,048TPAW103,AAW048TP1008B,22-10-19 08:32,22-10-18 12:51,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R42AWA937,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-10-19 08:32,2200,1098.6416738646926
BB219,UTC3000,STOP,,,,AAW048TP1008B,22-10-19 07:13,22-10-19 07:13,,,,,,,R41CDB503A,FBGA-96UH6B,ETRON,ACD096CA4001B,1091A07T41,68.0197,,2200,1098.6416738646926
BB220,UTC3000,RUNNING,R41AWD608,2200.0,048TPAW103,AAW048TP1008B,22-10-19 16:01,22-10-19 05:26,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R42AWAI24,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-10-19 16:01,2200,1098.6416738646926
BB221,UTC3000,RUNNING,R41AWDA12,2200.0,048TPAW103,AAW048TP1008B,22-10-19 04:04,22-10-18 17:29,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R41AWEM35,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-10-19 04:04,2200,1098.6416738646926
BB222,UTC3000,RUNNING,R42AWAI31,2200.0,048TPAW103,AAW048TP1008B,22-10-19 08:32,22-10-18 21:57,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R42AWAE18,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-10-19 08:32,2200,1098.6416738646926
BB223,UTC3000,RUNNING,R41AWDA14,2200.0,048TPAW103,AAW048TP1008B,22-10-19 07:01,22-10-18 20:26,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R41AWEM19,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-10-19 07:01,2200,1098.6416738646926
BB224,UTC3000,RUNNING,R42AWAE14,2200.0,048TPAW103,AAW048TP1008B,22-10-18 20:07,22-10-18 09:32,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R41CDAY03,FBGA-96UH6B,ETRON,ACD096CA4001B,1091A07T41,68.0197,22-10-18 20:07,2200,1098.6416738646926
