assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	RE2ASCD02  ,	2,	2460,	2022/10/19 上午 07:51:20,	WSM       ,	Y,	5060,	RE2ASCD02  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	P29WC.03                                          ,	3000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MT2022100376             ,	N,	N,	0,	0,	20221019,	75120,	2022/10/15 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/10/18 上午 12:00:00,	2022/10/20 上午 12:00:00,	2022/10/21 上午 12:00:00,	2022/10/21 上午 12:00:00,	2022/10/21 上午 12:00:00,	,	,	 I K B G E                                                                      ,	                    ,	0,	Y3,	     ,	AS99    ,	1081G750V2               ,	,	,	                                   ,	RE2ASCD,	RE2ASCD02  ,	2,	2460,	2022/10/19 上午 07:51:20,	WSM       ,	Y,
	RE2ASCL02  ,	2,	2460,	2022/10/19 上午 07:32:03,	WSM       ,	Y,	5060,	RE2ASCL02  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	P29XC.01                                          ,	3000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MT2022100376             ,	N,	N,	0,	0,	20221019,	73202,	2022/10/15 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/10/18 上午 12:00:00,	2022/10/20 上午 12:00:00,	2022/10/21 上午 12:00:00,	2022/10/21 上午 12:00:00,	2022/10/21 上午 12:00:00,	,	,	 I K B G E                                                                      ,	                    ,	0,	Y3,	     ,	AS99    ,	1081G750V2               ,	,	,	                                   ,	RE2ASCL,	RE2ASCL02  ,	2,	2460,	2022/10/19 上午 07:32:03,	WSM       ,	Y,
	RE2MSCH03  ,	2,	2460,	2022/10/19 上午 07:26:07,	WSM       ,	Y,	5060,	RE2MSCH03  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	580064L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1000035420               ,	N,	N,	0,	0,	20221019,	72607,	2022/10/31 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/11/3 上午 12:00:00,	2022/11/5 上午 12:00:00,	2022/11/12 上午 12:00:00,	2022/11/12 上午 12:00:00,	2022/11/12 上午 12:00:00,	,	  ,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS42    ,	1081G771S1               ,	,	,	                                   ,	RE2MSCH,	RE2MSCH03  ,	2,	2460,	2022/10/19 上午 07:26:07,	WSM       ,	Y,
	RE2MSCI06  ,	2,	2460,	2022/10/19 上午 03:47:46,	WSM       ,	Y,	5060,	RE2MSCI06  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	580399L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1000035420               ,	N,	N,	0,	0,	20221019,	34746,	2022/10/31 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/11/3 上午 12:00:00,	2022/11/5 上午 12:00:00,	2022/11/12 上午 12:00:00,	2022/11/12 上午 12:00:00,	2022/11/12 上午 12:00:00,	,	  ,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS42    ,	1081G771S1               ,	,	,	                                   ,	RE2MSCI,	RE2MSCI06  ,	2,	2460,	2022/10/19 上午 03:47:46,	WSM       ,	Y,
	RE2MSCJ02  ,	2,	2460,	2022/10/19 上午 04:52:34,	WSM       ,	Y,	5060,	RE2MSCJ02  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	574422L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1000035421               ,	N,	N,	0,	0,	20221019,	45233,	2022/10/31 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/11/3 上午 12:00:00,	2022/11/5 上午 12:00:00,	2022/11/12 上午 12:00:00,	2022/11/12 上午 12:00:00,	2022/11/12 上午 12:00:00,	,	  ,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS42    ,	1081G771S1               ,	,	,	                                   ,	RE2MSCJ,	RE2MSCJ02  ,	2,	2460,	2022/10/19 上午 04:52:34,	WSM       ,	Y,
	RE2MSCJ06  ,	2,	2460,	2022/10/19 上午 05:47:28,	WSM       ,	Y,	5060,	RE2MSCJ06  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	574422L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1000035421               ,	N,	N,	0,	0,	20221019,	54728,	2022/10/31 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/11/3 上午 12:00:00,	2022/11/5 上午 12:00:00,	2022/11/12 上午 12:00:00,	2022/11/12 上午 12:00:00,	2022/11/12 上午 12:00:00,	,	  ,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS42    ,	1081G771S1               ,	,	,	                                   ,	RE2MSCJ,	RE2MSCJ06  ,	2,	2460,	2022/10/19 上午 05:47:28,	WSM       ,	Y,
	RE3ABA803  ,	2,	2460,	2022/10/19 上午 02:33:48,	WSM       ,	Y,	5060,	RE3ABA803  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	6225F140002                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	OP6CMC0E2C               ,	N,	N,	0,	0,	20221019,	23348,	2022/10/19 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/10/22 上午 12:00:00,	2022/10/23 上午 12:00:00,	2022/10/24 上午 12:00:00,	2022/10/26 上午 12:00:00,	2022/10/26 上午 12:00:00,	,	,	 C D J F I                                                                      ,	                    ,	0,	Y3,	     ,	AB21    ,	108117HFU8               ,	,	,	                                   ,	RE3ABA8,	RE3ABA803  ,	2,	2460,	2022/10/19 上午 02:33:48,	WSM       ,	Y,
	RE3ABA807  ,	2,	2460,	2022/10/19 上午 06:43:57,	WSM       ,	Y,	5060,	RE3ABA807  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	6225F140002                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	OP6CMC0E2C               ,	N,	N,	0,	0,	20221019,	64357,	2022/10/19 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/10/22 上午 12:00:00,	2022/10/23 上午 12:00:00,	2022/10/24 上午 12:00:00,	2022/10/26 上午 12:00:00,	2022/10/26 上午 12:00:00,	,	,	 C D J F I                                                                      ,	                    ,	0,	Y3,	     ,	AB21    ,	108117HFU8               ,	,	,	                                   ,	RE3ABA8,	RE3ABA807  ,	2,	2460,	2022/10/19 上午 06:43:57,	WSM       ,	Y,
	RE3CDA101  ,	2,	2460,	2022/10/19 上午 04:42:21,	WSM       ,	Y,	5060,	RE3CDA101  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	MRN721.11.1                                       ,	6000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MEAA0090                 ,	N,	N,	0,	0,	20221019,	44221,	2022/10/18 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/10/21 上午 12:00:00,	2022/10/22 上午 12:00:00,	2022/10/23 上午 12:00:00,	2022/10/25 上午 12:00:00,	2022/10/25 上午 12:00:00,	,	,	 B C A B E                                                                      ,	                    ,	0,	Y3,	     ,	CD21    ,	108117HFU8               ,	,	,	                                   ,	RE3CDA1,	RE3CDA101  ,	2,	2460,	2022/10/19 上午 04:42:21,	WSM       ,	Y,
	RE3CDA105  ,	2,	2460,	2022/10/19 上午 06:23:13,	WSM       ,	Y,	5060,	RE3CDA105  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	MRN721.11.1                                       ,	6000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MEAA0090                 ,	N,	N,	0,	0,	20221019,	62312,	2022/10/18 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/10/21 上午 12:00:00,	2022/10/22 上午 12:00:00,	2022/10/23 上午 12:00:00,	2022/10/25 上午 12:00:00,	2022/10/25 上午 12:00:00,	,	,	 B C A B E                                                                      ,	                    ,	0,	Y3,	     ,	CD21    ,	108117HFU8               ,	,	,	                                   ,	RE3CDA1,	RE3CDA105  ,	2,	2460,	2022/10/19 上午 06:23:13,	WSM       ,	Y,
