assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	R10BWBR08  ,	2,	2470,	2022/6/5 下午 07:29:10,	WSM       ,	Y,	3720,	R10BWBR08  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR39A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	192910,	2022/5/31 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/6 上午 12:00:00,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWBR,	R10BWBR08  ,	2,	2470,	2022/6/5 下午 07:29:10,	WSM       ,	Y,
	R10BWBR12  ,	2,	2470,	2022/6/6 上午 02:16:47,	WSM       ,	Y,	3720,	R10BWBR12  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR39A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220606,	21647,	2022/5/31 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/6 上午 12:00:00,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWBR,	R10BWBR12  ,	2,	2470,	2022/6/6 上午 02:16:47,	WSM       ,	Y,
	R10BWBV04  ,	2,	2470,	2022/6/5 下午 03:48:30,	WSM       ,	Y,	3720,	R10BWBV04  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR44A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	154830,	2022/6/1 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWBV,	R10BWBV04  ,	2,	2470,	2022/6/5 下午 03:48:30,	WSM       ,	Y,
	R10BWBV08  ,	2,	2470,	2022/6/5 下午 10:32:21,	WSM       ,	Y,	3720,	R10BWBV08  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR44A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	223221,	2022/6/1 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWBV,	R10BWBV08  ,	2,	2470,	2022/6/5 下午 10:32:21,	WSM       ,	Y,
	R10BWBV12  ,	2,	2470,	2022/6/6 上午 04:51:45,	WSM       ,	Y,	3720,	R10BWBV12  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR44A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220606,	45144,	2022/6/1 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWBV,	R10BWBV12  ,	2,	2470,	2022/6/6 上午 04:51:45,	WSM       ,	Y,
	R11BWA102  ,	2,	2470,	2022/6/5 下午 02:59:14,	WSM       ,	Y,	3720,	R11BWA102  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR45A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	145915,	2022/6/1 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R11BWA1,	R11BWA102  ,	2,	2470,	2022/6/5 下午 02:59:14,	WSM       ,	Y,
	R11BWA106  ,	2,	2470,	2022/6/5 下午 07:51:47,	WSM       ,	Y,	3720,	R11BWA106  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR45A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	195147,	2022/6/1 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R11BWA1,	R11BWA106  ,	2,	2470,	2022/6/5 下午 07:51:47,	WSM       ,	Y,
	R11BWA110  ,	2,	2470,	2022/6/5 下午 11:57:14,	WSM       ,	Y,	3720,	R11BWA110  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR45A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	235714,	2022/6/1 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R11BWA1,	R11BWA110  ,	2,	2470,	2022/6/5 下午 11:57:14,	WSM       ,	Y,
	R11BWA114  ,	2,	2470,	2022/6/6 上午 04:37:17,	WSM       ,	Y,	3720,	R11BWA114  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR45A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220606,	43717,	2022/6/1 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	2022/6/9 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R11BWA1,	R11BWA114  ,	2,	2470,	2022/6/6 上午 04:37:17,	WSM       ,	Y,
	R11BWAB22  ,	2,	2470,	2022/3/10 上午 11:02:52,	WSM       ,	Y,	3720,	R11BWAB22  ,	AKM          ,	WLCSP          ,	000IABW075               ,	DBAG172A                                          ,	1555,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK4331ECBP-V1{FT1}{DSPP}                          ,	5K4T39                   ,	N,	N,	0,	0,	20220324,	95622,	2022/3/7 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK4331ECBP-V1{FT1}{DSPP}                          ,	PROD        ,	2022/3/13 上午 12:00:00,	2022/3/14 上午 12:00:00,	2022/3/15 上午 12:00:00,	2022/3/15 上午 12:00:00,	2022/3/15 上午 12:00:00,	8 ,	,	 B B A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	IC刮傷                             ,	R11BWAB,	R11BWAB22  ,	2,	2470,	2022/3/10 上午 11:02:52,	WSM       ,	Y,
