ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB810,MAXUM,RUNNING,R22BWJ810,2200.0,072AFBW022,ABW072AF1004B,22-06-06 20:45,22-06-05 18:37,AKM,QFN-72AF1,1600.0,,1091A07C41,6,R22BWJ807,QFN-72AF1,AKM,ABW072AF1004B,1091A07C41,110.3258,22-06-06 20:45,2200,3600.552380952381
BB811,MAXUM,IN-REPAIR,R23VGAC01,2200.0,008YQVG019,ABU008YQ2017A,22-06-06 10:11:22,22-06-06 07:52,ISSI-VG,DFN-08YQ2A,4320.0,06/06/2022 MP,1091A09C41,,R21VEHP26,STDFN-08YD2E,Everspin,AVE008YD2005A,1091A08C41,922.059,22-06-06 10:11,2200,539.8571428571428
BB812,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-04 11:22,,,,06/07/2022 MP,,,R21TEB904,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB813,MAXUM,RUNNING,R23ABH904,2200.0,008YMAB062,AAB008YM2023A,22-06-06 10:08,22-06-05 23:07,WINBOND,DFN-08YM2D,16000.0,06/08/2022 MP,1091A07T21,,R23ABH909,DFN-08YM2D,WINBOND,AAB008YM2023A,1091A07T21,1451.5763,22-06-06 10:08,2200,44104.54945054945
BB814,MAXUM,ENG,,,,AAS078EO1002A,22-06-05 22:09,22-06-05 22:09,,,,06/09/2022 MP,,,R20ASBF13,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,228.0044,,2200,132.72380952380954
BB815,MAXUM,RUNNING,R23ABFR03,2200.0,008YDAB027,AAB008YD4001A,22-06-06 08:57,22-06-05 21:31,WINBOND,DFN-08YD4AW,9120.0,06/10/2022 MP,1091A07T21,,R22ABGL06,DFN-08YD4AW,WINBOND,AAB008YD4001A,1091A07T21,797.3073,22-06-06 08:57,2200,6652.153846153846
BB816,MAXUM,RUNNING,R23BWE103,2200.0,072AFBW022,ABW072AF1004B,22-06-06 20:54,22-06-06 06:24,AKM,QFN-72AF1,1600.0,06/11/2022 MP,1091A07C41,6,R22BWJ806,QFN-72AF1,AKM,ABW072AF1004B,1091A07C41,110.3258,22-06-06 20:54,2200,3600.552380952381
BB817,MAXUM,RUNNING,R22BWJ812,2200.0,072AFBW022,ABW072AF1004B,22-06-06 09:12,22-06-06 05:22,AKM,QFN-72AF1,414.0,06/12/2022 MP,1091A07C41,6,R22BWJ808,QFN-72AF1,AKM,ABW072AF1004B,1091A07C41,110.3258,22-06-06 09:12,2200,3600.552380952381
BB818,MAXUM,RUNNING,R20ASBZ04,2200.0,096ELAS043,AAS096EL1009B,22-06-07 00:34,22-06-06 04:03,EliteMT,FBGA-96UEL,3000.0,06/13/2022 MP,,,R23ASAJ06,FBGA-96UEL-3,EliteMT,AAS096EL1016A,1091G08PA4,146.181,22-06-07 00:34,2200,6612.85294117647
BB819,MAXUM,ENG,,,,AAW008YQ3001A,22-06-06 05:20,22-06-06 05:20,,,,06/14/2022 MP,,,R22ABBP09,DFN-08YQ3AW,WINBOND,AAB008YQ3001A,1091A07T21,,,2200,369.2307692307692
BB821,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-04 06:42,,,,06/16/2022 MP,,,R21TEBD11,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
BB822,MAXUM,RUNNING,R22BWJ811,2200.0,072AFBW022,ABW072AF1004B,22-06-06 12:42,22-06-05 22:12,AKM,QFN-72AF1,1600.0,06/17/2022 MP,1091A07C41,6,R22BWJ804,QFN-72AF1,AKM,ABW072AF1004B,1091A07C41,110.3258,22-06-06 12:42,2200,3600.552380952381
BB823,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 03:30,,,,06/18/2022 MP,,,R20ASBF08,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB824,MAXUM,IDLE,,,,AAW008Y62014A,,22-06-06 02:47,,,,06/19/2022 MP,,,R23AWAB30,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1184.7633,,2200,0.0
