,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
153,ANV132X2C057A,2200,TA-2,7.721,0.0,0.0,7.5
154,ANV132X2C057A,2200,TA-R,46.418,33.0,33.0,33.0
155,ANV153XT8008A,2200,TB-I,0.0,2.0,2.0,2.0
156,ANV153XT8010A,2200,TB-IP,0.0,3.0,3.0,3.0
157,ANV153XT9071A,2200,TB-R,5.54,4.0,4.0,4.0
158,ANV153XT9078A,2200,TA-2,0.0,4.0,4.0,0.0
159,AOK016D53002A,2200,TA-P,0.0,1.0,1.0,1.0
160,AOK048TV1029A,2200,TA-3,12.8,2.0,2.0,3.0
161,AOK048TV1029A,2200,TA-P,20.081,12.0,12.0,12.0
162,AQT192X85001C,2200,TB-R,7.592,4.0,4.0,4.0
163,ASS153XT3001A,2200,TA-2,0.0,6.0,6.0,1.0
164,ASS153XT3001A,2200,TA-5,0.0,10.0,10.0,10.0
165,ATE066TS1001A,2200,TB-U,0.0,13.0,13.0,8.0
166,ATE096EI1001A,2200,TA-1,11.465,4.0,4.0,5.5
167,ATE096EI1001A,2200,TA-2,5.744,1.0,2.0,5.0
168,ATE096EI1002A,2200,TA-1,36.563,12.0,12.0,12.0
169,ATE096EI1002A,2200,TA-2,40.894,17.0,16.0,14.0
170,ATH008YM2001B,2200,TB-I,7.384,1.0,1.0,1.0
171,ATM063KZ1001A,2200,TA-3,1.993,1.0,1.0,0.0
172,AVE008YD2005A,2200,TB-U,0.0,1.0,1.0,0.0
173,AVE048XV2001A,2200,TA-2,0.0,1.0,1.0,0.0
174,AVE048XV7001A,2200,TA-1,0.0,5.0,5.0,0.0
175,AVE048XZ3007A,2200,TA-2,0.0,2.0,2.0,0.0
176,AXY391KJ3002B,2200,TB-I,0.0,1.0,1.0,1.0
177,AXY391KJ3002B,3200,TB-I,0.0,1.0,1.0,1.0
178,AYZ084CC2004B,2200,TA-P,0.0,2.0,2.0,2.0
179,AAB024XW3013A,3400,TA-3,0.0,1.0,1.0,0.0
180,AAB162KE1002A,2200,TA-3,0.0,1.0,1.0,1.0
181,AAS078EO1002A,2200,TB-U,0.0,1.0,1.0,0.0
182,AAW008YQ3001A,2200,TB-U,0.0,1.0,1.0,1.0
183,AAW048TP1041B,2200,TA-R,0.0,1.0,1.0,1.0
184,AAW056TH1022A,3200,TA-3,0.0,1.0,1.0,0.0
185,AMF088Y23001A,2200,TB-R,0.0,1.0,1.0,1.0
186,AMS078EN4002A,2200,TA-3,0.0,1.0,1.0,0.0
187,AMS096EC1002A,2200,TA-R,0.0,3.0,3.0,3.0
188,AVE044TT2002A,2200,TA-1,0.0,1.0,1.0,1.0
189,ANV132X2B037A,2200,TA-2,0.0,0.0,1.0,1.0
190,AAB054TN1002A,2200,TA-2,0.0,0.0,0.0,2.0
191,ABU060C91003A,2200,TA-1,0.0,0.0,0.0,0.5
192,ALW078C93001A,2200,TA-2,0.0,0.0,0.0,2.0
193,ALW078C93001A,2200,TA-3,0.0,0.0,0.0,1.0
194,AMS090NC4003A,2200,TA-2,0.0,0.0,0.0,2.0
195,AMS096EC3001B,2200,TA-1,0.0,0.0,0.0,3.0
