lot_number,oper,cust,pin_pkg,prod_id,qty,part_id,part_no,bd_id,entity,start_time,end_time
R23AWCH02,2200,MXIC,STBGA24A4L,024XJAW020,4220,1091A07T41,A0801CB0871,AAW024XJ6010B,BB790,2022-06-07 21:21:07,2022-06-08 12:17:53
R23AWD505,2200,MXIC,STBGA24A4L,024XJAW020,3504,1091A07T41,A0801CB0871,AAW024XJ6010B,BB790,2022-06-08 12:17:53,2022-06-09 00:42:29
R23ABFV31,2200,WINBOND,TSOP2-54ME,054TNAB036,2880,1091A07T21,A0801CB0891,AAB054TN1005A,BB791,2022-06-06 21:25:48,2022-06-07 08:23:37
R23ABFV48,2200,WINBOND,TSOP2-54ME,054TNAB036,2880,1091A07T21,A0801CB0891,AAB054TN1005A,BB791,2022-06-07 08:23:37,2022-06-07 19:21:26
R23ABFV22,2200,WINBOND,TSOP2-54ME,054TNAB036,2880,1091A07T21,A0801CB0891,AAB054TN1005A,BB791,2022-06-07 19:21:26,2022-06-08 06:19:15
R23ABBM08,2200,WINBOND,TSOP2-54ME,054TNAB036,2880,1091A07T21,A0801CB0891,AAB054TN1005A,BB791,2022-06-08 06:19:15,2022-06-08 17:17:04
R23ABBM18,2200,WINBOND,TSOP2-54ME,054TNAB036,792,1091A07T21,A0801CB0891,AAB054TN1005A,BB791,2022-06-08 17:17:04,2022-06-08 20:17:58
R20ASBY05,2200,EliteMT,FBGA-96UEL,096ELAS043,2940,1091G08PA4,A0803CB1240,AAS096EL1009B,BB801,2022-06-06 17:43:00,2022-06-07 16:38:39
R20ASCB01,2200,EliteMT,FBGA-96UEL,096ELAS043,113,1091G08PA4,A0803CB1240,AAS096EL1009B,BB801,2022-06-07 16:38:39,2022-06-07 17:31:32
R20ASAX01,2200,EliteMT,FBGA-96UEL,096ELAS043,1197,1091G08PA4,A0803CB1240,AAS096EL1009B,BB801,2022-06-07 17:31:32,2022-06-08 02:51:37
R20ASCH04,2200,EliteMT,FBGA-96UEL,096ELAS043,2980,1091G08PA4,A0803CB1240,AAS096EL1009B,BB802,2022-06-06 17:04:00,2022-06-07 16:18:22
R20ASCH03,2200,EliteMT,FBGA-96UEL,096ELAS043,2980,1091G08PA4,A0803CB1240,AAS096EL1009B,BB802,2022-06-07 16:18:22,2022-06-08 15:32:45
R20ASCH07,2200,EliteMT,FBGA-96UEL,096ELAS043,2960,1091G08PA4,A0803CB1240,AAS096EL1009B,BB803,2022-06-07 02:25:00,2022-06-08 01:30:01
R20ASCN01,2200,EliteMT,FBGA-96UEL,096ELAS043,1003,1091G08PA4,A0803CB1240,AAS096EL1009B,BB803,2022-06-08 01:30:01,2022-06-08 09:19:20
R23ABB902,2200,WINBOND,STDFN08YQ3AW,008YQAB114,5600,1091A08T21,A0803CB1365,AAB008YQ3021A,BB804,2022-06-06 19:22:00,2022-06-07 08:21:37
R23ABBA05,2200,WINBOND,STDFN08YQ3AW,008YQAB114,3197,1091A08T21,A0803CB1365,AAB008YQ3021A,BB805,2022-06-06 17:00:00,2022-06-07 00:25:05
R23ABH813,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB806,2022-06-06 16:48:00,2022-06-07 05:21:56
R23ABH808,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB806,2022-06-07 05:21:56,2022-06-07 17:55:52
R20ASBY06,2200,EliteMT,FBGA-96UEL,096ELAS043,2301,1091G08PA4,A0803CB1240,AAS096EL1009B,BB807,2022-06-07 07:35:18,2022-06-08 01:31:58
R20ASBY02,2200,EliteMT,FBGA-96UEL,096ELAS043,2940,1091G08PA4,A0803CB1240,AAS096EL1009B,BB808,2022-06-07 06:26:08,2022-06-08 05:21:48
R20ASCH02,2200,EliteMT,FBGA-96UEL,096ELAS043,2980,1091G08PA4,A0803CB1240,AAS096EL1009B,BB809,2022-06-07 07:41:18,2022-06-08 06:55:41
R23BWE204,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB810,2022-06-07 13:16:58,2022-06-08 05:48:56
R23BWE211,2200,AKM,QFN-72AF1,072AFBW022,322,1091A07C41,A0803CB0424,ABW072AF1004B,BB810,2022-06-08 05:48:56,2022-06-08 09:08:34
R23ABH811,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB813,2022-06-06 10:08:00,2022-06-06 22:41:56
