lot_number,oper,cust,pin_pkg,prod_id,qty,part_id,part_no,bd_id,entity,start_time,end_time
R23ABFK15,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-08 21:59:40,2022-06-09 04:06:27
R20ASCH01,2200,EliteMT,FBGA-96UEL,096ELAS043,2980,1091G08PA4,A0803CB1240,AAS096EL1009B,BB890,2022-06-06 22:12:00,2022-06-07 21:26:22
R21ASA901,2200,EliteMT,FBGA-96UEL,096ELAS043,168,1091G08PA4,A0803CB1240,AAS096EL1009B,BB890,2022-06-07 21:26:22,2022-06-07 22:44:59
R20ASC301,2200,EliteMT,FBGA-96UEL,096ELAS043,522,1091G08PA4,A0803CB1240,AAS096EL1009B,BB890,2022-06-07 22:44:59,2022-06-08 02:49:14
R23ABFR02,2200,WINBOND,DFN-08YD4AW,008YDAB027,9120,1091A07T21,A0803CB1340,AAB008YD4001A,BB891,2022-06-06 17:06:00,2022-06-07 06:08:23
R23ABFR08,2200,WINBOND,DFN-08YD4AW,008YDAB027,9120,1091A07T21,A0803CB1340,AAB008YD4001A,BB891,2022-06-07 06:08:23,2022-06-07 19:10:47
R23ABFR09,2200,WINBOND,DFN-08YD4AW,008YDAB027,4081,1091A07T21,A0803CB1340,AAB008YD4001A,BB891,2022-06-07 19:10:47,2022-06-08 01:00:53
R23ABHA07,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB900,2022-06-06 21:33:56,2022-06-07 10:07:52
R23ABHA10,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB900,2022-06-07 10:07:52,2022-06-07 22:41:49
R23NIBF04,2200,DIALOG,QFN-10YK2A,010YKNI037,11500,1091A08T41,A0803CB1315,ANI010YK3001A,BB902,2022-06-06 13:22:00,2022-06-07 00:08:18
