,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans
92,AVE048XZ3007A,AAW024XJ6014A,210.0,BB786,"CWN,SC,CSC",,R23AWB901,BB786_1,0.0,2022-06-06 08:06:00,2022-06-06 11:36:00
93,AAW024XJ6014A,AMS078EP1001A,1968.635735,BB786,"CWN,SC,CSC",R23AWAZ03,R23MSKQ02,BB786_4,1758.635735,2022-06-07 13:24:38,2022-06-07 16:54:38
94,AAW024MA6024A,AMS090NC4003A,174.0,BB789,"MC,CSC",,R23MSPH01,BB789_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
95,AAS084CC2023A,AAS178NN2001A,57.0,BB814,"EU,MC,CSC",R20ASBF13,R18ASBF01,BB814_1,-237.0,2022-06-06 04:09:00,2022-06-06 09:03:00
96,AAS084CC2023A,AAW008YM2004A,174.0,BB823,"MC,CSC",,R23AWA911,BB823_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
97,AAS084CC2023A,AAW008YM2004A,174.0,BB834,"MC,CSC",,R23AWA903,BB834_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
98,AMS096EC1002A,AAB008YQ3028A,169.0,BB843,"CWN,MC,CSC",R23MSL708,R23ABFK04,BB843_1,-35.0,2022-06-06 07:31:00,2022-06-06 10:55:00
99,AAB008YQ3028A,ABU008YQ2007A,1112.590073,BB843,"CWN,MC,CSC",R23ABFK08,R23VGA709,BB843_3,908.590073,2022-06-06 23:14:35,2022-06-07 02:38:35
100,AAS084CC2023A,AAW008YM2004A,174.0,BB845,"MC,CSC",,R23AWA906,BB845_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
101,ATE066TS1001A,AAW008YM2004A,174.0,BB848,"MC,CSC",,R23AWA922,BB848_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
102,AAS084CC2023A,AAW008YM2004A,174.0,BB858,"MC,CSC",,R23AWCZ04,BB858_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
103,AAS084CC2023A,AAB008YQ3028A,174.0,BB865,"MC,CSC",,R23ABFL09,BB865_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
