ALL_CAN_RUN_MODELS,CAN_RUN_MODELS,PROCESS_TIME,all_part_no,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","361.015599,344.015660",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN12,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1500,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","373.290129,355.712193",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN16,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1551,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","369.198619,351.813348",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN24,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1534,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","361.496953,344.474348",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN32,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1502,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","373.530806,355.941536",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN36,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1552,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","374.734192,357.088255",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN40,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1557,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","376.659608,358.923005",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN05,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1565,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","376.659608,358.923005",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN09,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1565,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","384.601951,366.491350",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN13,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1598,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2WB TB
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","366.551171,349.290567",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN17,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1523,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","365.829140,348.602536",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN21,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1520,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","376.659608,358.923005",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN25,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1565,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","371.124036,353.648099",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN37,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1542,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","385.083305,366.950037",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN41,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1600,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","364.385078,347.226473",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXP09,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1514,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B08-4
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","369.679973,352.272036",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN02,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1536,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","341.280079,325.209471",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN06,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1418,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","373.771483,356.170880",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN10,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1553,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","383.639243,365.573975",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN14,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1594,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","371.124036,353.648099",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN18,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1542,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
