ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R13OKL507,2200,048TVOK056,AOK048TV1029A,22-04-01 13:20,22-04-01 02:43,LAPIS,TSOP1-48A2,2560,04/01/2022 SP,1091A07C41,,R08NVHG15,STBGA345SBC,PHISON,ANV345XTB007A,1091A07C41,241.1997,22-04-01 13:20,2200
BB212,UTC3000,WAIT-REPAIR,R09NVJW04,3400,345XTNV080,ANV345XTG002A,22-04-01 16:35:00,22-04-01 07:21,PHISON,STBGA345NBC,679,04/02/2022 SP,1091A07C41,4P,R09NVJW06,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-04-01 16:35,3400
BB213,UTC3000,RUNNING,R13MSI205,2200,078ENMS009,AMS078EN1001A,22-04-01 18:41,22-04-01 04:33,MTI,FBGA-78UEN,3600,04/03/2022 SP,1091A06T21,,R13MSHS03,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-04-01 18:41,2200
BB214,UTC3000,RUNNING,R07NVG401,3400,345XTNV078,ANV345XTB023B,22-03-31 14:46,22-03-31 09:40,PHISON,STBGA345SBC,302,04/04/2022 SP,1091A07C41,4E,R80CMJK01,STBGA345SBC,ENG,ANV345XTB023B,1091A07C41,66.1572,22-03-31 14:46,3400
BB215,UTC3000,RUNNING,R13LWAH01,2200,078U9LW012,ALW078C93001A,22-04-01 09:46,22-03-31 13:02,MTI-S,FBGA-78U9,6720,04/05/2022 SP,1091A06C21,,R13LWAI01,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-01 09:46,2200
BB216,UTC3000,RUNNING,R13MSI207,2200,078ENMS009,AMS078EN1001A,22-04-01 18:22,22-04-01 04:13,MTI,FBGA-78UEN,3600,04/06/2022 SP,1091A06T21,,R13MSHY02,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-04-01 18:22,2200
BB217,UTC3000,RUNNING,R13OKL210,2200,048TVOK056,AOK048TV1029A,22-04-01 09:59,22-03-31 23:22,LAPIS,TSOP1-48A2,2560,04/07/2022 SP,1091A07C41,,R13OKL501,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-01 09:59,2200
BB218,UTC3000,IDLE,,,,AHQ0262G1002A,,22-04-01 07:04,,,,04/08/2022 SP,,,R13HQA202,FPSLGA26MJP,EMC,AHQ0262G1002A,1091A06C41,195.9314,,2200
BB219,UTC3000,WAIT-SETUP,,,,ANV132X2A021B,,22-04-01 07:42,,,,04/09/2022 SP,,,R13HQA203,FPSLGA26MJP,EMC,AHQ0262G1002A,1091A06C41,,,2200
BB220,UTC3000,RUNNING,R13OKL401,2200,048TVOK056,AOK048TV1029A,22-04-01 17:42,22-04-01 07:05,LAPIS,TSOP1-48A2,2560,04/10/2022 SP,1091A07C41,,R13OKL503,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-01 17:42,2200
BB221,UTC3000,RUNNING,R13OKL510,2200,048TVOK056,AOK048TV1029A,22-04-01 17:20,22-04-01 06:43,LAPIS,TSOP1-48A2,2560,04/11/2022 MP,1091A07C41,,R13OKL209,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-01 17:20,2200
BB222,UTC3000,RUNNING,R13OKL506,2200,048TVOK056,AOK048TV1029A,22-04-01 09:18,22-03-31 22:41,LAPIS,TSOP1-48A2,2560,04/12/2022 MP,1091A07C41,,R13OKL208,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-01 09:18,2200
BB223,UTC3000,IDLE,,,,AMS078EN1001A,,22-04-01 07:53,,,,04/13/2022 MP,,,R13MSHY07,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,,2200
BB224,UTC3000,RUNNING,R12AWB607,2200,048TPAW103,AAW048TP1008B,22-04-01 16:52,22-04-01 06:17,MXIC,TSOP1-48/M2,720,04/14/2022 MP,1091A08T41,,R13AWBA34,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-04-01 16:52,2200
BB225,UTC3000,IDLE,,,,ALW078C93001A,,22-04-01 04:16,,,,04/15/2022 MP,,,R13LWAR01,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,,2200
BB226,UTC3000,SETUP,R12AWB603,2200,048TPAW103,AAW048TP1008B,22-04-01 08:25,22-04-01 07:55,MXIC,TSOP1-48/M2,720,04/16/2022 MP,1091A08T41,,R13AWBA31,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-04-01 16:50,2200
BB227,UTC3000,RUNNING,R09NVJW01,3400,345XTNV080,ANV345XTG002A,22-04-01 11:10,22-04-01 01:19,PHISON,STBGA345NBC,679,04/17/2022 MP,1091A07C41,4P,R09NVJW11,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-04-01 11:10,3400
BB228,UTC3000,IDLE,,,,AAW048TP1008B,,22-03-31 12:34,,,,04/18/2022 MP,,,R13AWBA32,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,,2200
BB229,UTC3000,SETUP,,,,AAW024XJ4004A,22-04-01 09:05,22-04-01 07:41,,,,04/19/2022 MP,,,R80CML601,STBGA24D4U,ENG,AAW024XJ4004A,1091A07T41,562.3146,,3400
BB230,UTC3000,RUNNING,R12AWB605,2200,048TPAW103,AAW048TP1008B,22-04-01 16:56,22-04-01 06:21,MXIC,TSOP1-48/M2,720,04/20/2022 MP,1091A08T41,,R13AWBA46,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-04-01 16:56,2200
BB231,UTC3000,IN-REPAIR,R09NVJW02,3400,345XTNV080,ANV345XTG002A,22-04-01 16:27:10,22-04-01 07:34,PHISON,STBGA345NBC,698,04/21/2022 MP,1091A07C41,4P,R09NVJW10,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-04-01 16:27,3400
BB232,UTC3000,RUNNING,R13OKL402,2200,048TVOK056,AOK048TV1029A,22-04-01 18:36,22-04-01 07:59,LAPIS,TSOP1-48A2,2560,04/22/2022 MP,1091A07C41,,R13OKL505,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-01 18:36,2200
BB233,UTC3000,RUNNING,R13OKL509,2200,048TVOK056,AOK048TV1029A,22-04-01 16:56,22-04-01 06:19,LAPIS,TSOP1-48A2,2560,04/23/2022 MP,1091A07C41,,R13OKL504,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-01 16:56,2200
BB234,UTC3000,RUNNING,R13OKL211,2200,048TVOK056,AOK048TV1029A,22-04-01 13:17,22-04-01 02:40,LAPIS,TSOP1-48A2,2560,04/24/2022 MP,1091A07C41,,R12NVMC01,STBGA345SBC,PHISON,ANV345XTB023B,1091A07C41,241.1997,22-04-01 13:17,2200
