assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	RB4ABBI02  ,	2,	2460,	2022/4/1 上午 07:40:43,	WSM       ,	Y,	5060,	RB4ABBI02  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	61451P50003                                       ,	7840,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	OP6CMC04T8               ,	N,	N,	0,	0,	20220401,	74043,	2022/3/30 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/4/2 上午 12:00:00,	2022/4/3 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 C F E C C                                                                      ,	                    ,	0,	Y3,	     ,	AB21    ,	10819240HF               ,	,	,	                                   ,	RB4ABBI,	RB4ABBI02  ,	2,	2460,	2022/4/1 上午 07:40:43,	WSM       ,	Y,
	RB4ABC601  ,	2,	2460,	2022/4/1 上午 05:34:42,	WSM       ,	Y,	5060,	RB4ABC601  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	61366X80004                                       ,	3000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	OP6CMC04OO               ,	N,	N,	0,	0,	20220401,	53441,	2022/3/30 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/4/2 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/5 上午 12:00:00,	,	  ,	 A C B B C                                                                      ,	                    ,	0,	Y3,	     ,	AB21    ,	10819240HB               ,	,	,	                                   ,	RB4ABC6,	RB4ABC601  ,	2,	2460,	2022/4/1 上午 05:34:42,	WSM       ,	Y,
	RB4ABC817  ,	2,	2460,	2022/4/1 上午 05:15:47,	WSM       ,	Y,	5060,	RB4ABC817  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	61484X900                                         ,	3000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	OP6CMC04N1               ,	N,	N,	0,	0,	20220401,	51546,	2022/3/30 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/4/2 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/5 上午 12:00:00,	,	  ,	 A C B B C                                                                      ,	                    ,	0,	Y3,	     ,	AB21    ,	10819240HB               ,	,	,	                                   ,	RB4ABC8,	RB4ABC817  ,	2,	2460,	2022/4/1 上午 05:15:47,	WSM       ,	Y,
	RB4ASC102  ,	2,	2460,	2022/4/1 上午 06:19:25,	WSM       ,	Y,	5060,	RB4ASC102  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	P2896.11                                          ,	986,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MT2022031255             ,	N,	N,	0,	0,	20220401,	61925,	2022/3/31 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/4/2 上午 12:00:00,	2022/4/3 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/5 上午 12:00:00,	,	,	 E E E B C                                                                      ,	                    ,	0,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	RB4ASC1,	RB4ASC102  ,	2,	2460,	2022/4/1 上午 06:19:25,	WSM       ,	Y,
	RB4ASC302  ,	2,	2460,	2022/4/1 上午 06:51:55,	WSM       ,	Y,	5060,	RB4ASC302  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	P2896.23                                          ,	965,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MT2022031255             ,	N,	N,	0,	0,	20220401,	65156,	2022/3/31 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/4/2 上午 12:00:00,	2022/4/3 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/5 上午 12:00:00,	,	,	 E E E B C                                                                      ,	                    ,	0,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	RB4ASC3,	RB4ASC302  ,	2,	2460,	2022/4/1 上午 06:51:55,	WSM       ,	Y,
	RB4ASC701  ,	2,	2460,	2022/4/1 上午 06:53:35,	WSM       ,	Y,	5060,	RB4ASC701  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	P2896.23W                                         ,	56,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MT2022031255             ,	N,	N,	0,	0,	20220401,	65335,	2022/3/31 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/4/2 上午 12:00:00,	2022/4/3 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/5 上午 12:00:00,	,	,	 E E E B C                                                                      ,	                    ,	0,	Y3,	     ,	AS99    ,	1081G750V7               ,	,	,	                                   ,	RB4ASC7,	RB4ASC701  ,	2,	2460,	2022/4/1 上午 06:53:35,	WSM       ,	Y,
	RB4BUA801  ,	2,	2460,	2022/4/1 上午 04:29:34,	WSM       ,	Y,	5060,	RB4BUA801  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	MRF881000Y1                                       ,	2640,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	C02PO-100558614          ,	N,	N,	0,	0,	20220401,	42934,	2022/3/30 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/4/3 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/6 上午 12:00:00,	2022/4/6 上午 12:00:00,	2022/4/6 上午 12:00:00,	,	,	 O I B C C                                                                      ,	                    ,	0,	Y3,	     ,	BUC6    ,	10819240H6               ,	,	,	                                   ,	RB4BUA8,	RB4BUA801  ,	2,	2460,	2022/4/1 上午 04:29:34,	WSM       ,	Y,
	RB4BUA805  ,	2,	2460,	2022/4/1 上午 06:10:56,	WSM       ,	Y,	5060,	RB4BUA805  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	MRF881000Y1                                       ,	1340,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	C02PO-100558614          ,	N,	N,	0,	0,	20220401,	61056,	2022/3/30 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/4/3 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/6 上午 12:00:00,	2022/4/6 上午 12:00:00,	2022/4/6 上午 12:00:00,	,	,	 O I B C C                                                                      ,	                    ,	0,	Y3,	     ,	BUC6    ,	10819240H6               ,	,	,	                                   ,	RB4BUA8,	RB4BUA805  ,	2,	2460,	2022/4/1 上午 06:10:56,	WSM       ,	Y,
	RB4MSAR06  ,	2,	2460,	2022/4/1 上午 05:21:25,	WSM       ,	Y,	5060,	RB4MSAR06  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	602157K.00K                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1384621                  ,	N,	N,	0,	0,	20220401,	52124,	2022/3/27 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	,	,	,	,	,	,	,	 C I B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G771S1               ,	,	,	                                   ,	RB4MSAR,	RB4MSAR06  ,	2,	2460,	2022/4/1 上午 05:21:25,	WSM       ,	Y,
	RB4MSAR10  ,	2,	2460,	2022/4/1 上午 05:55:23,	WSM       ,	Y,	5060,	RB4MSAR10  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	602157K.00K                                       ,	2921,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1384621                  ,	N,	N,	0,	0,	20220401,	55523,	2022/3/27 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	,	,	,	,	,	,	,	 C I B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G771S1               ,	,	,	                                   ,	RB4MSAR,	RB4MSAR10  ,	2,	2460,	2022/4/1 上午 05:55:23,	WSM       ,	Y,
