ALL_CAN_RUN_MODELS,CAN_RUN_MODELS,PROCESS_TIME,all_part_no,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","469.883341,548.923327,476.816626",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -27554406.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21AWAU17,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,8320,-27553941.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","469.883341,548.923327,476.816626",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -27554406.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21AWAU21,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,8320,-27553941.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","430.688745,503.135732,437.043701",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + 3585.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21AWAU25,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,7626,4050.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","469.883341,548.923327,476.816626",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -2189.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R20AWDT12,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,8320,-1724.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","469.883341,548.923327,476.816626",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -1819.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R20AWDT20,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,8320,-1354.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","72.854508,85.109506,73.929501",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -1634.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R20AWDT24,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,1290,-1169.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","469.883341,548.923327,476.816626",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -27554406.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21AWAT17,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,8320,-27553941.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","469.883341,548.923327,476.816626",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -27554406.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21AWAT21,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,8320,-27553941.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","469.883341,548.923327,476.816626",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -27554406.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21AWAT25,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,8320,-27553941.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
"MAXUM-PLUS,MAXUM,RAPID","MAXUM,MAXUM-PLUS,RAPID","469.883341,548.923327,476.816626",A0803CB0926,54,208,N,Y6008089,,MXIC,2200,0.000000,N,Y,"Add queue time + -27554406.000000 for the reason : DA Queue Time||Add queue time + 120.000000 for(2070->2080)||Pass the station(2080), add cure time : 150||Add cure time + 150.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R21AWAU06,8320,Y,2070,6703F0249-087U12IO{CWE},1091A07T41,A0803CB0926,DFN-08Y62D,,-1,008Y6089,008Y6AW034,8320,-27553941.000000,AAW008Y62015A,QFNS243,"1062.391357,909.416626,1046.943359",,
