assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	N36BWBU43  ,	2,	2470,	2020/9/11 下午 05:13:17,	WSM       ,	Y,	3720,	N36BWBU43  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	171317,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU43  ,	2,	2470,	2020/9/11 下午 05:13:17,	WSM       ,	Y,
	N36BWBU47  ,	2,	2470,	2020/9/11 下午 11:59:59,	WSM       ,	Y,	3720,	N36BWBU47  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	235958,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU47  ,	2,	2470,	2020/9/11 下午 11:59:59,	WSM       ,	Y,
	N36BWBU51  ,	2,	2470,	2020/9/12 上午 06:38:19,	WSM       ,	Y,	3720,	N36BWBU51  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200912,	63820,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU51  ,	2,	2470,	2020/9/12 上午 06:38:19,	WSM       ,	Y,
	P39BWCF62  ,	2,	2470,	2021/10/2 下午 03:30:16,	WSM       ,	Y,	3720,	P39BWCF62  ,	AKM          ,	WLCSP          ,	000IABW112               ,	WSDS127A                                          ,	8000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09973AUC0-B4{FT1}{FRM-PP}                       ,	5K4627                   ,	N,	N,	0,	0,	20211002,	153430,	2021/9/24 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09973AUC0-B4{FT1}{FRM-PP}                       ,	PROD        ,	2021/9/25 上午 12:00:00,	2021/9/26 上午 12:00:00,	2021/9/27 上午 12:00:00,	2021/9/28 上午 12:00:00,	2021/9/28 上午 12:00:00,	8 ,	,	 A C C A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	口袋破損                           ,	P39BWCF,	P39BWCF62  ,	2,	2470,	2021/10/2 下午 03:30:16,	WSM       ,	Y,
	P40BWDC62  ,	2,	2470,	2021/10/12 下午 11:04:48,	WSM       ,	Y,	3720,	P40BWDC62  ,	AKM          ,	WLCSP          ,	000IABW112               ,	WSDS130A                                          ,	8000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09973AUC0-B4{FT1}{FRM-PP}                       ,	5K4627                   ,	N,	N,	0,	0,	20211013,	23123,	2021/10/1 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09973AUC0-B4{FT1}{FRM-PP}                       ,	PROD        ,	2021/10/2 上午 12:00:00,	2021/10/3 上午 12:00:00,	2021/10/4 上午 12:00:00,	2021/10/5 上午 12:00:00,	2021/10/5 上午 12:00:00,	8 ,	,	 A C C A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	機台當機                           ,	P40BWDC,	P40BWDC62  ,	2,	2470,	2021/10/12 下午 11:04:48,	WSM       ,	Y,
	P80CMNR01  ,	2,	2470,	2021/8/19 下午 07:18:34,	WSM       ,	Y,	3720,	P80CMNR01  ,	ENG          ,	WLCSP          ,	000IACM233ENG            ,	130027000                                         ,	5000,	0,	3720,	A2,	Y,	TSOP  ,	CM,	ARE70K0WA0-A01-ENG                                ,	ERA2107XXX               ,	N,	N,	0,	0,	20210820,	64436,	2021/8/11 上午 12:00:00,	                    ,	,	EH    ,	M,	                         ,	          ,	               ,	ARE70K0WA0-A01-ENG                                ,	ENG         ,	2021/8/12 上午 12:00:00,	2021/8/13 上午 12:00:00,	2021/8/14 上午 12:00:00,	2021/8/15 上午 12:00:00,	2021/8/15 上午 12:00:00,	12,	 E,	 B A A B A                                                                      ,	                    ,	0,	 N,	     ,	CM99    ,	                         ,	20210810010.E  ,	1,	待製程指示                         ,	P80CMNR,	P80CMNR01  ,	2,	2470,	2021/8/19 下午 07:18:34,	WSM       ,	Y,
	PF1MSEC02  ,	2,	2460,	2021/12/17 下午 04:12:28,	WSM       ,	Y,	5065,	PF1MSEC02  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	531661L.00L                                       ,	6000,	0,	5065,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1293662                  ,	N,	N,	0,	0,	20211220,	222001,	2021/12/16 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2021/12/26 上午 12:00:00,	2021/12/31 上午 12:00:00,	2022/1/5 上午 12:00:00,	2022/1/5 上午 12:00:00,	2022/1/10 上午 12:00:00,	,	,	 A E B A C                                                                      ,	                    ,	0,	Y3,	     ,	MS36    ,	1081G771S1               ,	,	,	                                   ,	PF1MSEC,	PF1MSEC02  ,	2,	2460,	2021/12/17 下午 04:12:28,	WSM       ,	Y,
	PXXAWAK    ,	,	2000,	2021/6/17 下午 03:37:40,	S2784     ,	Y,	2070,	PXXAWAK    ,	ChipMOS      ,	MBGA64J4U      ,	064MRAW028               ,	5J216203                                          ,	104,	0,	2070,	A2,	N,	TSOP  ,	FQ,	6684H-64XA91IYN299                                ,	4525730360-10            ,	N,	N,	0,	0,	20210617,	153740,	2021/6/17 上午 12:00:00,	AAW064MR1007A       ,	,	      ,	M,	                         ,	          ,	               ,	6684H-64XA91IYN299                                ,	PROD        ,	2021/6/22 上午 12:00:00,	2021/6/23 上午 12:00:00,	2021/6/24 上午 12:00:00,	2021/6/25 上午 12:00:00,	2021/6/23 上午 12:00:00,	8 ,	,	,	A0801CB0746         ,	20,	Y3,	     ,	,	,	,	,	                                   ,	PXXAWAK,	PXXAWAK    ,	,	2000,	2021/6/17 下午 03:37:40,	S2784     ,	Y,
	PXXAWAK    ,	,	2003,	2021/6/17 下午 03:37:40,	S2784     ,	Y,	2070,	PXXAWAK    ,	ChipMOS      ,	MBGA64J4U      ,	064MRAW028               ,	5J216203                                          ,	104,	0,	2070,	A2,	N,	TSOP  ,	FQ,	6684H-64XA91IYN299                                ,	4525730360-10            ,	N,	N,	0,	0,	20210617,	153740,	2021/6/17 上午 12:00:00,	AAW064MR1007A       ,	,	      ,	M,	                         ,	          ,	               ,	6684H-64XA91IYN299                                ,	PROD        ,	2021/6/22 上午 12:00:00,	2021/6/23 上午 12:00:00,	2021/6/24 上午 12:00:00,	2021/6/25 上午 12:00:00,	2021/6/23 上午 12:00:00,	8 ,	,	,	A0801CB0746         ,	20,	Y3,	     ,	,	,	,	,	                                   ,	PXXAWAK,	PXXAWAK    ,	,	2003,	2021/6/17 下午 03:37:40,	S2784     ,	Y,
	PXXAWAK    ,	,	2005,	2021/6/17 下午 03:37:40,	S2784     ,	Y,	2070,	PXXAWAK    ,	ChipMOS      ,	MBGA64J4U      ,	064MRAW028               ,	5J216203                                          ,	104,	0,	2070,	A2,	N,	TSOP  ,	FQ,	6684H-64XA91IYN299                                ,	4525730360-10            ,	N,	N,	0,	0,	20210617,	153740,	2021/6/17 上午 12:00:00,	AAW064MR1007A       ,	,	      ,	M,	                         ,	          ,	               ,	6684H-64XA91IYN299                                ,	PROD        ,	2021/6/22 上午 12:00:00,	2021/6/23 上午 12:00:00,	2021/6/24 上午 12:00:00,	2021/6/25 上午 12:00:00,	2021/6/23 上午 12:00:00,	8 ,	,	,	A0801CB0746         ,	20,	Y3,	     ,	,	,	,	,	                                   ,	PXXAWAK,	PXXAWAK    ,	,	2005,	2021/6/17 下午 03:37:40,	S2784     ,	Y,
