part_no,qty1,qty3
A0801CB0320,5,5
A0801CB0316,1,1
A0801CB0318,20,20
A0801CB0321,3,3
A0801CB0322,3,3
A0803CB0321,11,8
A0803CB0322,18,13
A0803CB0233,12,12
A0803CB0316,22,22
A0803CB0314,2,2
A0803CB0315,18,18
A0801CB0323,2,2
A0803CB0220,10,8
A0801CB0324,5,5
A0801CB0326,24,24
A0801CB0325,5,5
A0801CB0327,23,23
A0801CB0328,14,14
A0801CB0329,3,3
A0801CB0330,2,2
A0801CB0331,5,5
A0801CB0332,1,1
A0801CB0334,2,2
A0803CB0328,1,1
A0801CB0335,3,3
A0801CB0336,10,10
A0801CB0337,18,18
A0801CB0340,20,20
A0801CB0338,2,2
A0803CB0341,1,1
A0803CB0342,1,1
A0803CB0223,12,12
A0801CB0343,5,5
A0801CB0347,3,3
A0803CB0345,5,5
A0803CB0344,2,2
A0801CB0348,1,1
A0801CB0349,11,11
A0801CB0350,3,3
A0803CB0351,38,36
A0801CB0352,19,19
A0803CB0353,8,8
A0801CB0357,40,40
A0801CB0489,0,0
A0803CB0355,12,12
A0803CB0227,17,17
A0803CB0356,3,2
A0803CB0359,7,7
A0801CB0360,1,1
A0803CB0361,1,1
A0803CB0362,1,1
A0803CB0363,0,0
A0801CB0364,5,5
A0803CB0294,3,3
A0803CB0301,0,0
A0803CB0365,10,10
A0801CB0367,3,3
A0801CB0368,15,15
A0801CB0369,1,1
A0801CB0366,1,1
A0803CB0231,11,11
A0801CB0370,6,6
A0801CB0371,4,4
A0801CB0372,1,1
A0803CB0374,1,1
A0801CB0375,7,7
A0801CB0361,1,1
A0803CB0378,17,21
A0803CB0829,3,3
A0801CB0829,3,3
A0803CB0830,8,8
A0801CB0830,1,1
A0801CB0831,70,70
A0801CB0834,13,13
A0801CB0835,13,13
A0803CB0834,3,3
A0803CB0389,3,3
A0803CB0390,1,1
A0803CB0391,33,34
A0801CB0392,55,55
A0803CB0393,1,1
A0803CB0206,1,1
A0801CB0394,1,1
A0803CB0395,1,1
A0803CB0396,1,1
A0803CB0397,18,18
A0803CB0398,25,28
A0801CB0399,6,6
A0803CB0400,1,1
A0801CB0296,90,90
A0801CB0401,1,1
A0801CB0402,1,1
A0801CB0403,1,1
A0801CB0400,1,1
A0803CB0408,1,1
A0803CB0409,2,2
A0803CB0412,7,7
A0803CB0413,2,2
A0803CB0414,9,10
A0801CB0416,38,38
A0803CB0411,8,10
A0801CB0417,11,11
A0801CB0419,1,1
A0801CB0418,25,25
A0801CB0415,2,2
A0803CB0424,22,22
A0801CB0421,17,17
A0801CB0422,11,11
A0803CB0423,51,53
A0801CB0425,1,1
A0801CB0427,1,1
A0801CB0429,1,1
A0801CB0424,1,1
A0803CB0430,20,19
A0801CB0431,2,2
A0803CB0431,2,2
A0803CB0434,1,1
A0803CB0432,3,3
A0803CB0433,4,4
A0803CB0436,2,2
A0803CB0435,2,2
A0803CB0438,2,2
A0803CB0439,17,17
A0803CB0440,2,2
A0803CB0442,1,1
A0801CB0441,8,8
A0803CB0444,1,1
A0803CB0445,1,1
A0803CB0443,11,11
A0801CB0446,9,9
A0801CB0447,1,1
A0803CB0835,3,3
A0803CB0836,3,3
A0801CB0701,3,3
A0801CB0739,3,3
A0801CB0836,13,13
A0801CB0837,3,3
A0803CB0837,3,3
A0803CB0831,23,23
A0801CB0840,23,23
A0803CB0448,1,1
A0803CB0468,2,2
A0803CB0466,1,1
A0801CB0470,6,6
A0803CB0471,1,1
A0801CB0473,31,31
A0801CB0472,10,10
A0803CB0472,1,1
A0803CB0474,58,58
A0801CB0476,1,1
A0801CB0478,3,3
A0801CB0477,1,1
A0803CB0354,17,16
A0801CB0479,20,20
A0803CB0205,1,1
A0801CB0481,10,10
A0801CB0482,4,4
A0803CB0480,1,1
A0803CB0483,7,7
A0803CB0484,27,27
A0801CB0496,1,1
A0801CB0497,6,6
A0803CB0485,0,0
A0803CB0207,21,14
A0801CB0498,9,9
A0801CB0499,17,17
A0801CB0500,30,30
A0801CB0501,45,45
A0803CB0502,38,65
A0801CB0503,1,1
A0801CB0505,1,1
A0801CB0506,10,10
A0801CB0474,2,2
A0801CB0507,1,1
A0803CB0508,2,2
A0801CB0512,13,13
A0801CB0511,20,20
A0801CB0514,17,17
A0801CB0515,47,47
A0801CB0518,1,1
A0801CB0517,1,1
A0801CB0519,15,15
A0801CB0522,5,5
A0801CB0520,1,1
A0801CB0521,1,1
A0803CB0524,1,1
A0803CB0055,7,7
A0803CB0284,1,1
A0801CB0523,23,23
