part_no,qty1,qty3
A0801CB0949,3,3
A0801CB0957,3,3
A0801CB0962,3,3
A0801CB0960,8,8
A0803CB0963,6,5
A0801CB0964,3,3
A0801CB0950,3,3
A0801CB0965,3,3
A0801CB0967,25,25
A0803CB0912,1,1
A0803CB0861,10,10
A0803CB0926,54,54
A0801CB0956,3,3
A0801CB0968,3,3
A0801CB0966,10,10
A0803CB0958,3,3
A0803CB0934,126,126
A0801CB0971,8,8
A0801CB0952,3,3
A0801CB0953,3,3
A0801CB0954,30,30
A0801CB0955,3,3
A0801CB0970,3,3
A0803CB0930,3,3
A0803CB0931,3,3
A0801CB0972,3,3
A0803CB0966,2,2
A0801CB0973,3,3
A0801CB0975,3,3
A0801CB0977,3,3
A0801CB0978,3,3
A0803CB0924,3,3
A0803CB0974,27,27
A0801CB0961,2,2
A0801CB0980,3,3
A0801CB0982,3,3
A0801CB0983,3,3
A0801CB0981,4,4
A0803CB0981,6,6
A0803CB0983,3,3
A0803CB0968,3,3
A0801CB0984,3,3
A0801CB0985,3,3
A0803CB0890,3,3
A0803CB0945,3,3
A0801CB0986,3,3
A0801CB0930,28,28
A0803CB0986,0,0
A0801CB0989,3,3
A0803CB0989,3,3
A0801CB0988,3,3
A0801CB0990,2,2
A0801CB0936,3,3
A0803CB0990,1,2
A0803CB0991,14,15
A0803CB0992,3,3
A0803CB0993,3,3
A0801CB0994,3,3
A0803CB0995,0,0
A0801CB0991,3,3
A0803CB0996,3,3
A0801CB0993,3,3
A0801CB0995,3,3
A0801CB1000,150,150
A0803CB0998,10,10
A0803CB1001,7,7
A0803CB0957,3,3
A0803CB1003,3,3
A0803CB1004,5,5
A0801CB0908,3,3
A0801CB1003,3,3
A0801CB1004,3,3
A0803CB1006,2,2
A0803CB0859,31,31
A0801CB1001,3,3
A0801CB1008,3,3
A0801CB1006,3,3
A0803CB1008,3,3
A0803CB1009,0,0
A0803CB1007,6,6
A0801CB1012,3,3
A0801CB1013,2,2
A0803CB1012,80,80
A0803CB0933,52,52
A0803CB0999,6,6
A0803CB1010,3,3
A0801CB1009,3,3
A0801CB1010,3,3
A0803CB1059,3,3
A0803CB1000,100,100
A0801CB1015,45,45
A0803CB1017,76,76
A0801CB1011,3,3
A0803CB0855,12,10
A0803CB1018,5,5
A0803CB1020,10,10
A0803CB1022,3,3
A0803CB1023,3,3
A0803CB1026,3,3
A0803CB1002,5,5
A0803CB1028,6,6
A0801CB0948,3,3
A0801CB0997,3,3
A0801CB0998,3,3
A0801CB1014,13,13
A0801CB1017,3,3
A0801CB1031,3,3
A0801CB1018,3,3
A0801CB1021,24,24
A0801CB1022,3,3
A0801CB1024,3,3
A0801CB1026,3,3
A0801CB1027,13,13
A0801CB1030,3,3
A0801CB0951,3,3
A0803CB1033,3,3
A0801CB1029,3,3
A0803CB1025,3,3
A0803CB1034,18,18
A0803CB1035,30,30
A0803CB1037,3,3
A0803CB1038,13,13
A0803CB1041,3,3
A0803CB1060,2,2
A0803CB1044,10,10
A0803CB1024,7,7
A0801CB1032,6,6
A0801CB1039,3,3
A0801CB1040,2,2
A0803CB1045,3,3
A0803CB1048,3,3
A0801CB1043,15,15
A0801CB1046,3,3
A0801CB1045,1,1
A0803CB1049,3,3
A0803CB1052,3,3
A0801CB1056,3,3
A0801CB1055,35,35
A0801CB1054,1,1
A0801CB1057,18,18
A0801CB1061,3,3
A0803CB1054,6,6
A0803CB1065,3,3
A0801CB1058,3,3
A0803CB1063,10,10
A0801CB1060,3,3
A0803CB0258,1,1
A0801CB1062,3,3
A0801CB1072,45,45
A0803CB1070,3,3
A0803CB1066,3,3
A0803CB1073,3,3
A0803CB1071,3,3
A0803CB1078,10,10
A0803CB1079,64,64
A0803CB1080,95,95
A0803CB1072,1,1
A0803CB1055,15,15
A0803CB1076,2,2
A0803CB1050,16,16
A0803CB1081,3,3
A0803CB1075,15,15
A0803CB1077,15,15
A0803CB1084,3,3
A0803CB1039,2,2
A0801CB1083,3,3
A0801CB1086,3,3
A0803CB1069,39,39
A0803CB1090,6,6
A0803CB1089,3,3
A0801CB1087,35,35
A0801CB1066,3,3
A0801CB1092,35,35
A0803CB0107,33,30
A0803CB0943,3,3
A0803CB0927,3,3
A0803CB0962,3,3
A0803CB0936,3,3
A0803CB0939,3,3
A0803CB0937,3,3
A0803CB0946,3,3
A0801CB1076,3,3
A0801CB1088,3,3
A0801CB1093,3,3
A0801CB1101,13,13
A0801CB1100,3,3
A0801CB1098,3,3
A0803CB1094,10,10
A0803CB1095,3,3
A0803CB1096,3,3
A0803CB0418,3,3
A0803CB0832,54,54
A0803CB1104,3,3
A0803CB1047,3,3
A0803CB1109,3,3
A0803CB1108,3,3
A0801CB1099,3,3
A0803CB1105,65,65
A0803CB1091,60,60
A0803CB1107,3,3
A0803CB1112,1,1
A0801CB1116,2,2
A0803CB1113,15,15
A0803CB1114,3,3
A0801CB1138,9,9
A0801CB1129,11,11
A0801CB1127,13,13
A0803CB1122,25,25
A0803CB1123,3,3
A0803CB1124,3,3
A0803CB1121,3,3
A0803CB1120,3,3
A0801CB1142,32,32
A0803CB1140,3,3
A0801CB1137,8,8
A0803CB1146,3,3
A0803CB1148,2,2
A0803CB1145,3,3
A0803CB1147,2,2
A0803CB1097,10,10
A0803CB1157,2,2
A0801CB1149,20,20
A0801CB1150,32,32
A0801CB1151,12,12
A0801CB1152,4,4
A0801CB1153,5,5
A0801CB1155,9,9
A0803CB1158,2,2
A0801CB1167,2,2
A0801CB1141,17,17
A0801CB1115,15,15
A0801CB1103,3,3
A0801CB1154,13,13
A0801CB1156,17,17
A0801CB1334,2,2
A0803CB1325,2,2
A0801CB1338,80,80
A0803CB1337,2,2
A0803CB1336,30,30
A0803CB1291,2,2
A0803CB1260,2,2
A0801CB1144,1,1
A0803CB1118,3,3
A0803CB1119,3,3
A0803CB1168,14,14
A0803CB1172,2,2
A0801CB1106,13,13
A0801CB1169,124,124
A0803CB1134,3,3
A0803CB1143,2,2
A0803CB1174,10,10
A0801CB1102,50,50
A0803CB0871,2,2
A0801CB1176,120,120
A0801CB1178,30,30
A0801CB1183,2,2
A0801CB1171,2,2
A0801CB1170,2,2
A0803CB1181,27,27
A0803CB1133,2,2
A0803CB1184,5,5
A0803CB1182,2,2
A0803CB1187,14,14
A0801CB1185,2,2
A0801CB1186,2,2
A0801CB1179,3,3
A0801CB1190,4,4
A0803CB1188,2,2
A0801CB1173,14,14
A0801CB1192,42,42
A0803CB1169,124,124
A0803CB1177,12,13
A0803CB1194,2,2
A0803CB1197,2,2
A0803CB1191,2,2
A0803CB1195,2,2
A0803CB1196,10,10
A0801CB1200,7,7
A0803CB1198,4,4
A0801CB1201,2,2
A0803CB1207,2,2
A0803CB1202,2,2
A0801CB1193,12,12
A0801CB1199,38,38
A0801CB0832,3,3
A0801CB1203,2,2
A0803CB1208,2,2
A0803CB1210,10,10
A0803CB1192,46,46
A0803CB1214,2,2
A0803CB1213,2,2
A0803CB1220,2,2
A0801CB1222,1,1
A0803CB1323,10,10
A0801CB1218,4,4
A0801CB1219,2,2
A0801CB1227,2,2
A0803CB1217,2,2
A0803CB1341,12,12
A0803CB1212,62,62
A0803CB0272,2,2
A0803CB1129,2,2
A0803CB1176,22,22
A0803CB1221,2,2
A0803CB1225,2,2
A0803CB1224,12,12
A0803CB1215,17,17
A0803CB1233,18,18
A0803CB1229,2,2
A0801CB1209,2,2
A0803CB1203,2,2
A0803CB1228,14,14
A0803CB1230,2,2
A0801CB1241,2,2
A0803CB1239,27,27
A0803CB1240,30,30
A0803CB1242,2,2
A0803CB1340,7,7
A0803CB1263,2,2
A0803CB1231,6,6
A0801CB1248,32,32
A0801CB1244,10,10
A0803CB1243,1,1
A0803CB1244,2,2
A0803CB1334,2,2
A0803CB1252,2,2
A0803CB1253,10,10
A0803CB0616,2,2
A0803CB1258,1,1
A0803CB1259,1,1
A0803CB1262,2,2
A0801CB1243,1,1
A0803CB1254,2,2
A0803CB1255,5,5
A0803CB1261,2,2
A0803CB1267,10,10
A0803CB1270,2,2
A0801CB1266,1,1
A0803CB1266,1,1
A0803CB1150,7,7
A0803CB1268,8,8
A0803CB1269,5,5
A0803CB1271,2,2
A0803CB1149,2,2
A0803CB1246,2,2
A0803CB1264,80,80
A0803CB1273,2,2
A0803CB1272,2,2
A0801CB1250,37,37
A0803CB0568,2,2
A0803CB1154,2,2
A0803CB1151,2,2
A0803CB1152,2,2
A0803CB0730,2,2
A0803CB1156,2,2
A0803CB0564,2,2
A0803CB1274,2,2
A0801CB1342,2,2
A0803CB1265,13,13
A0803CB1249,5,5
A0803CB1127,8,8
A0803CB1189,2,2
A0803CB1180,1,1
A0801CB1224,2,2
A0803CB1278,21,21
A0801CB1328,2,2
A0803CB1343,18,18
A0803CB1281,2,2
A0803CB1280,2,2
A0803CB1283,2,2
A0803CB1284,2,2
A0801CB1285,25,25
A0803CB1282,2,2
A0801CB1264,54,54
A0803CB1290,2,2
A0803CB1248,22,22
A0801CB1205,4,4
A0803CB1287,2,2
A0803CB1286,51,51
A0803CB0748,3,3
A0801CB1274,2,2
A0801CB1257,20,20
A0801CB1260,10,10
A0801CB0001,6,0
A0801CB1265,32,32
A0803CB1292,2,2
A0801CB1292,2,2
A0801CB1296,2,2
A0801CB1293,10,10
A0803CB1288,1,1
A0803CB1344,2,2
A0803CB1295,82,82
A0803CB1296,2,2
A0803CB1299,2,2
A0801CB1300,2,2
A0803CB1297,2,2
A0803CB1298,2,2
A0803CB0324,2,2
A0803CB1155,2,2
A0803CB1138,2,2
A0801CB1303,2,2
A0803CB1301,2,2
A0801CB1305,2,2
A0803CB0874,2,2
A0801CB1211,4,4
A0801CB1237,1,1
A0801CB1311,1,1
A0803CB1316,2,2
A0801CB1317,2,2
A0801CB1318,2,2
A0801CB1307,30,30
A0801CB1304,2,2
A0801CB1302,2,2
A0803CB1313,30,30
A0803CB1315,22,22
A0801CB1309,2,2
A0801CB1310,2,2
A0803CB1307,2,2
A0801CB1312,2,2
A0801CB1314,2,2
A0803CB0655,22,22
A0803CB1294,82,82
A0803CB1324,2,2
A0803CB1218,2,2
A0803CB1014,2,2
A0803CB1312,2,2
A0803CB1305,2,2
A0803CB1200,2,2
A0803CB1318,2,2
A0801CB1216,2,2
A0803CB1153,2,2
A0803CB1322,2,2
A0803CB1317,2,2
A0803CB1309,2,2
A0803CB1310,2,2
A0803CB1206,2,2
A0803CB1137,2,2
A0803CB1304,2,2
A0803CB1087,12,12
A0803CB1250,47,47
A0801CB1291,28,28
A0801CB1329,10,10
A0803CB1328,2,2
A0801CB1346,2,2
A0801CB1330,2,2
A0803CB1326,8,8
A0803CB1102,2,2
A0801CB1331,22,22
A0803CB1333,2,2
A0801CB1332,22,22
A0803CB1331,2,2
A0803CB1216,2,2
A0803CB1346,2,2
A0803CB1348,2,2
A0803CB1332,2,2
A0803CB1353,2,2
A0803CB1358,7,7
A0801CB135,2,2
A0803CB1357,2,2
A0803CB1355,5,5
A0803CB1356,10,10
A0801CB1354,2,2
A0803CB1354,2,2
A0803CB1359,7,7
A0801CB1352,2,2
A0803CB1352,2,2
A0803CB1361,2,2
A0803CB1362,10,10
A0801CB1363,3,3
A0801CB1232,8,8
A0803CB1365,32,32
A0803CB1360,10,10
A0803CB1367,2,2
A0803CB1368,2,2
A0801CB1289,2,2
A0801CB1370,2,2
A0801CB1371,2,2
A0801CB1373,5,5
A0801CB1372,2,2
A0803CB1372,2,2
A0801CB1375,2,2
A0801CB1376,2,2
A0801CB1374,2,2
A0801CB1381,2,2
A0801CB1364,2,2
A0803CB1377,2,2
A0803CB1366,2,2
A0803CB1369,2,2
A0803CB1388,2,2
A0801CB1277,7,7
A0803CB1389,2,2
A0803CB1005,2,2
A0803CB1057,2,2
A0803CB1390,2,2
A0801CB1392,2,2
A0803CB1392,2,2
A0803CB1338,2,2
A0803CB1394,2,2
A0801CB1393,2,2
