¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
1,	WLCSP       ,	                    ,	000IABW045               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
2,	WLCSP       ,	                    ,	000IABW053               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
3,	WLCSP       ,	                    ,	000IABW094               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
4,	WLCSP       ,	ENG                 ,	000IABW109               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
5,	WLCSP       ,	                    ,	000IABW144               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
6,	QFN-48AC1   ,	ABW048AC1009A       ,	048ACBW026               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
7,	uSD08AQV-C  ,	AZA0086A1007A       ,	0086AZA041               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
8,	uSD08AQV-C  ,	AZA0086A1032A       ,	0086AZA043               ,	0.00,	0.00,	1.51,	0.00,	0.00,	0.00,
9,	uSD08AQV-C  ,	AZA0086A1033A       ,	0086AZA045               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
10,	MAT         ,	,	0008WLF001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
11,	MAT         ,	,	0008WSMT001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
12,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI039               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
13,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI044               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
14,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI046               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
15,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI057               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
