process_id,Oper,master_desc,detail_id,remark
000IA146ENG,2010,Entity Code,R20100698,Y
000IA146ENG,2040,Support Entity,S20400102,
000IA146ENG,2040,Support Entity,S20400102,
000IA147,2070,Lot Size,O20700198,999999
000IA147,2010,Entity Code,R20100698,Y
000IA149,2070,Lot Size,O20700198,999999
000IA149,2010,Entity Code,R20100698,Y
000IA149,2040,Support Entity,S20400102,
000IA149,2040,Support Entity,S20400102,
000IA162,2022,PTN No,O20220198,12
000IA162,2070,Lot Size,O20700198,999999
000IA162,2010,Entity Code,R20100698,X
000IA162,2040,Support Entity,S20400199,Dual
000IA162,2040,Support Entity,S20400199,Dual
000IA163,2022,PTN No,O20220198,12
000IA163,2070,Lot Size,O20700198,999999
000IA163,2010,Entity Code,R20100698,C
000IA163,2040,Support Entity,S20400102,
000IA163,2040,Support Entity,S20400102,
000IA184,2022,PTN No,O20220198,12
000IA184,2070,Lot Size,O20700198,999999
000IA184,2010,Entity Code,R20100698,C
000IA184,2040,Support Entity,S20400102,
000IA184,2040,Support Entity,S20400102,
000IA193,2070,Lot Size,O20700198,999999
000IA193,2010,Entity Code,R20100698,Y
000IA203,2022,PTN No,O20220198,12
000IA203,2070,Lot Size,O20700198,999999
000IA203,2010,Entity Code,R20100698,C
000IA203,2040,Support Entity,S20400102,
000IA203,2040,Support Entity,S20400102,
000IA214,2022,PTN No,O20220198,12
000IA214,2070,Lot Size,O20700198,999999
000IA214,2010,Entity Code,R20100698,X
000IA220,2070,Lot Size,O20700198,999999
000IA220,2010,Entity Code,R20100698,Y
000IA220,2040,Support Entity,S20400102,
000IA220,2040,Support Entity,S20400102,
000IA232,2070,Lot Size,O20700198,999999
000IA232,2010,Entity Code,R20100698,Y
000IA235,2070,Lot Size,O20700198,999999
000IA235,2010,Entity Code,R20100698,Y
000IA235,2040,Support Entity,S20400102,
000IA235,2040,Support Entity,S20400102,
000IA250,2022,PTN No,O20220198,12
000IA250,2070,Lot Size,O20700198,999999
000IA250,2010,Entity Code,R20100698,X
000IA250,2040,Support Entity,S20400102,
000IA250,2040,Support Entity,S20400102,
000IA258,2022,PTN No,O20220198,12
000IA258,2070,Lot Size,O20700198,999999
000IA258,2010,Entity Code,R20100698,X
000IA259,2070,Lot Size,O20700198,999999
000IA259,2010,Entity Code,R20100698,Y
000IA261,2070,Lot Size,O20700198,999999
000IA261,2010,Entity Code,R20100698,Y
000IA261,2040,Support Entity,S20400102,
000IA261,2040,Support Entity,S20400102,
000IA281,2022,PTN No,O20220198,12
000IA281,2070,Lot Size,O20700198,999999
000IA281,2010,Entity Code,R20100698,C
000IA281,2040,Support Entity,S20400102,
000IA281,2040,Support Entity,S20400102,
000IA283,2022,PTN No,O20220198,12
000IA283,2070,Lot Size,O20700198,999999
000IA283,2010,Entity Code,R20100698,B
000IA283,2040,Support Entity,S20400102,
000IA283,2040,Support Entity,S20400102,
000IA288,2022,PTN No,O20220198,12
000IA288,2070,Lot Size,O20700198,999999
000IA288,2010,Entity Code,R20100698,C
000IA288,2040,Support Entity,S20400102,
000IA288,2040,Support Entity,S20400102,
000IA289,2022,PTN No,O20220198,12
000IA289,2070,Lot Size,O20700198,999999
000IA289,2010,Entity Code,R20100698,C
000IA289,2040,Support Entity,S20400102,
000IA289,2040,Support Entity,S20400102,
000IA298,2022,PTN No,O20220198,12
000IA298,2070,Lot Size,O20700198,999999
000IA298,2010,Entity Code,R20100698,N
000IA298,2040,Support Entity,S20400102,
000IA298,2040,Support Entity,S20400102,
000IA313,2070,Lot Size,O20700198,999999
000IA313,2010,Entity Code,R20100698,Y
000IA317,2070,Lot Size,O20700198,999999
000IA317,2010,Entity Code,R20100698,Y
000IA319,2022,PTN No,O20220198,12
000IA319,2070,Lot Size,O20700198,999999
000IA319,2010,Entity Code,R20100698,X
000IA325,2070,Lot Size,O20700198,999999
000IA325,2010,Entity Code,R20100698,Y
000IA325,2040,Support Entity,S20400102,
000IA325,2040,Support Entity,S20400102,
000IA333,2070,Lot Size,O20700198,999999
000IA333,2040,Support Entity,S20400102,
000IA333,2040,Support Entity,S20400102,
000IA343,2070,Lot Size,O20700198,999999
000IA343,2010,Entity Code,R20100698,Y
000IA343,2040,Support Entity,S20400102,
000IA343,2040,Support Entity,S20400102,
000IA360,2022,PTN No,O20220198,12
000IA360,2070,Lot Size,O20700198,999999
000IA360,2010,Entity Code,R20100698,X
000IAE22ENG,2070,Lot Size,O20700198,999999
000IAE22ENG,2010,Entity Code,R20100698,O
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2130,Entity,E21300199,DB-800; DB-700; DB-830
0086A038,2150,Entity,E21500199,MARCH_FAST
0086A038,2200,Entity (KNS),E22000298,Maxum Plus
