¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
800,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI170               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
801,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI179               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
802,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI189               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
803,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI238               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
804,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI257               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
805,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI278               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
806,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI282               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
807,	WLCSP       ,	                    ,	000IAXI001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
808,	MAT         ,	                    ,	0008WHQ150               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
809,	FPSLG22AR5V ,	AHQ0223R1001A       ,	0223RHQ010               ,	0.00,	0.00,	12.20,	6.92,	0.00,	0.00,
810,	FPSLGA28Y6V ,	AHQ0282L3002B       ,	0282LHQ061               ,	24.15,	6.54,	14.04,	0.00,	0.00,	6.62,
811,	FPSTLGA34yAV,	AHQ0343A1001A       ,	0343AHQ012               ,	0.00,	0.00,	33.73,	0.00,	0.00,	0.00,
812,	MAT         ,	                    ,	0008WCM599ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
813,	MAT         ,	                    ,	0008WCME102ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
814,	MAT         ,	                    ,	0008WCME126ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
815,	MAT         ,	                    ,	0008WCME190ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
816,	WLCSP       ,	                    ,	000IACM187ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
817,	VTLGA08J4U  ,	AAS008DR1006A       ,	008DRCME13ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
818,	DFN-08YM2G  ,	AAS008YM2016A       ,	008YMCME40ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
819,	DFN-08YM2A  ,	ATH008YM2001A       ,	008YMCME60ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
820,	DFN-08YQ2A  ,	AAB008YQ2038A       ,	008YQCME65ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
821,	MINIBGA24J4U,	ABU024MAA002A       ,	024MACM102ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
822,	FPSTLGA44t6V,	AHQ0445T2006A       ,	0445TCM010ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
823,	TSOP1-48/48M,	AAW048TP1080A       ,	048TPCM153ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
824,	FBGA-96UEF  ,	AMS096EF2001A       ,	096EFCM067ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
825,	FBGA96UEL(2),	AAB096EL1002A       ,	096ELCME41ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
826,	FBGA-60MA   ,	ACD060CD3002A       ,	060CACD003               ,	0.00,	0.00,	2.40,	2.40,	0.00,	0.00,
827,	FBGA-84UC(2),	ACD084CC2004B       ,	084UCCD009               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
828,	DFN-08Y62D  ,	AAS008Y62003A       ,	008Y6AS005               ,	7.42,	2.78,	220.19,	67.17,	0.00,	48.54,
829,	DFN-08YQ2A  ,	AAS008YQ2002B       ,	008YQAS018               ,	144.64,	58.69,	112.50,	47.52,	0.00,	63.01,
830,	FBGA-96UEL  ,	AAS096EL1009B       ,	096ELAS043               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
831,	WLCSP       ,	                    ,	000IAQR003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
832,	WLCSP       ,	                    ,	000IAQR005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
833,	WLCSP       ,	                    ,	000IAQR007               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
834,	VFBGA90B4L  ,	ABU090NC8001A       ,	090NCBU012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
835,	FBGA-96UEF  ,	ABU096EF2002A       ,	096EFBU004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
836,	TSOP1-48/48A,	AOK048TV1010A       ,	048TVOK020               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
837,	TSOP1-48AM  ,	AMS048TW1064A       ,	048TWMS078               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
838,	TSOP1-48AM  ,	AMS048TW1060A       ,	048TWMS079               ,	0.00,	0.00,	16.29,	6.74,	0.00,	0.00,
839,	VFBGA152BAL ,	ALW152N31015A       ,	152N3LW043               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
840,	DFN-08Y62D  ,	AAW008Y62014A       ,	008Y6AW032               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
841,	MINIBGA24A4L,	AAW024MA6025A       ,	024MAAW048               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
842,	STBGA24A3L  ,	AAW024XJ6001B       ,	024XJAW001               ,	0.00,	0.00,	26.37,	4.32,	0.00,	0.00,
843,	STBGA24J3U  ,	AAW024XW3003A       ,	024XJAW027               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
844,	TSOP1-48/M2 ,	AAW048TP1020C       ,	048TPAW053               ,	10.00,	0.00,	0.00,	0.00,	0.00,	0.00,
845,	TSOP1-48/48M,	AAW048TP1042C       ,	048TPAW102               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
846,	uSD08AQV    ,	ANV0086B1006A       ,	0086BNV026               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
847,	TSOP1-48MR2C,	ANV048TR2006C       ,	048TRNV118               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
848,	STBGA132G4VT,	ANV132X2C054A       ,	132X2NV149               ,	12.00,	4.58,	0.00,	0.00,	0.00,	4.58,
849,	SSBGA153JAVT,	ANV153XT9071A       ,	153XTNV134               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
850,	MBGA24J3U   ,	AAB024MAA010A       ,	024MAAB073               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
851,	MBGA24J3U   ,	AAB024MAA008A       ,	024MAAB086               ,	0.00,	0.00,	0.00,	24.44,	0.00,	0.00,
852,	MBGA24J3U   ,	AAB024MAA012A       ,	024MAAB099               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
853,	VFBGA60B4U  ,	AAB060NR2003A       ,	060NRAB019               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
854,	FBGA96UEL(2),	AAB096EL1017A       ,	096ELAB047               ,	25.00,	8.88,	0.00,	0.00,	0.00,	11.84,
855,	FBGA-96UEI  ,	AYZ096EI1002A       ,	096EIYZ001               ,	0.00,	0.00,	0.00,	8.66,	0.00,	0.00,
