¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
2462,	AAS090NC4001A       ,	2200,	MAXUM       ,	20211121-A-AAS090NC4001A-2200-Criteria  ,	20211121,	223430,
2463,	AGJ252X20003A       ,	2200,	ICONN       ,	20211122-A-AGJ252X20003A-2200-Criteria  ,	20211122,	93941,
2464,	AGJ252X20003A       ,	2200,	ICONN-PLUS  ,	20211122-A-AGJ252X20003A-2200-Criteria  ,	20211122,	93941,
2465,	AGJ252X20003A       ,	2200,	RAPID       ,	20211122-A-AGJ252X20003A-2200-Criteria  ,	20211122,	93941,
2466,	AGJ252X20003A       ,	3200,	ICONN       ,	20211122-A-AGJ252X20003A-3200-Criteria  ,	20211122,	93941,
2467,	AAW064MR1016A       ,	2200,	UTC1000S    ,	AAW064MR1016A-2200-Criteria             ,	20210123,	101,
2468,	AGJ252X20003A       ,	3200,	ICONN-PLUS  ,	20211122-A-AGJ252X20003A-3200-Criteria  ,	20211122,	93941,
2469,	AGJ252X20003A       ,	3200,	RAPID       ,	20211122-A-AGJ252X20003A-3200-Criteria  ,	20211122,	93941,
2470,	AAW008Y62031A       ,	2200,	MAXUM-PLUS  ,	20211122-C-AAW008Y62031A-2200-Criteria  ,	20211122,	94902,
2471,	AAW008Y62031A       ,	2200,	MAXUM       ,	20211122-C-AAW008Y62031A-2200-Criteria  ,	20211122,	94902,
2472,	AAB008YD2007A       ,	2200,	MAXUM       ,	20211122-B-AAB008YD2007A-2200-Criteria  ,	20211122,	94912,
2473,	AAB008YD2007A       ,	2200,	RAPID       ,	20211122-B-AAB008YD2007A-2200-Criteria  ,	20211122,	94912,
2474,	AAB084RB2001A       ,	2200,	UTC1000S    ,	20211122-D-AAB084RB2001A-2200-Criteria  ,	20211122,	162756,
2475,	ABU024MA6001A       ,	2200,	UTC1000S    ,	20211122-A-ABU024MA6001A-2200-Criteria  ,	20211122,	100857,
2476,	ABU024MA6001A       ,	2200,	UTC2000     ,	20211122-A-ABU024MA6001A-2200-Criteria  ,	20211122,	100857,
2477,	ABU024MA6001A       ,	2200,	UTC3000     ,	20211122-A-ABU024MA6001A-2200-Criteria  ,	20211122,	100857,
2478,	AAS084CC2007A       ,	2200,	MAXUM-PLUS  ,	20211122-E-AAS084CC2007A-2200-Criteria  ,	20211122,	201047,
2479,	AAS084CC2007A       ,	2200,	MAXUM       ,	20211122-E-AAS084CC2007A-2200-Criteria  ,	20211122,	201047,
2480,	AAS084CC2007A       ,	2200,	ICONN       ,	20211122-E-AAS084CC2007A-2200-Criteria  ,	20211122,	201047,
2481,	AHQ0225H1001A       ,	2200,	UTC3000     ,	20211122-B-AHQ0225H1001A-2200-Criteria  ,	20211122,	103358,
