CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
UTC1000S,696.668759,20,117,Y,MA024109,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05AWBN02,8640,N,2150,6750N-24XD08QYD999{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA129,024MAAW058,7936,30,AAW024MA6029D,BGA161,683.481201,,N2A10-6
UTC1000S,981.231964,4,132,N,MA048148,,ISSI-VG,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05VGED05,6160,N,2150,IS29GL032-70BLED,1091A07C41,A0801CB1190,MINIBGA48J3U,,-1,048MA362,048MAVG003,6157,30,ABU048MA3002A,BGA161,376.485901,,N2A17-1
"UTC1000S,UTC2000","777.910895,743.165121",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAG01,8640,N,2150,6732O-24XD08RYI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,8339,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A17-1
"UTC1000S,UTC2000","317.358540,303.183564",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAI01,8640,N,2150,6732L-24XD08QYI499{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,3402,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A07-1
UTC1000S,981.391333,4,132,N,MA048148,,ISSI-VG,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05VGED02,6160,N,2150,IS29GL032-70BLED,1091A07C41,A0801CB1190,MINIBGA48J3U,,-1,048MA362,048MAVG003,6158,30,ABU048MA3002A,BGA161,376.485901,,N2A08-4
UTC1000S,199.051279,4,132,N,MA048148,,ISSI-VG,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05VGED06,6160,N,2150,IS29GL032-70BLED,1091A07C41,A0801CB1190,MINIBGA48J3U,,-1,048MA362,048MAVG003,1249,30,ABU048MA3002A,BGA161,376.485901,,N2A17-1
"UTC1000S,UTC2000","794.795638,759.295699",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAG02,8640,N,2150,6732O-24XD08RYI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,8520,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A17-1
"UTC1000S,UTC2000","156.533695,149.542040",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAJ01,8640,N,2150,6732L-24XD08QYI499{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,1678,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A10-1
UTC1000S,981.550701,4,132,N,MA048148,,ISSI-VG,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05VGED03,6160,N,2150,IS29GL032-70BLED,1091A07C41,A0801CB1190,MINIBGA48J3U,,-1,048MA362,048MAVG003,6159,30,ABU048MA3002A,BGA161,376.485901,,N2A17-2
"UTC1000S,UTC2000","212.505219,203.013568",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAG03,8640,N,2150,6732O-24XD08RYI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,2278,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A17-1
"UTC1000S,UTC2000","793.676208,758.226268",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAK01,8640,N,2150,6732L-24XD08QYI499{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,8508,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A10-3
UTC1000S,981.550701,4,132,N,MA048148,,ISSI-VG,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05VGED04,6160,N,2150,IS29GL032-70BLED,1091A07C41,A0801CB1190,MINIBGA48J3U,,-1,048MA362,048MAVG003,6159,30,ABU048MA3002A,BGA161,376.485901,,N2A08-2
"UTC1000S,UTC2000","622.683202,594.870750",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAH01,8640,N,2150,6732L-24XD08QYI499{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,6675,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A10-1
"UTC1000S,UTC2000","314.373392,300.331749",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAK02,8640,N,2150,6732L-24XD08QYI499{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,3370,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A10-3
"UTC2000,UTC3000","986.936167,570.916142",18,132,N,DN012025,,QST,2200,0,N,Y,"Add queue time + -1979.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",P46UKT404,24000,Y,2070,QMA7981-HCAAY,1091A07C41,A0801CB0727,LGA12CBP,,-1,012DN020,012DNUK014,10065,-1829,AUK012DN2003A,BGA170,"611.893677,1057.773560",,
