product,pin_package,body_size,bd_id,route,process_id,bom_id,packing_id,gross_dies,
	020YUNI168               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI232               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1001M       ,	PACK171   ,	020YU001       ,	YU020603  ,	NIYU04A        ,	14409,
	000IABW032               ,	WLCSP       ,	4.522*4.774*0.519   ,	ENG                 ,	WL002     ,	000IA033       ,	IA000013  ,	BWIA15A        ,	1294,
	014OLNI040               ,	FCQFN-14OL2D,	1.6*2*0.55          ,	ANI014OL1001C       ,	PACK171   ,	014OL001       ,	OL014602  ,	NIOL01A        ,	12728,
	020YUNI145               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI246               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI136               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI221               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	000IABW112               ,	WLCSP       ,	1.18*0.78*0.551     ,	                    ,	WL010     ,	000IA232       ,	IA000112  ,	BWIA47A        ,	28540,
	014OLNI042               ,	FCQFN-14OL2D,	1.6*2*0.55          ,	ANI014OL1001C       ,	PACK171   ,	014OL001       ,	OL014602  ,	NIOL01A        ,	12728,
	020YUNI216               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI174               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI230               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1001M       ,	PACK171   ,	020YU001       ,	YU020603  ,	NIYU04A        ,	14409,
	012Y3NI177               ,	FCQFN-12Y32D,	1.6*1.6*0.55        ,	ANI012Y32002D       ,	PACK171   ,	012Y3002       ,	Y3012603  ,	NIY301A        ,	29952,
	000IABW031               ,	WLCSP       ,	1.59*1.59*0.537     ,	ENG                 ,	WL002     ,	000IA034       ,	IA000015  ,	BWIA14A        ,	10716,
	014OLNI031               ,	FCQFN-14OL2D,	1.6*2*0.55          ,	ANI014OL1001C       ,	PACK171   ,	014OL001       ,	OL014602  ,	NIOL01A        ,	12728,
	008YKNI092               ,	DFN-08YK2A  ,	2*2*0.75            ,	ANI008YK3002A       ,	PACK171   ,	008YK046       ,	YK008646  ,	NIYK01A        ,	30108,
	008YKNI091               ,	DFN-08YK2A  ,	2*2*0.75            ,	ANI008YK3002A       ,	PACK17    ,	008YK046       ,	YK008646  ,	NIYK01A        ,	30108,
	012Y3NI126               ,	FCQFN-12Y32D,	1.6*1.6*0.55        ,	ANI012Y32001B       ,	PACK171   ,	012Y3001       ,	Y3012604  ,	NIY301A        ,	37951,
	008OKNI087               ,	FCQFN-08OK2D,	1*1.2*0.55          ,	ANI008OK2001A       ,	PACK171   ,	008OK001       ,	OK008601  ,	NIOK01A        ,	46407,
	016OFNI032               ,	FCQFN-16OF2D,	1.6*2.5*0.55        ,	ANI016OF2001B       ,	PACK171   ,	016OF001       ,	OF016604  ,	NIOF01A        ,	11780,
	020YUNI104               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	PACK171   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
	020YUNI125               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	000IABW052               ,	WLCSP       ,	1.180*0.780*0.547   ,	ENG                 ,	WL010     ,	000IA045       ,	IA000018  ,	BWIA06A        ,	28539,
	020YUNI217               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	000IABW123               ,	WLCSP       ,	1.69*0.86*0.265     ,	                    ,	WL010     ,	000IA259       ,	IA000121  ,	BWIA49A        ,	18270,
	020YUNI139               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI205               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	0008WNV501               ,	MAT         ,	                    ,	                    ,	MAT49     ,	0008WA401      ,	8W000A01  ,	NVXT02A        ,	1085,
	020YUNI289               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	PACK171   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
	000IABW028               ,	WLCSP-WAFER ,	0.8*0.8*0.547       ,	ENG                 ,	WL009     ,	000IA068       ,	IA000001  ,	BWIA03A        ,	44940,
	020YUNI148               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	012Y3NI169               ,	FCQFN-12Y32D,	1.6*1.6*0.55        ,	ANI012Y32002D       ,	PACK171   ,	012Y3002       ,	Y3012603  ,	NIY301A        ,	29952,
	014OANI056               ,	FCQFN-14OA2D,	1.6*2*0.55          ,	ANI014OA1001C       ,	PACK171   ,	014OA002       ,	OA014603  ,	NIOA01A        ,	18387,
	0086ANV161               ,	uSD08AQV-C  ,	11*15*1.0           ,	ANV0086A1065A       ,	MBGA558   ,	0086A137       ,	6A008190  ,	NV6A02A        ,	31169,
	0086ANV180               ,	uSD08AQV-C  ,	11*15*1.0           ,	ANV0086A1070A       ,	MBGA558   ,	0086A139       ,	6A008213  ,	NV6A02A        ,	31169,
	0086ANV179               ,	uSD08AQV-C  ,	11*15*1.0           ,	ANV0086A1069A       ,	MBGA558   ,	0086A138       ,	6A008212  ,	NV6A02A        ,	31169,
	0086ANV178               ,	uSD08AQV-C  ,	11*15*1.0           ,	ANV0086A1065A       ,	MBGA558   ,	0086A137       ,	6A008211  ,	NV6A02A        ,	31169,
	048TRNV108               ,	TSOP1-48MR-C,	12*20               ,	ANV048TR2054A       ,	CON952    ,	048TR112       ,	TR048120  ,	NVTR02A        ,	852,
	008Y6AS005               ,	DFN-08Y62D  ,	3*4*0.55            ,	AAS008Y62003A       ,	QFNS288   ,	008Y6048       ,	Y6008054  ,	ASY601A        ,	18484,
	000IABW143               ,	WLCSP       ,	0.58*2.15*0.335     ,	                    ,	WL010     ,	000IA325       ,	IA000122  ,	BWIA50A        ,	21017,
	014OANI054               ,	FCQFN-14OA2D,	1.6*2*0.55          ,	ANI014OA1001C       ,	PACK171   ,	014OA002       ,	OA014603  ,	NIOA01A        ,	18387,
	008OKNI093               ,	FCQFN-08OK2D,	1*1.2*0.55          ,	ANI008OK2001A       ,	PACK171   ,	008OK001       ,	OK008601  ,	NIOK01A        ,	46407,
	000IAQR039               ,	WLCSP       ,	2.683*2.666*0.27    ,	                    ,	WL020     ,	000IA298       ,	IA000143  ,	QRIA26A        ,	9002,
	391KJXY003               ,	STBGA391aLP ,	15*20*2.02          ,	AXY391KJ3003B       ,	MBGA494   ,	391KJ003       ,	KJ391005  ,	XYKJ01A        ,	901,
	054TSAB006               ,	TSOP2-54CME ,	400*875             ,	AAB054TS1003A       ,	CON348    ,	054TS017       ,	TS054017  ,	ABTS01A        ,	8268,
	0008WAW094               ,	MAT         ,	                    ,	                    ,	MAT4      ,	048TP199       ,	8W000A01  ,	AWTP01A        ,	1140,
	048TPAW103               ,	TSOP1-48/M2 ,	12*20               ,	AAW048TP1008B       ,	MCON57    ,	048TP199       ,	TP048141  ,	AWTP01A        ,	1140,
	020YUNI293               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI299               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI179               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI122               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	000IAQR037               ,	WLCSP       ,	2.683*2.666*0.470   ,	                    ,	WL020     ,	000IA292       ,	IA000106  ,	QRIA16A        ,	9002,
	012Y3NI140               ,	FCQFN-12Y32D,	1.6*1.6*0.55        ,	ANI012Y32002D       ,	PACK171   ,	012Y3002       ,	Y3012603  ,	NIY301A        ,	29952,
	016OFNI035               ,	FCQFN-16OF2D,	1.6*2.5*0.55        ,	ANI016OF2003A       ,	PACK171   ,	016OF003       ,	OF016610  ,	NIOF01A        ,	11825,
	016OFNI016               ,	FCQFN-16OF2D,	1.6*2.5*0.55        ,	ANI016OF2003A       ,	PACK17    ,	016OF003       ,	OF016610  ,	NIOF01A        ,	11825,
	012Y3NI170               ,	FCQFN-12Y32D,	1.6*1.6*0.55        ,	ANI012Y32002D       ,	PACK171   ,	012Y3002       ,	Y3012603  ,	NIY301A        ,	29952,
	064MRAW019               ,	MBGA64J4U   ,	11*13*1.4           ,	AAW064MR1016A       ,	BGA521    ,	064MR019       ,	MR064027  ,	AWNP01A        ,	1084,
	096EFBU003               ,	FBGAS-96UEF7,	9*13*1.4            ,	ABU096EF5001A       ,	MBGA381   ,	096EF044       ,	EF096045  ,	BUEF01A        ,	1282,
	000IABW036               ,	WLCSP       ,	2.74*2.56*0.519     ,	ENG                 ,	WL002     ,	000IA031       ,	IA000016  ,	BWIA13A        ,	3953,
	048TREU010               ,	TSOP1-48MR-C,	12*20               ,	AEU048TR2004A       ,	CON748    ,	048TR104       ,	TR048112  ,	EUTR01A        ,	760,
	008OKNI047               ,	FCQFN-08OK2D,	1*1.2*0.55          ,	ANI008OK2001A       ,	PACK171   ,	008OK001       ,	OK008601  ,	NIOK01A        ,	46407,
	010YKNI038               ,	QFN-10YK2A  ,	2*2*0.75            ,	ANI010YK3001A       ,	PACK17    ,	010YK025       ,	YK010630  ,	NIYK01A        ,	65921,
	020YUNI309               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI175               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI052               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	QFNS139   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
	169XNNV011               ,	STBGA169D4U ,	9*9*1.25            ,	ANV169XN8001A       ,	MBGA654   ,	169XN010       ,	XN169016  ,	NVXN02A        ,	9351,
	0086ANV177               ,	uSD08AQV-C  ,	11*15*1.0           ,	ANV0086A1071A       ,	MBGA558   ,	0086A140       ,	6A008210  ,	NV6A02A        ,	31169,
	020YUNI314               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1001M       ,	QFNS139   ,	020YU001       ,	YU020603  ,	NIYU04A        ,	14409,
	020YUNI132               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	PACK171   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
	020YUNI041               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	QFNS139   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
	0086ANV147               ,	uSD08AQV    ,	11*15*1.0           ,	ANV0086A1051A       ,	MBGA755   ,	0086A107       ,	6A008158  ,	NV6A02A        ,	26873,
