pkg_type,process_id,version,detail_id,remark,
	T,	060MV007       ,	 F,	S22000102,	A0801CB0248                             ,
	T,	048MW001       ,	 V,	S22000102,	A0801CB0248                             ,
	T,	048MW010       ,	 C,	S22000102,	A0801CB0248                             ,
	T,	054TS043       ,	 D,	S22000102,	A0801CB0960 (UTC)                       ,
	T,	054TS043       ,	 D,	S32000102,	A0801CB0960(UTC)                        ,
	T,	0442J031       ,	 C,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0442J031       ,	 C,	S32000102,	A0803CB1294(KNS)                        ,
	T,	0223R007       ,	 A,	S22000102,	A0803CB1090(KNS)                        ,
	T,	0282J028       ,	 B,	S22000102,	A0803CB0991(KNS)                        ,
	T,	0442J030       ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0442J030       ,	 A,	S32000102,	A0803CB1294(KNS)                        ,
	T,	132NY052       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	078U9030       ,	 F,	S22000102,	A0801CB0823 (UTC)                       ,
	T,	078U9030       ,	 F,	S22000102,	A0803CB0823 (KNS)                       ,
	T,	0086B027       ,	 D,	S22000102,	A0803CB1212(KNS)                        ,
	T,	048TR039       ,	 E,	S22000102,	A0801CB1192(UTC)                        ,
	T,	048TR039       ,	 E,	S22000102,	A0803CB1192(KNS)                        ,
	T,	0086A123       ,	 H,	S22000102,	A0803CB1212(KNS)                        ,
	T,	024XJ073       ,	 E,	S22000102,	A0801CB1129 (UTC)                       ,
	T,	024XJ073       ,	 E,	S22000102,	A0803CB1129 (KNS)                       ,
	T,	024XJ073       ,	 E,	S32000102,	A0801CB1129(UTC)                        ,
	T,	024XJ073       ,	 E,	S32000102,	A0803CB1129(KNS)                        ,
	T,	024XJ073       ,	 E,	S34000102,	A0801CB1129(UTC)                        ,
	T,	024XJ073       ,	 E,	S34000102,	A0803CB1129(KNS)                        ,
	T,	024XJ073       ,	 E,	S36000102,	A0801CB1129(UTC)                        ,
	T,	024XJ073       ,	 E,	S36000102,	A0803CB1129(KNS)                        ,
	T,	0086A165       ,	 B,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A132       ,	 C,	S22000102,	A0803CB1212(KNS)                        ,
	T,	060EM004       ,	 F,	S22000102,	A0801CB1291(UTC)                        ,
	T,	060NR020       ,	 G,	S22000102,	A0801CB0724 (UTC)                       ,
	T,	008YB045       ,	 G,	S22000102,	A0803CB0783(KNS)                        ,
	T,	008YQ061       ,	 N,	S22000102,	A0803CB0859                             ,
	T,	008YQ061       ,	 N,	S32000102,	A0803CB0859(KNS)                        ,
	T,	024XJ078       ,	 G,	S22000102,	A0801CB1190(UTC)                        ,
	T,	024XJ078       ,	 G,	S32000102,	A0801CB1190(UTC)                        ,
	T,	024XJ078       ,	 G,	S34000102,	A0801CB1190(UTC)                        ,
	T,	024XJ078       ,	 G,	S36000102,	A0801CB1190(UTC)                        ,
	T,	024MA200       ,	 E,	S22000102,	A0801CB1057(UTC)                        ,
	T,	084UC158       ,	 C,	S22000102,	A0801CB0660(UTC)                        ,
	T,	084UC158       ,	 C,	S22000102,	A0803CB0660 (KNS)                       ,
	T,	063NW066       ,	 C,	S22000102,	A0801CB1232(UTC)                        ,
	T,	008YQ171       ,	 G,	S22000102,	A0803CB0859(KNS)                        ,
	T,	153XT183       ,	 B,	S22000102,	A0803CB1224(KNS)                        ,
	T,	048MA325       ,	 E,	S22000102,	A0803CB1097(KNS)                        ,
	T,	008YQ198       ,	 A,	S22000102,	A0803CB0883                             ,
	T,	008YQ096       ,	 I,	S22000102,	A0803CB0974(KNS)                        ,
	T,	008FG013       ,	 C,	S22000102,	A0803CB1278(KNS)                        ,
	T,	084UC196       ,	 E,	S22000102,	A0803CB1313(KNS)                        ,
	T,	096EL078       ,	 D,	S22000102,	A0803CB1240(KNS)                        ,
	T,	008FG005       ,	 C,	S22000102,	A0803CB1278(KNS)                        ,
	T,	066TS011       ,	 J,	S22000102,	A0803CB0797                             ,
	T,	008YQ159       ,	 D,	S22000102,	A0803CB1168(KNS)                        ,
	T,	064MR020       ,	 F,	S22000102,	A0801CB0746(UTC)                        ,
	T,	016D5015ENG    ,	 U,	S22000102,	A0801CB0934(UTC)                        ,
	T,	016D5015ENG    ,	 U,	S22000102,	A0803CB0934(KNS)                        ,
	T,	024XJ052       ,	 I,	S22000102,	A0801CB0871(UTC)                        ,
	T,	024XJ052       ,	 I,	S22000102,	A0803CB0871(KNS)                        ,
	T,	024XJ052       ,	 I,	S32000102,	A0801CB0871(UTC)                        ,
	T,	024XJ052       ,	 I,	S32000102,	A0803CB0871(KNS)                        ,
	T,	060U9005       ,	 I,	S22000102,	A0801CB0791                             ,
	T,	048MA354       ,	 C,	S22000102,	A0801CB0248                             ,
	T,	078EA001       ,	 E,	S22000102,	A0801CB1021(UTC)                        ,
	T,	096EA004       ,	 I,	S22000102,	A0801CB1021                             ,
	T,	084UC028       ,	 M,	S22000102,	A0801CB0641                             ,
	T,	165MC046       ,	 L,	S22000102,	A0801CB0248(UTC)                        ,
	T,	165MC046       ,	 L,	S22000102,	A0803CB0248(KNS)                        ,
	T,	144C7010       ,	 K,	S22000102,	A0801CB0877(UTC)                        ,
	T,	144C7010       ,	 K,	S22000102,	A0803CB0877(KNS)                        ,
	T,	096EF039       ,	 G,	S22000102,	A0801CB1087 (UTC)                       ,
	T,	096EF039       ,	 G,	S22000102,	A0803CB1087 (KNS)                       ,
	T,	060NL014       ,	 K,	S22000102,	A0801CB0248(UTC)                        ,
	T,	084UC156       ,	 H,	S22000102,	A0801CB1043                             ,
	T,	252X2012       ,	 B,	S22000102,	A0801CB1176(UTC)                        ,
	T,	252X2012       ,	 B,	S22000102,	A0803CB1295(KNS)                        ,
	T,	252X2012       ,	 B,	S32000102,	A0801CB1176(UTC)                        ,
	T,	252X2012       ,	 B,	S32000102,	A0803CB1295(KNS)                        ,
	T,	252X0008       ,	 B,	S22000102,	A0801CB1176(UTC)                        ,
	T,	252X0008       ,	 B,	S22000102,	A0803CB1295(KNS)                        ,
	T,	252X0003       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	252X0003       ,	 C,	S22000102,	A0803CB1176(KNS)                        ,
	T,	252X0003       ,	 C,	S32000102,	A0801CB1176(UTC)                        ,
	T,	252X0003       ,	 C,	S32000102,	A0803CB1176(KNS)                        ,
	T,	0442J026       ,	 A,	S22000102,	A0803CB1181(KNS)                        ,
	T,	0442J026       ,	 A,	S32000102,	A0803CB1181(KNS)                        ,
	T,	078EP001       ,	 F,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP001       ,	 F,	S22000102,	A0803CB1264(KNS)                        ,
	T,	060NR015       ,	 J,	S22000102,	A0801CB0724                             ,
	T,	090NC073       ,	 H,	S22000102,	A0801CB0622                             ,
