process_id,Oper,master_desc,detail_desc,detail_id,remark,
	0008W999       ,	2200,	Support Entity                          ,	Heat block                                        ,	S22000102,	                                        ,
	0008W999       ,	2200,	Support Entity                          ,	Capillary(KNS)                                    ,	S22000103,	SI-23066-283F12                         ,
	0008W999       ,	3200,	Support Entity                          ,	Heat block                                        ,	S32000102,	                                        ,
	0008W999       ,	3200,	Support Entity                          ,	Capillary(KNS)                                    ,	S32000104,	SI-23066-283F12                         ,
	0008WA109      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	950                                     ,
	0008WA109      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WA109      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA109      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA178      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WA178      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WA178      ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800                                  ,
	0008WA178      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WA178      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	H                                       ,
	0008WA178      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA178      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA206      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1900                                    ,
	0008WA206      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	N                                       ,
	0008WA206      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA206      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA241      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WA241      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA241      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA401      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	950                                     ,
	0008WA401      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WA407      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WA407      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	G                                       ,
	0008WA407      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA407      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA52       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1600                                    ,
	0008WA52       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	O                                       ,
	0008WA52       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA52       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA81ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1200                                    ,
	0008WA81ENG    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	D                                       ,
	0008WA81ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA81ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA10      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WAA10      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA10      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA10      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA9       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WAA9       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA9       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA9       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WDAE001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
