CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"UTC1000S,UTC2000,UTC1000S,UTC2000","785.000622,749.938181",20,140,Y,MA024095,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWCY02,8640,N,2150,6732O-24XD08RTI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,8415,75.000000,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A09-1
"UTC1000S,UTC2000,UTC1000S,UTC2000","947.535491,808.881810",20,140,Y,MA024137,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWD204,8640,N,2150,6738V-24XD05SYE9PH{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA099,024MAAW059,8489,75.000000,AAW024MA6031B,BGA161,"537.541870,629.684082",,
"UTC1000S,UTC2000,UTC3000,UTC1000S,UTC2000,UTC3000","137.079572,129.496263,125.054591",58,74,N,ED078017,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWDR03,6000,N,2090,SPSUBZ90BX8C-Z-BG63-QFG-200-X2-1,1091A06C21,"A0801CB0927,A0803CB0927",FBGA-78UED,BB748,1,078ED017,078EDLW002,650,15.000000,ALW078ED2001A,BGA206,"284.506287,301.166992,311.863800",,BB748-1
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","367.382785,336.244462,302.329463",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWAY01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,1190,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-1
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1840.001175,1684.047894,1514.187898",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWB201,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,5960,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A17-6
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","268.282050,245.543225,220.776725",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWB501,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,869,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-3
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1392.041157,1274.055697,1145.549200",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWBJ02,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,4509,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-4
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","249.758549,228.589722,205.533223",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWBN01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,809,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A10-2
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","639.369536,585.178387,526.154889",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWBS01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,2071,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-1
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","777.369624,711.481979,639.718981",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWBW01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,2518,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-5
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","667.154788,610.608641,549.020142",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWC101,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,2161,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A10-1
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","616.215158,563.986509,507.100511",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWDL02,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,1996,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A32-4
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1435.262661,1313.613869,1181.117372",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWDN02,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,4649,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2B24-2
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1393.584782,1275.468489,1146.819492",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWDQ02,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,4514,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2B24-2
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1832.591774,1677.266493,1508.090497",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWAZ01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,5936,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-4
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1424.457285,1303.724326,1172.225329",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWB202,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,4614,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-4
