ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB843,MAXUM,RUNNING,R07ASB517,2200,096ELAS001,AAS096EL1002A,22-02-16 13:39,22-02-15 17:58,EliteMT,FBGA-96UEL-3,3000,,1091G08PA1,,R07ASAH02,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 13:39,2200
BB844,MAXUM,RUNNING,R07ASB519,2200,096ELAS001,AAS096EL1002A,22-02-16 13:33,22-02-15 18:00,EliteMT,FBGA-96UEL-3,2980,,1091G08PA1,,R07ASAR01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 13:33,2200
BB845,MAXUM,RUNNING,R07ASB513,2200,096ELAS001,AAS096EL1002A,22-02-16 11:42,22-02-15 16:33,EliteMT,FBGA-96UEL-3,2920,,1091G08PA1,,R07ASAX01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 11:42,2200
BB846,MAXUM,RUNNING,R07ASB706,2200,096ELAS001,AAS096EL1002A,22-02-16 14:32,22-02-15 19:08,EliteMT,FBGA-96UEL-3,2957,,,,R07ASAH21,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 14:32,2200
BB847,MAXUM,RUNNING,R07ABG405,2200,008YQAB010,AAB008YQ2001B,22-02-16 11:35,22-02-16 07:21,WINBOND,DFN-08YQ2A,4320,,1091A07T21,,R07ABG514,DFN-08YQ2A,WINBOND,AAB008YQ2001B,1091A07T21,1021.4778,22-02-16 11:35,2200
BB848,MAXUM,RUNNING,R07ASB507,2200,096ELAS001,AAS096EL1002A,22-02-16 14:26,22-02-15 18:53,EliteMT,FBGA-96UEL-3,2980,,1091G08PA1,,R07ASAZ01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 14:26,2200
BB849,MAXUM,RUNNING,R07ASB522,2200,096ELAS001,AAS096EL1002A,22-02-16 19:01,22-02-15 19:18,EliteMT,FBGA-96UEL-3,3620,,1091G08PA1,,R07ASAH18,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 19:01,2200
BB850,MAXUM,ENG,,,,AAB008YM2025A,22-02-15 19:14,22-02-15 19:14,,,,,,,R07ABEC01,DFN-08YM2D,WINBOND,AAB008YM2025A,1091A07T21,1055.6991,,2200
BB851,MAXUM,RUNNING,R07ASB801,2200,096ELAS001,AAS096EL1002A,22-02-16 18:03,22-02-15 22:30,EliteMT,FBGA-96UEL-3,2980,02/16/2022 MP,,,R07ASAJ02,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 18:03,2200
BB852,MAXUM,RUNNING,R07ASCT08,2200,008FGAS024,AAS008FG1011A,22-02-16 14:50,22-02-16 06:07,EliteMT,SOP-8G,10080,02/17/2022 MP,1091G08PA4,6,R07ASCT07,SOP-8G,EliteMT,AAS008FG1011A,1091G08PA4,1156.8699,22-02-16 14:50,2200
