assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	RD8ASCV06  ,	2,	2460,	2022/9/19 上午 02:02:45,	WSM       ,	Y,	5060,	RD8ASCV06  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	P27KA.01                                          ,	3000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MT2022090434             ,	N,	N,	0,	0,	20220919,	20244,	2022/9/18 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/21 上午 12:00:00,	2022/9/23 上午 12:00:00,	2022/9/24 上午 12:00:00,	2022/9/24 上午 12:00:00,	2022/9/24 上午 12:00:00,	,	,	 I J B G E                                                                      ,	                    ,	0,	Y3,	     ,	AS99    ,	1081G750V2               ,	,	,	                                   ,	RD8ASCV,	RD8ASCV06  ,	2,	2460,	2022/9/19 上午 02:02:45,	WSM       ,	Y,
	RD8ASCV10  ,	2,	2460,	2022/9/19 上午 02:48:20,	WSM       ,	Y,	5060,	RD8ASCV10  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	P27KA.01                                          ,	3000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MT2022090434             ,	N,	N,	0,	0,	20220919,	24820,	2022/9/18 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/21 上午 12:00:00,	2022/9/23 上午 12:00:00,	2022/9/24 上午 12:00:00,	2022/9/24 上午 12:00:00,	2022/9/24 上午 12:00:00,	,	,	 I J B G E                                                                      ,	                    ,	0,	Y3,	     ,	AS99    ,	1081G750V2               ,	,	,	                                   ,	RD8ASCV,	RD8ASCV10  ,	2,	2460,	2022/9/19 上午 02:48:20,	WSM       ,	Y,
	RD8MSCE01  ,	2,	2460,	2022/9/19 上午 06:20:25,	WSM       ,	Y,	5060,	RD8MSCE01  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	569587L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1593148                  ,	N,	N,	0,	0,	20220919,	62024,	2022/9/16 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/19 上午 12:00:00,	2022/9/21 上午 12:00:00,	2022/9/25 上午 12:00:00,	2022/9/25 上午 12:00:00,	2022/9/25 上午 12:00:00,	,	,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS42    ,	1081G771S1               ,	,	,	                                   ,	RD8MSCE,	RD8MSCE01  ,	2,	2460,	2022/9/19 上午 06:20:25,	WSM       ,	Y,
	RD8MSCE05  ,	2,	2460,	2022/9/19 上午 07:11:47,	WSM       ,	Y,	5060,	RD8MSCE05  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	569587L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1593148                  ,	N,	N,	0,	0,	20220919,	71147,	2022/9/16 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/19 上午 12:00:00,	2022/9/21 上午 12:00:00,	2022/9/25 上午 12:00:00,	2022/9/25 上午 12:00:00,	2022/9/25 上午 12:00:00,	,	,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS42    ,	1081G771S1               ,	,	,	                                   ,	RD8MSCE,	RD8MSCE05  ,	2,	2460,	2022/9/19 上午 07:11:47,	WSM       ,	Y,
	RD8MSCE09  ,	2,	2460,	2022/9/19 上午 07:54:55,	WSM       ,	Y,	5060,	RD8MSCE09  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	569587L.00L                                       ,	1465,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1593148                  ,	N,	N,	0,	0,	20220919,	75455,	2022/9/16 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/19 上午 12:00:00,	2022/9/21 上午 12:00:00,	2022/9/25 上午 12:00:00,	2022/9/25 上午 12:00:00,	2022/9/25 上午 12:00:00,	,	,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS42    ,	1081G771S1               ,	,	,	                                   ,	RD8MSCE,	RD8MSCE09  ,	2,	2460,	2022/9/19 上午 07:54:55,	WSM       ,	Y,
	RD8MSCH06  ,	2,	2460,	2022/9/19 上午 05:31:20,	WSM       ,	Y,	5060,	RD8MSCH06  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	570187L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1593148                  ,	N,	N,	0,	0,	20220919,	53120,	2022/9/16 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/19 上午 12:00:00,	2022/9/21 上午 12:00:00,	2022/9/25 上午 12:00:00,	2022/9/25 上午 12:00:00,	2022/9/25 上午 12:00:00,	,	,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS42    ,	1081G771S1               ,	,	,	                                   ,	RD8MSCH,	RD8MSCH06  ,	2,	2460,	2022/9/19 上午 05:31:20,	WSM       ,	Y,
	RD8MSD904  ,	2,	2460,	2022/9/19 上午 04:30:52,	WSM       ,	Y,	5060,	RD8MSD904  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	567060L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1596308                  ,	N,	N,	0,	0,	20220919,	43052,	2022/9/18 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/21 上午 12:00:00,	2022/9/23 上午 12:00:00,	2022/9/30 上午 12:00:00,	2022/9/30 上午 12:00:00,	2022/9/30 上午 12:00:00,	,	,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G771S1               ,	,	,	                                   ,	RD8MSD9,	RD8MSD904  ,	2,	2460,	2022/9/19 上午 04:30:52,	WSM       ,	Y,
	RD8MSD908  ,	2,	2460,	2022/9/19 上午 05:18:03,	WSM       ,	Y,	5060,	RD8MSD908  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	567060L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1596308                  ,	N,	N,	0,	0,	20220919,	51803,	2022/9/18 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/21 上午 12:00:00,	2022/9/23 上午 12:00:00,	2022/9/30 上午 12:00:00,	2022/9/30 上午 12:00:00,	2022/9/30 上午 12:00:00,	,	,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G771S1               ,	,	,	                                   ,	RD8MSD9,	RD8MSD908  ,	2,	2460,	2022/9/19 上午 05:18:03,	WSM       ,	Y,
	RD8MSDF03  ,	2,	2460,	2022/9/19 上午 07:57:55,	WSM       ,	Y,	5060,	RD8MSDF03  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	566134L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1597473                  ,	N,	N,	0,	0,	20220919,	75754,	2022/9/19 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/22 上午 12:00:00,	2022/9/24 上午 12:00:00,	2022/10/1 上午 12:00:00,	2022/10/1 上午 12:00:00,	2022/10/1 上午 12:00:00,	,	,	 B F B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G771S1               ,	,	,	                                   ,	RD8MSDF,	RD8MSDF03  ,	2,	2460,	2022/9/19 上午 07:57:55,	WSM       ,	Y,
	RD8MSDP03  ,	2,	2460,	2022/9/19 上午 06:13:44,	WSM       ,	Y,	5060,	RD8MSDP03  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	567184L.00L                                       ,	3600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1597474                  ,	N,	N,	0,	0,	20220919,	61344,	2022/9/19 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/9/22 上午 12:00:00,	2022/9/24 上午 12:00:00,	2022/10/1 上午 12:00:00,	2022/10/1 上午 12:00:00,	2022/10/1 上午 12:00:00,	,	,	 C G B A D                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G771S1               ,	,	,	                                   ,	RD8MSDP,	RD8MSDP03  ,	2,	2460,	2022/9/19 上午 06:13:44,	WSM       ,	Y,
