ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB211,UTC3000,RUNNING,R37AWD503,2200.0,048TPAW103,AAW048TP1008B,22-09-19 08:06,22-09-18 21:31,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD421,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 08:06,2200,280.0269415786237
BB212,UTC3000,RUNNING,R37AWA402,3600.0,024XJAW040,AAW024XJ4004A,22-09-19 08:33,22-09-18 23:26,MXIC,STBGA24D4U,4205.0,,1091A07T41,,R37AWA202,STBGA24D4U,MXIC,AAW024XJ4004A,1091A07T41,175.2498,22-09-19 08:33,3600,0.0
BB213,UTC3000,IDLE,,,,AAW024XJ4004A,,22-09-18 22:11,,,,,,,R37BUAW02,STBGA84D4P,ICSI,ABU084XU2001B,1091A09C21,175.2498,,3600,0.0
BB214,UTC3000,RUNNING,R37AWD341,2200.0,048TPAW103,AAW048TP1008B,22-09-19 09:21,22-09-18 22:46,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD318,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 09:21,2200,280.0269415786237
BB215,UTC3000,RUNNING,R37AWD307,2200.0,048TPAW103,AAW048TP1008B,22-09-18 10:23,22-09-17 23:48,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD107,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-18 10:23,2200,280.0269415786237
BB216,UTC3000,RUNNING,R37AWD340,2200.0,048TPAW103,AAW048TP1008B,22-09-19 04:31,22-09-18 17:55,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD321,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 04:31,2200,280.0269415786237
BB217,UTC3000,RUNNING,R37AWD342,2200.0,048TPAW103,AAW048TP1008B,22-09-19 11:22,22-09-19 00:47,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD423,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 11:22,2200,280.0269415786237
BB218,UTC3000,RUNNING,R38AWAE11,2200.0,048TPAW103,AAW048TP1008B,22-09-19 17:37,22-09-19 07:02,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD338,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 17:37,2200,280.0269415786237
BB219,UTC3000,RUNNING,R37AWD333,2200.0,048TPAW103,AAW048TP1008B,22-09-19 04:40,22-09-18 18:05,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD131,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 04:40,2200,280.0269415786237
BB220,UTC3000,IDLE,,,,ANV132X2C090A,,22-09-18 12:11,,,,,,,R37NVX801,STBGA132G4VT,PHISON,ANV132X2C090A,1091A07C41,59.8628,,2200,0.0
BB221,UTC3000,ENG,R37AWD413,2200.0,048TPAW103,AAW048TP1008B,22-09-19 01:13,22-09-19 01:13,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD201,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-18 15:25,2200,280.0269415786237
BB222,UTC3000,RUNNING,R36NVV405,3200.0,345XTNV080,ANV345XTG002A,22-09-19 13:29,22-09-19 02:29,PHISON,STBGA345NBC,690.0,,1091A07C41,,R36NVV411,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-09-19 13:29,3200,0.0
BB223,UTC3000,RUNNING,R37AWD447,2200.0,048TPAW103,AAW048TP1008B,22-09-19 09:09,22-09-18 22:34,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD232,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 09:09,2200,280.0269415786237
BB224,UTC3000,RUNNING,R37ABAY01,3400.0,024XJAB025,AAB024XJ6011A,22-09-19 06:56,22-09-19 02:33,WINBOND,STBGA24D6U,4335.0,,,,R38ABA601,STBGA24D6U,WINBOND,AAB024XJ6011A,1091A07T21,1077.1637,22-09-19 06:56,3400,0.0
BB225,UTC3000,RUNNING,R37AWD520,2200.0,048TPAW103,AAW048TP1008B,22-09-19 14:03,22-09-19 03:28,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD419,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 14:03,2200,280.0269415786237
BB226,UTC3000,RUNNING,R38AWAE09,2200.0,048TPAW103,AAW048TP1008B,22-09-19 16:30,22-09-19 05:55,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD330,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 16:30,2200,280.0269415786237
BB227,UTC3000,RUNNING,R37AWD528,2200.0,048TPAW103,AAW048TP1008B,22-09-19 16:00,22-09-19 05:25,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R37AWD422,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-09-19 16:00,2200,280.0269415786237
BB228,UTC3000,IDLE,,,,ANV132X2C090A,,22-09-18 21:21,,,,09/19/2022 MP,,,R36NVWC01,STBGA132G4VT,PHISON,ANV132X25008B,1091A07C21,59.8628,,2200,0.0
