bd_id,da_out,da_act
AMS078EN1005A,0.00,0.00
AAS008FG1024A,0.00,0.00
AAS008FG1042A,0.00,0.00
AAS096EL1002A,0.00,3.00
AVE008YD2001A,17.60,0.00
AVE054TS1001E,0.00,0.00
AQH072AF1002A,0.00,0.00
AMS048TW1050A,0.00,0.00
ALW078EP1001A,0.00,0.00
AAW008Y62018A,0.00,0.00
AAW024MA5005A,0.00,0.00
,0.00,0.00
ANV0086A1026A,0.00,0.00
ANV0086A1063A,0.00,0.00
ANV0086A1130A,0.00,0.00
AAB008YD4001A,0.00,0.00
AAB008YD2014A,0.00,0.00
AAB008YM2025A,0.00,0.00
AAB008YQ3045A,0.00,0.00
AAB008YQ3039A,0.00,0.00
AAB048TW2002A,0.00,0.00
AAB063NW3008A,0.00,0.00
ABW072AF1004B,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
,0.00,0.00
AEU0086B1003A,0.00,0.00
AAB008YQ3049A,0.00,0.00
AAW048TP1041B,0.00,0.00
AAS008DR1006A,0.00,0.00
AAS008FG1009A,50.36,0.00
AAS008YM2016A,0.00,0.00
,0.00,0.00
,0.00,0.00
BU054MF1002A,3.48,0.00
ABU008Y62011A,0.00,0.00
ABU008YD2005A,0.00,0.00
ABU024XJ8004A,0.00,0.00
AMS048TW1058A,0.00,0.00
AMS048TW1072A,0.00,2.16
AMS078EN1005A,0.00,0.00
AMS096EC1002A,214.33,0.00
,0.00,0.00
AAW048TP1087A,0.00,0.00
AAW048TP1096A,0.00,0.00
ANV132X2C034A,0.00,0.00
AAB008Y62010A,289.88,0.00
AAB008YQ3002A,109.54,0.00
AAB024MA0007A,0.00,0.00
AAB054TN1005A,0.00,0.00
AAB054TS1003A,0.00,0.00
AAB090NC4006A,0.00,0.00
AQT192X85001C,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008YZ1001D,0.00,0.00
AHQ0445T2011A,45.96,0.00
,0.00,0.00
ACS054TS1015A,0.00,0.00
ANV132X2B012A,0.00,0.00
ANV345XTB023B,0.00,0.00
,0.00,0.00
AVE048XZ3001A,0.00,0.00
ABU200N74005A,0.00,0.00
ABU024MA0003B,0.00,0.00
ABU024XJ6009B,0.00,0.00
AOK048TV1012A,0.00,0.00
AAW024MA6003B,0.00,0.00
AAW024MA6013C,0.00,0.00
AAW048TP1008B,66.41,1.44
AAW064MR1007A,9.44,0.00
,0.00,0.00
ANV0086A1120A,0.00,0.00
ANV132X2C025A,0.00,0.00
AEU0086B1011A,0.00,0.00
ENG,0.00,0.00
AAB008YB2004A,0.00,0.00
AAB008YB2018A,0.00,0.00
AAB008YQ3005A,0.00,0.00
AAB024MA6020A,0.00,0.00
AAB024XJ6006A,0.00,0.00
AAB024XJ6010A,0.00,0.00
AAB054TN1005A,0.00,0.00
ABW036AB1004A,21.49,0.00
