wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc,wrto_prod_unt_1
BGA222,2410,25,S/P,EA
BGA222,2430,26,F/S,EA
BGA222,2440,27,O/S,EA
BGA222,2450,28,L/S,EA
BGA222,2460,29,F/V,EA
BGA222,2470,30,4IP,EA
BGA222,2480,31,PACK,EA
BGA222,2490,32,SHIP,EA
BGA23,2000,1,IQC,PCS
BGA23,2003,2,TPM,PCS
BGA23,2005,3,TAPING,PCS
BGA23,2010,4,LAPPING,PCS
BGA23,2020,5,A21 QUEUE,PCS
BGA23,2030,6,W/M,PCS
BGA23,2040,7,D/S,PCS
BGA23,2050,8,A31,EA
BGA23,2060,9,2IP,EA
BGA23,2070,10,D/A,EA
BGA23,2150,11,PLASMA,EA
BGA23,2090,12,POST D/A Q,EA
BGA23,2200,13,W/B,EA
BGA23,2210,14,3IP,EA
BGA23,2230,15,M/D QUEUE,EA
BGA23,2250,16,PLASMA,EA
BGA23,2300,17,M/D,EA
BGA23,2320,18,T/M,EA
BGA23,6000,19,WTC2,EA
BGA23,2330,20,PMC,EA
BGA23,2405,21,PLASMA,EA
BGA23,2410,22,S/P,EA
BGA23,2430,23,F/S,EA
BGA23,2435,24,P/P,EA
BGA23,2440,25,O/S,EA
BGA23,2450,26,L/S,EA
BGA23,2460,27,F/V,EA
BGA23,2470,28,4IP,EA
BGA23,2480,29,PACK,EA
BGA23,2490,30,SHIP,EA
BGA239,2000,1,IQC,PCS
BGA239,2003,2,TPM,PCS
BGA239,2005,3,TAPING,PCS
BGA239,2010,4,LAPPING,PCS
BGA239,2020,5,A21 QUEUE,PCS
BGA239,2030,6,W/M,PCS
BGA239,2040,7,D/S,PCS
BGA239,2050,8,A31,EA
BGA239,2060,9,2IP,EA
BGA239,2061,10,UV,EA
BGA239,2070,11,D/A,EA
BGA239,2080,12,D/A CURE,EA
BGA239,2150,13,PLASMA,EA
BGA239,2090,14,POST D/A Q,EA
BGA239,2200,15,W/B,EA
BGA239,2210,16,3IP,EA
BGA239,2250,17,PLASMA,EA
BGA239,2230,18,M/D QUEUE,EA
BGA239,2300,19,M/D,EA
BGA239,2320,20,T/M,EA
BGA239,6000,21,WTC2,EA
BGA239,2330,22,PMC,EA
BGA239,2405,23,PLASMA,EA
BGA239,2418,24,WTC,EA
BGA239,2410,25,S/P,EA
BGA239,2430,26,F/S,EA
BGA239,2435,27,P/P,EA
BGA239,2440,28,O/S,EA
BGA239,2450,29,L/S,EA
BGA239,2460,30,F/V,EA
BGA239,2470,31,4IP,EA
BGA239,2480,32,PACK,EA
BGA239,2490,33,SHIP,EA
BGA248,2000,1,IQC,PCS
BGA248,2003,2,TPM,PCS
BGA248,2005,3,TAPING,PCS
BGA248,2010,4,LAPPING,PCS
BGA248,2020,5,A21 QUEUE,PCS
BGA248,2030,6,W/M,PCS
BGA248,2040,7,D/S,PCS
BGA248,2050,8,A31,EA
BGA248,2060,9,2IP,EA
BGA248,2061,10,UV,EA
BGA248,2070,11,D/A,EA
BGA248,2080,12,D/A CURE,EA
BGA248,2150,13,PLASMA,EA
BGA248,2090,14,POST D/A Q,EA
BGA248,2200,15,W/B,EA
BGA248,2210,16,3IP,EA
BGA248,2250,17,PLASMA,EA
BGA248,2230,18,M/D QUEUE,EA
