bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time
ACS054TS1007A,AAW048TP1008B,1230.880217,BBB34,"CWN,SC",R07CSE302,R07AWC726,BBB34_3,1110.880217
AYZ096EF2003A,ABU096EA1001A,84.000000,BBB35,MC,R07YZAM19,R07BUBV03,BBB35_1,0.000000
AAW048TP1042C,AAW048TP1008B,1675.525682,BBB36,"CWN,MC",R08AWA401,R07AWBM43,BBB36_5,1561.525682
AAB008YQ2022A,AAB008YM2020A,84.000000,BBD11,MC,R07ABGJ08,R07ABHB02,BBD11_1,0.000000
ANV0086A1071A,AAB008YM2025A,84.000000,BBD12,MC,,R07ABEJ01,BBD12_1,0.000000
AAW008Y62018A,AAS008YQ2014A,84.000000,BBD15,MC,R07AWD618,R07ASCZ11,BBD15_1,0.000000
ABW036AB1004A,AAS096EL1001A,744.164124,BBD23,"CWN,SC",R07BWC225,R07ASCN12,BBD23_2,624.164124
ABW036AB1004A,AAB008YM2025A,188.000000,BBD39,MC,R07BWD221,R07ABEF03,BBD39_1,104.000000
ABW036AB1004A,AAB008YM2020A,193.000000,BBD41,MC,R07BWC218,R07ABHC03,BBD41_1,109.000000
AAS096EI2001A,AAS008FG1011A,84.000000,BBD48,MC,R07ASC201,R07ASCT10,BBD48_1,0.000000
AAS096EI2001A,AAS008FG1011A,84.000000,BBD49,MC,R07ASC203,R07ASCT04,BBD49_1,0.000000
ABW048AC1007A,AAB008YB2004A,84.000000,BBD51,MC,R05BWC609,R07ABLL01,BBD51_1,0.000000
ANV0086A1071A,AAB008YM2020A,84.000000,BBD54,MC,,R07ABHC04,BBD54_1,0.000000
ABW048AC1007A,AAB008Y62010A,84.000000,BBD55,MC,R05BWC608,R07ABH913,BBD55_1,0.000000
AAS096EI2001A,AAS008YQ2014A,84.000000,BBD59,MC,R07ASC206,R07ASCZ09,BBD59_1,0.000000
AAB008YQ2022A,AAB008YM2020A,84.000000,BBD60,MC,R07ABGJ01,R07ABHA02,BBD60_1,0.000000
ANV0086A1071A,AAB008YM2025A,43.000000,BBD62,MC,R05NVD314,R07ABEE09,BBD62_1,-41.000000
AAW008Y62018A,ABU008YD2006A,84.000000,BBD81,MC,,R07VGB603,BBD81_1,0.000000
ALW078C93001A,AAB054TN1005A,84.000000,BBH11,MC,R07LWDS02,R07ABFT18,BBH11_1,0.000000
ALW078C93001A,AAB054TN1005A,84.000000,BBH14,MC,R07LWDV02,R07ABFT24,BBH14_1,0.000000
ALW078C93001A,AAB054TN1005A,84.000000,BBH45,MC,R07LWDI01,R07ABFT23,BBH45_1,0.000000
AAB008YQ3012A,AAB008YQ3004A,84.000000,BBJ03,MC,,R07ABDK02,BBJ03_1,0.000000
AAW008Y62017A,AAB008YM2025A,84.000000,BBL16,MC,,R07ABEF05,BBL16_1,0.000000
AAW008Y62017A,AAB008YM2020A,84.000000,BBL22,MC,R07AWCA02,R07ABHB01,BBL22_1,0.000000
ANV345XTA010A,AHQ0442J3006A,296.000000,BBR03,MC,R03NVBL02,R07HQDH13,BBR03_1,212.000000
ANV345XTA010A,AHQ0442J3005A,84.000000,BBR08,MC,,R07HQDK07,BBR08_1,0.000000
AAB008YM2023A,AHQ0442J3006A,3543.578065,BBRB6,"CWN,SC",R08ABBT01,R07HQDN04,BBRB6_9,3423.578065
AEU0086B1007A,AHQ0442J3006A,84.000000,BBRC8,MC,R05EUA202,R07HQDM07,BBRC8_1,0.000000
AAB008Y62014A,AHQ0442J3006A,2350.975060,BBRD6,"CWN,SC",R07ABLC37,R07HQDM161,BBRD6_6,2230.975060
ABU153XT9002A,ANI020YU1005C,-27415720.000000,BBS05,MC,R05VGEC07,R07NIGK01,BBS05_1,-27415804.000000
ANI008YK3002A,AAB008YM2025A,650.000000,BBS06,MC,R07NIAN02,R07ABEJ02,BBS06_1,566.000000
ANI008YK3002A,AHQ0442J3006A,537.044744,BBS09,"CWN,SC",R07NIAG02,R05HQC104,BBS09_2,417.044744
