ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB211,0,UTC3000,RUNNING,R07CDAE05,,2200,054TNCD026,EDEF10FTS0J0-NL-6G-DP-000,ACD054TN1002B,2880,38414,22-02-17 04:07,22-02-17 16:48,ETRON,TSOP2-54ME,BTH358.22.1,,226.9653,,3000M,TA-A20,,2200,,,R07CDAD02,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,,226.9653,201.6019,22-02-17 16:48
BB212,0,UTC3000,RUNNING,R07BUB301,,2200,096EABU001,IS46TR16512B-125KBLA1-AS,ABU096EA1001A,2640,11593,22-02-17 02:34,22-02-17 13:26,ICSI,FBGA-96LEA,MRD839000Y1,,242.8889,,3000M,TA-A19,,2200,,,R07BUBW05,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,,242.8889,215.7461,22-02-17 13:26
BB213,0,UTC3000,RUNNING,R03NVBK12,,3400,345XTNV080,SC7800490U-00000-00006{SS,ANV345XTG002A,670,10897,22-02-17 00:36,22-02-17 10:19,PHISON,STBGA345NBC,00R03NVBK,,69.0372,,3000M,TA-A19,,3400,1091A07C41,4P,R07AWB515,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,,69.5439,61.7724,22-02-17 10:19
BB214,0,UTC3000,IDLE,,,,,,AAW048TP1041B,,,22-02-17 07:49,,,,,,,,3000M,TA-A19,,2200,,,R07AWDG20,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,
BB215,0,UTC3000,RUNNING,R03NVBN07,,3400,345XTNV079,SC7800490S-00000-00009{SS,ANV345XTG001A,1158,4838,22-02-17 00:20,22-02-17 08:07,PHISON,STBGA345NBC,00R03NVBN,,147.6873,,3000M,TA-A19,,3400,1091A07C41,4P,R03NVBN04,STBGA345NBC,PHISON,ANV345XTG001A,1091A07C41,,73.5056,65.2914,22-02-17 08:07
BB216,0,UTC3000,IDLE,,,,,,AAW048TP1041B,,,22-02-17 03:23,,,,,,,,3000M,TA-A19,,2200,,,R07AWDG02,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,
BB217,0,UTC3000,RUNNING,R07BUBU02,,2200,096EABU001,IS46TR16512B-125KBLA1-AS,ABU096EA1001A,2629,11035,22-02-16 21:34,22-02-17 08:24,ICSI,FBGA-96LEA,MRD885000Y1,,242.8889,,2000M,TA-A20,,2200,1091A07C21,,R07BUBV01,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,,242.8889,215.7461,22-02-17 08:24
BB218,0,UTC3000,IDLE,,,,,,ANV345XTB029A,,,22-02-17 02:03,,,,,,,,1000M,TA-A20,,2200,,,R04NVCJ02,STBGA345SBC,PHISON,ANV345XTB029A,1091A07C41,,56.1484,49.8738,
BB219,0,UTC3000,RUNNING,R07CDA301,,2200,054TNCD027,EDEF10FTS000-GN-5IG-E2-00,ACD054TN1002B,2880,8111,22-02-14 03:52,22-02-16 09:47,ETRON,TSOP2-54ME,BTH356.21.1,,226.9653,,3000M,TA-A20,,2200,1091A07T21,,R07CDAD05,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,,226.9653,201.6019,22-02-16 09:47
BB220,0,UTC3000,RUNNING,R03NVBK06,,3400,345XTNV080,SC7800490U-00000-00006{SS,ANV345XTG002A,670,10897,22-02-17 03:21,22-02-17 13:03,PHISON,STBGA345NBC,00R03NVBK,,69.0372,,3000M,TA-A20,,3400,1091A07C41,4P,R07AWB520,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,,69.5439,61.7724,22-02-17 13:03
