¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
367,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI321               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
368,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI329               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
369,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI330               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
370,	FPSLGA22O5V ,	AHQ0223R1001B       ,	0223RHQ012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
371,	FPSLGA22AZ6V,	AHQ0225N1001B       ,	0225NHQ011               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
372,	FPSSLGA41CRV,	AHQ0415L1003B       ,	0415LHQ021               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
373,	FPSTLGA44X4V,	AHQ0442J4001A       ,	0442JHQ031               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
374,	MAT         ,	                    ,	0008WCM271ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
375,	MAT         ,	                    ,	0008WCMA113ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
376,	MAT         ,	                    ,	0008WCME153ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
377,	MAT         ,	                    ,	0008WCME463ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
378,	VFBGA63BFU  ,	AAB063NW3001A       ,	063NWCME25ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
379,	STBGA132G4VT,	ANV132X2C090A       ,	132X2CME59ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
380,	STBGA162BAU ,	AAW162KE1002A       ,	162KECM026ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
381,	SOP-8G      ,	AAS008FG1010A       ,	008FGAS005               ,	115.48,	10.08,	0.00,	0.00,	0.00,	0.00,
382,	FBGA-96UEL-3,	AAS096EL1002A       ,	096ELAS001               ,	0.00,	0.00,	126.68,	0.00,	0.00,	0.00,
