ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time
BBU04,UTC5000S,RUNNING,R05AWBE02,2200,048TPAW086,AAW048TP1041B,22-02-08 14:45,22-02-08 06:18,MXIC,TSOP1-48/M2,720,,,,R05AWA133,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 14:45
BBU05,UTC5000S,RUNNING,R05AWA415,2200,048TPAW086,AAW048TP1041B,22-02-08 10:37,22-02-08 02:10,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA09,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 10:37
BBU06,UTC5000S,RUNNING,R05AWA412,2200,048TPAW086,AAW048TP1041B,22-02-08 16:11,22-02-08 07:44,MXIC,TSOP1-48/M2,720,,1091A08T41,,R05AWA138,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 16:11
BBU07,UTC5000S,RUNNING,R05AWA416,2200,048TPAW086,AAW048TP1041B,22-02-08 10:31,22-02-08 02:04,MXIC,TSOP1-48/M2,720,02/08/2022 MP,1091A08T41,,R05AWA113,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 10:31
BBU08,UTC5000S,RUNNING,R05AWBE06,2200,048TPAW086,AAW048TP1041B,22-02-08 14:54,22-02-08 06:26,MXIC,TSOP1-48/M2,720,02/09/2022 MP,,,R05AWA134,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 14:54
BBU09,UTC5000S,RUNNING,R05AWA144,2200,048TPAW086,AAW048TP1041B,22-02-08 08:07,22-02-07 23:40,MXIC,TSOP1-48/M2,720,02/10/2022 MP,1091A08T41,,R04AWDA44,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 08:07
BBU10,UTC5000S,RUNNING,R05AWA139,2200,048TPAW086,AAW048TP1041B,22-02-08 16:20,22-02-08 07:53,MXIC,TSOP1-48/M2,720,02/11/2022 MP,1091A08T41,,R04AWCJ01,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 16:20
BBU11,UTC5000S,RUNNING,R04AWDA23,2200,048TPAW086,AAW048TP1041B,22-02-08 00:13,22-02-07 15:46,MXIC,TSOP1-48/M2,720,02/12/2022 MP,1091A08T41,,R04AWCJ24,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 00:13
BBU12,UTC5000S,RUNNING,R06MSG202,2200,096ECMS003,AMS096EC1002A,22-02-08 10:12,22-02-08 02:32,MTI,FBGA-96UEC,2312,02/13/2022 MP,,,R06MSE102,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-02-08 10:12
BBU13,UTC5000S,RUNNING,R05AWA417,2200,048TPAW086,AAW048TP1041B,22-02-08 11:02,22-02-08 02:35,MXIC,TSOP1-48/M2,720,02/14/2022 MP,1091A08T41,,R04AWCJ47,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 11:02
BBU14,UTC5000S,RUNNING,R05MSL801,2200,078EPMS003,AMS078EP1001A,22-02-09 02:59,22-02-08 02:30,MTI,FBGA-78UEP,6000,02/15/2022 MP,,,R05MSKY03,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,258.9276,22-02-09 02:59
BBU15,UTC5000S,RUNNING,R05AWA421,2200,048TPAW086,AAW048TP1041B,22-02-08 10:05,22-02-08 01:38,MXIC,TSOP1-48/M2,720,02/16/2022 MP,1091A08T41,,R05AWA111,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 10:05
BBU16,UTC5000S,RUNNING,R05AWA127,2200,048TPAW086,AAW048TP1041B,22-02-08 07:28,22-02-07 23:01,MXIC,TSOP1-48/M2,720,02/17/2022 MP,1091A08T41,,R04ABE914,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,85.1953,22-02-08 07:28
BBU17,UTC5000S,RUNNING,R06MSJ201,2200,096ECMS010,AMS096EC3001B,22-02-08 10:26,22-02-07 15:58,MTI,FBGA-96UEC,5465,02/18/2022 MP,1091A06T21,,R05MSFZ06,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,239.5637,22-02-08 10:26
BBU18,UTC5000S,RUNNING,R05AWA430,2200,048TPAW086,AAW048TP1041B,22-02-08 10:01,22-02-08 01:34,MXIC,TSOP1-48/M2,720,02/19/2022 MP,1091A08T41,,R04AWCJ35,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 10:01
BBU19,UTC5000S,RUNNING,R05AWA429,2200,048TPAW086,AAW048TP1041B,22-02-08 08:46,22-02-08 00:19,MXIC,TSOP1-48/M2,720,02/20/2022 MP,1091A08T41,,R04AWDA17,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 08:46
BBU20,UTC5000S,RUNNING,R04AWCJ36,2200,048TPAW086,AAW048TP1041B,22-02-08 15:35,22-02-08 07:08,MXIC,TSOP1-48/M2,720,02/21/2022 MP,1091A08T41,,R04AWCV44,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 15:35
BBU21,UTC5000S,RUNNING,R05AWA132,2200,048TPAW086,AAW048TP1041B,22-02-08 08:04,22-02-07 23:37,MXIC,TSOP1-48/M2,720,02/22/2022 MP,1091A08T41,,P52AWC108,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,85.1953,22-02-08 08:04
BBU22,UTC5000S,RUNNING,R05AWA411,2200,048TPAW086,AAW048TP1041B,22-02-08 12:56,22-02-08 04:29,MXIC,TSOP1-48/M2,720,02/23/2022 MP,1091A08T41,,R05AWA125,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 12:56
BBU23,UTC5000S,RUNNING,R05AWA446,2200,048TPAW086,AAW048TP1041B,22-02-08 14:29,22-02-08 06:02,MXIC,TSOP1-48/M2,720,02/24/2022 MP,1091A08T41,,R05AWA120,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 14:29
BBU24,UTC5000S,WAIT-SETUP,R06MSG306,2200,096ECMS003,AMS096EC1002A,22-02-08 07:52:38,22-02-08 05:50,MTI,FBGA-96UEC,5560,02/25/2022 MP,1091A06T41,,R06MSE401,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-02-08 07:52
BBU25,UTC5000S,RUNNING,R05AWA424,2200,048TPAW086,AAW048TP1041B,22-02-08 10:17,22-02-08 01:50,MXIC,TSOP1-48/M2,720,02/26/2022 MP,1091A08T41,,R04AWDA15,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 10:17
BBU26,UTC5000S,RUNNING,R05AWA436,2200,048TPAW086,AAW048TP1041B,22-02-08 11:57,22-02-08 03:30,MXIC,TSOP1-48/M2,720,02/27/2022 MP,1091A08T41,,R05AWA118,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 11:57
BBU27,UTC5000S,RUNNING,R06MSG304,2200,096ECMS003,AMS096EC1002A,22-02-08 19:43,22-02-08 01:24,MTI,FBGA-96UEC,5565,02/28/2022 MP,1091A06T41,,R06MSE103,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-02-08 19:43
BBU28,UTC5000S,RUNNING,R06MSEV07,2200,096ECMS003,AMS096EC1002A,22-02-08 11:13,22-02-08 06:28,MTI,FBGA-96UEC,1423,,1091A06T41,,R06MSES01,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-02-08 11:13
BBU29,UTC5000S,RUNNING,R05AWA103,2200,048TPAW086,AAW048TP1041B,22-02-08 04:26,22-02-07 19:59,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA41,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 04:26
BBU30,UTC5000S,RUNNING,R05AWA110,2200,048TPAW086,AAW048TP1041B,22-02-08 08:12,22-02-07 23:45,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWCJ34,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 08:12
BBU31,UTC5000S,RUNNING,R05AWA115,2200,048TPAW086,AAW048TP1041B,22-02-08 12:37,22-02-08 04:10,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA33,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 12:37
BBU32,UTC5000S,RUNNING,R05AWA408,2200,048TPAW086,AAW048TP1041B,22-02-08 08:16,22-02-07 23:49,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA19,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 08:16
