,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
0,0,AOK048TV1029A,ACD084CC2003A,84.0,BB211,MC,,R14CDC502,BB211_1,0.0,2022-04-05 08:04:00,2022-04-05 09:28:00,7594.809999999999,2022-04-05 08:04:00,2022-04-05 09:28:00
1,1,AMS078EN1001A,ACD084CC2003A,84.0,BB213,MC,,R14CDC903,BB213_1,0.0,2022-04-05 08:04:00,2022-04-05 09:28:00,7593.6,2022-04-05 08:04:00,2022-04-05 09:28:00
2,2,AMS078EN1001A,ACD084CC2003A,84.0,BB216,MC,,R14CDC503,BB216_1,0.0,2022-04-05 08:04:00,2022-04-05 09:28:00,7594.65,2022-04-05 08:04:00,2022-04-05 09:28:00
3,3,ANV132X2C059A,AMS096EF2001A,501.0,BB219,MC,R14NVPN11,R14MSFE05,BB219_1,417.0,2022-04-05 15:01:00,2022-04-05 16:25:00,7655.73,2022-04-05 15:01:00,2022-04-05 16:25:00
4,4,AOK048TV1029A,ALW078C93001A,84.0,BB220,MC,,R14LWBS01,BB220_1,0.0,2022-04-05 08:04:00,2022-04-05 09:28:00,7596.8,2022-04-05 08:04:00,2022-04-05 09:28:00
5,5,AOK048TV1029A,AAB162KE1006A,141.0,BB222,MC,R13OKL613,R14ABD301,BB222_1,57.0,2022-04-05 09:01:00,2022-04-05 10:25:00,7593.91,2022-04-05 09:01:00,2022-04-05 10:25:00
6,6,AMS078EN1001A,ACD084CC2003A,84.0,BB223,MC,,R14CDC901,BB223_1,0.0,2022-04-05 08:04:00,2022-04-05 09:28:00,7594.65,2022-04-05 08:04:00,2022-04-05 09:28:00
7,7,ACD084CC2002A,AAW024XJ6010B,84.0,BB224,MC,,R14AWAV01,BB224_1,0.0,2022-04-05 08:04:00,2022-04-05 09:28:00,7593.78,2022-04-05 08:04:00,2022-04-05 09:28:00
8,8,ACD084CC2002A,AAB024MA6020A,120.0,BB228,"CWN,SC",,R14ABPE06,BB228_1,0.0,2022-04-05 08:04:00,2022-04-05 10:04:00,7595.1,2022-04-05 08:04:00,2022-04-05 10:04:00
9,9,AAB024MA6020A,AMS078C91003A,974.581805,BB228,"CWN,SC",R14ABPE03,R14MSM307,BB228_4,854.581805,2022-04-05 22:18:34,2022-04-06 00:18:34,7596.33,2022-04-05 22:18:34,2022-04-06 00:18:34
