assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	RC4CDA602  ,	2,	2460,	2022/6/8 上午 06:58:07,	WSM       ,	Y,	5060,	RC4CDA602  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	MRJ545.11.1                                       ,	6000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	MEA60014                 ,	N,	N,	0,	0,	20220608,	65806,	2022/6/8 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/6/11 上午 12:00:00,	2022/6/12 上午 12:00:00,	2022/6/13 上午 12:00:00,	2022/6/15 上午 12:00:00,	2022/6/15 上午 12:00:00,	,	,	 B B A B E                                                                      ,	                    ,	0,	Y3,	     ,	CD21    ,	108117HFU8               ,	,	,	                                   ,	RC4CDA6,	RC4CDA602  ,	2,	2460,	2022/6/8 上午 06:58:07,	WSM       ,	Y,
	RC4MSAU02  ,	2,	2460,	2022/6/8 上午 07:15:46,	WSM       ,	Y,	5060,	RC4MSAU02  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	617702K.00K                                       ,	6000,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1449267                  ,	N,	N,	0,	0,	20220608,	71546,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/6/21 上午 12:00:00,	2022/6/27 上午 12:00:00,	2022/6/30 上午 12:00:00,	2022/6/30 上午 12:00:00,	2022/6/30 上午 12:00:00,	,	,	 C E B B C                                                                      ,	                    ,	0,	Y3,	     ,	MS41    ,	1081G771S1               ,	,	,	                                   ,	RC4MSAU,	RC4MSAU02  ,	2,	2460,	2022/6/8 上午 07:15:46,	WSM       ,	Y,
	RC4MSBM06  ,	2,	2460,	2022/6/8 上午 03:41:26,	WSM       ,	Y,	5060,	RC4MSBM06  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1119826.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1449269                  ,	N,	N,	0,	0,	20220608,	34126,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/6/12 上午 12:00:00,	2022/6/14 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/19 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RC4MSBM,	RC4MSBM06  ,	2,	2460,	2022/6/8 上午 03:41:26,	WSM       ,	Y,
	RC4MSBP01  ,	2,	2460,	2022/6/8 上午 04:39:54,	WSM       ,	Y,	5060,	RC4MSBP01  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1115016.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1449269                  ,	N,	N,	0,	0,	20220608,	43954,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/6/12 上午 12:00:00,	2022/6/14 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/19 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RC4MSBP,	RC4MSBP01  ,	2,	2460,	2022/6/8 上午 04:39:54,	WSM       ,	Y,
	RC4MSBP05  ,	2,	2460,	2022/6/8 上午 05:50:26,	WSM       ,	Y,	5060,	RC4MSBP05  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1115016.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1449269                  ,	N,	N,	0,	0,	20220608,	55025,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/6/12 上午 12:00:00,	2022/6/14 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/19 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RC4MSBP,	RC4MSBP05  ,	2,	2460,	2022/6/8 上午 05:50:26,	WSM       ,	Y,
	RC4MSBR03  ,	2,	2460,	2022/6/8 上午 03:19:24,	WSM       ,	Y,	5060,	RC4MSBR03  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1120346.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1449269                  ,	N,	N,	0,	0,	20220608,	31923,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/6/12 上午 12:00:00,	2022/6/14 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/19 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RC4MSBR,	RC4MSBR03  ,	2,	2460,	2022/6/8 上午 03:19:24,	WSM       ,	Y,
	RC4MSBR07  ,	2,	2460,	2022/6/8 上午 04:47:20,	WSM       ,	Y,	5060,	RC4MSBR07  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1120346.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1449269                  ,	N,	N,	0,	0,	20220608,	44720,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/6/12 上午 12:00:00,	2022/6/14 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/19 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RC4MSBR,	RC4MSBR07  ,	2,	2460,	2022/6/8 上午 04:47:20,	WSM       ,	Y,
	RC4MSBS03  ,	2,	2460,	2022/6/8 上午 06:43:14,	WSM       ,	Y,	5060,	RC4MSBS03  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1120336.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1449269                  ,	N,	N,	0,	0,	20220608,	64314,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/6/12 上午 12:00:00,	2022/6/14 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/19 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RC4MSBS,	RC4MSBS03  ,	2,	2460,	2022/6/8 上午 06:43:14,	WSM       ,	Y,
	RC4MSBS07  ,	2,	2460,	2022/6/8 上午 07:43:06,	WSM       ,	Y,	5060,	RC4MSBS07  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1120336.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1449269                  ,	N,	N,	0,	0,	20220608,	74306,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/6/12 上午 12:00:00,	2022/6/14 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/19 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RC4MSBS,	RC4MSBS07  ,	2,	2460,	2022/6/8 上午 07:43:06,	WSM       ,	Y,
	RC4MSBU02  ,	2,	2460,	2022/6/8 上午 07:26:59,	WSM       ,	Y,	5060,	RC4MSBU02  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1121516.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1449269                  ,	N,	N,	0,	0,	20220608,	72659,	2022/6/9 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/6/12 上午 12:00:00,	2022/6/14 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/17 上午 12:00:00,	2022/6/19 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RC4MSBU,	RC4MSBU02  ,	2,	2460,	2022/6/8 上午 07:26:59,	WSM       ,	Y,
