pkg_type,process_id,version,detail_id,remark,
	T,	100X6007       ,	 A,	S22000102,	A0801CB1200(UTC)                        ,
	T,	056TH172       ,	 B,	S22000102,	A0801CB0493(UTC)                        ,
	T,	024MA238       ,	 C,	S22000102,	A0801CB1057(UTC)                        ,
	T,	024MA238       ,	 C,	S22000102,	A0803CB1057(KNS)                        ,
	T,	162KE032       ,	 D,	S22000102,	A0801CB0818(UTC)                        ,
	T,	162KE032       ,	 D,	S22000102,	A0803CB0818(KNS)                        ,
	T,	008YQ163       ,	 H,	S22000102,	A0803CB0859(KNS)                        ,
	T,	008YB027       ,	 J,	S22000102,	A0803CB0783                             ,
	T,	008YQ157       ,	 J,	S22000102,	A0803CB1050(KNS)                        ,
	T,	084UC097       ,	 O,	S22000102,	A0803CB0785                             ,
	T,	084UC096       ,	 K,	S22000102,	A0803CB0785                             ,
	T,	126CT002       ,	 H,	S22000102,	A0801CB0754                             ,
	T,	096EF033       ,	 G,	S22000102,	A0801CB1087(UTC)                        ,
	T,	096EF033       ,	 G,	S22000102,	A0803CB1087(KNS)                        ,
	T,	096EF039       ,	 G,	S22000102,	A0801CB1087 (UTC)                       ,
	T,	096EF039       ,	 G,	S22000102,	A0803CB1087 (KNS)                       ,
	T,	060C3005       ,	AA,	S22000102,	A0801CB0417                             ,
	T,	200N7045       ,	 A,	S22000102,	A0801CB1032(UTC)                        ,
	T,	200N7045       ,	 A,	S22000102,	A0803CB1032(KNS)                        ,
	T,	072AF132       ,	 F,	S22000102,	A0803CB0424                             ,
	T,	096CA003       ,	 D,	S22000102,	A0801CB0954(UTC)                        ,
	T,	096CA003       ,	 D,	S22000102,	A0803CB0954(KNS)                        ,
	T,	0225N008       ,	 A,	S22000102,	A0803CB1267(KNS)                        ,
	T,	0225N010       ,	 C,	S22000102,	A0803CB1267(KNS)                        ,
	T,	0442J030       ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0442J030       ,	 A,	S32000102,	A0803CB1294(KNS)                        ,
	T,	048MA272       ,	 L,	S22000102,	A0801CB0055                             ,
	T,	048MA272       ,	 L,	S22000102,	A0801CB0248                             ,
	T,	078EP006       ,	 E,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP006       ,	 E,	S22000102,	A0803CB1264(KNS)                        ,
	T,	078EN006       ,	 I,	S22000102,	A0801CB1169(UTC)                        ,
	T,	078EN006       ,	 I,	S22000102,	A0803CB1169(KNS)                        ,
	T,	010YK025       ,	 J,	S22000102,	A0803CB1315(KNS)                        ,
	T,	078EQ001       ,	 E,	S22000102,	A0801CB1302(UTC)                        ,
	T,	153XT134       ,	 E,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT134       ,	 E,	S22000102,	A0803CB1294(KNS)                        ,
	T,	048XZ001       ,	 I,	S22000102,	A0801CB0571(UTC)                        ,
	T,	054TS014       ,	 N,	S22000102,	A0801CB0929                             ,
	T,	008YD083       ,	 J,	S22000102,	A0803CB1038(KNS)                        ,
	T,	153XT019       ,	 M,	S22000102,	A0803CB1091(KNS)                        ,
	T,	008YQ200       ,	 A,	S22000102,	A0803CB1174(KNS)                        ,
	T,	096EI023       ,	 D,	S22000102,	A0801CB1277(UTC)                        ,
	T,	024MA066       ,	 F,	S22000102,	A0801CB0373 (UTC)                       ,
	T,	024MA066       ,	 F,	S22000102,	A0803CB0373 (KNS)                       ,
	T,	008Y6080       ,	 K,	S22000102,	A0803CB1229(KNS)                        ,
	T,	345XT009ENG    ,	 A,	S22000102,	A0801CB1285(UTC)                        ,
	T,	345XT009ENG    ,	 A,	S22000102,	A0803CB1323(KNS)                        ,
	T,	345XT009ENG    ,	 A,	S32000102,	A0801CB1285(UTC)                        ,
	T,	345XT009ENG    ,	 A,	S32000102,	A0803CB1323(KNS)                        ,
	T,	345XT009ENG    ,	 A,	S34000102,	A0801CB1285(UTC)                        ,
	T,	345XT009ENG    ,	 A,	S34000102,	A0803CB1323(KNS)                        ,
	T,	345XT009ENG    ,	 A,	S36000102,	A0801CB1285(UTC)                        ,
	T,	345XT009ENG    ,	 A,	S36000102,	A0803CB1323(KNS)                        ,
	T,	345XT009ENG    ,	 A,	S42000102,	A0801CB1285(UTC)                        ,
	T,	345XT009ENG    ,	 A,	S42000102,	A0803CB1323(KNS)                        ,
	T,	153XT037ENG    ,	 A,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT037ENG    ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	132X2317       ,	 B,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2317       ,	 B,	S22000102,	A0803CB1295(KNS)                        ,
	T,	162KE040       ,	 A,	S22000102,	A0803CB1122(KNS)                        ,
	T,	090NC094       ,	 A,	S22000102,	A0803CB1273                             ,
	T,	162KE039       ,	 A,	S22000102,	A0803CB1122(KNS)                        ,
	T,	048TG295       ,	 U,	S22000102,	A0801CB0325                             ,
	T,	134N9007       ,	 D,	S22000102,	A0801CB1106(UTC)                        ,
	T,	0343A010       ,	 C,	S22000102,	A0803CB1094(KNS)                        ,
	T,	0343A010       ,	 C,	S32000102,	A0803CB1094(KNS)                        ,
	T,	0225N001       ,	 E,	S22000102,	A0803CB1267                             ,
	T,	0008W235       ,	 C,	S22000102,	A0803CB1212(KNS)                        ,
	T,	048TP216       ,	 F,	S22000102,	A0803CB0831(KNS)                        ,
	T,	084UC196       ,	 E,	S22000102,	A0803CB1313(KNS)                        ,
	T,	096EL063       ,	 D,	S22000102,	A0803CB1239(KNS)                        ,
	T,	024MA099       ,	 E,	S22000102,	A0801CB0700                             ,
	T,	008YM110       ,	 H,	S22000102,	A0803CB0832(KNS)                        ,
	T,	048MA365       ,	 D,	S22000102,	A0801CB1057                             ,
	T,	162KE035       ,	 H,	S22000102,	A0803CB0818(KNS)                        ,
	T,	008YD088       ,	 G,	S22000102,	A0803CB0635(KNS)                        ,
	T,	064RK004       ,	 E,	S22000102,	A0801CB0890(UTC)                        ,
	T,	060NR021       ,	 E,	S22000102,	A0801CB0724 (UTC)                       ,
	T,	060NR021       ,	 E,	S22000102,	A0803CB0724 (KNS)                       ,
	T,	084UC178       ,	 J,	S22000102,	A0801CB1250(UTC)                        ,
	T,	084UC178       ,	 J,	S22000102,	A0803CB1250(KNS)                        ,
	T,	008YQ190       ,	 A,	S22000102,	A0803CB0859(KNS)                        ,
	T,	096EL097       ,	 A,	S22000102,	A0801CB1331(UTC)                        ,
	T,	096EL097       ,	 A,	S22000102,	A0803CB1331(KNS)                        ,
	T,	008YQ171       ,	 G,	S22000102,	A0803CB0859(KNS)                        ,
	T,	008YB026       ,	 I,	S22000102,	A0803CB0783 (KNS)                       ,
	T,	096EL021       ,	 J,	S22000102,	A0801CB1102(UTC)                        ,
	T,	084RB003       ,	 G,	S22000102,	A0801CB0747 (UTC)                       ,
	T,	084RB003       ,	 G,	S22000102,	A0803CB0747 (KNS)                       ,
	T,	008YQ061       ,	 N,	S22000102,	A0803CB0859                             ,
	T,	008YQ061       ,	 N,	S32000102,	A0803CB0859(KNS)                        ,
	T,	008YD052       ,	 F,	S22000102,	A0803CB1020                             ,
	T,	008YQ037       ,	 M,	S22000102,	A0803CB0883                             ,
	T,	048TW394       ,	 O,	S22000102,	A0801CB0850 (UTC)                       ,
	T,	048TW394       ,	 O,	S22000102,	A0803CB0850 (KNS)                       ,
