,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
28,28,ABU054MF6001A,ACD054MF2003A,84.0,BB515,MC,,R14CDAR02,BB515_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7523.79,2022-04-02 08:05:00,2022-04-02 09:29:00
29,29,AMS048TW1036A,AAB096EL1003A,84.0,BB531,MC,,R13ABN408,BB531_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.269999999999,2022-04-02 08:05:00,2022-04-02 09:29:00
30,30,ABU048TG1002A,AMS078C93001B,253.0,BB532,MC,R13BUEV03,R13MSEV07,BB532_1,169.0,2022-04-02 10:54:00,2022-04-02 12:18:00,7521.809999999999,2022-04-02 10:54:00,2022-04-02 12:18:00
31,31,ABU048TG1002A,ACD054MF2003A,84.0,BB534,MC,,R14CDAS02,BB534_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7523.79,2022-04-02 08:05:00,2022-04-02 09:29:00
32,32,AAB096EL1012A,AAB096EL1003A,84.0,BB538,MC,,R13ABN409,BB538_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.269999999999,2022-04-02 08:05:00,2022-04-02 09:29:00
33,33,ACD096EL1002A,ACD054TN1001A,84.0,BB541,MC,,R14CDAU01,BB541_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7558.39,2022-04-02 08:05:00,2022-04-02 09:29:00
34,34,ABU054MF6001A,AYZ084CC2001A,303.0,BB543,MC,,R13YZAD01,BB543_1,219.0,2022-04-02 11:44:00,2022-04-02 13:08:00,7521.36,2022-04-02 11:44:00,2022-04-02 13:08:00
35,35,AAB096EF3001A,AMS078C93001B,84.0,BB544,MC,,R13MSEV03,BB544_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.809999999999,2022-04-02 08:05:00,2022-04-02 09:29:00
36,36,ABU048TP2010A,ACD054TN1001A,84.0,BB553,MC,,R14CDB305,BB553_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7522.11,2022-04-02 08:05:00,2022-04-02 09:29:00
37,37,ABU096EF2001A,AAB060EM2001A,84.0,BB569,MC,,R14ABBD01,BB569_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.48,2022-04-02 08:05:00,2022-04-02 09:29:00
38,38,ABU048TG1002A,AAB096EL1003A,412.0,BB571,MC,R13BUEU05,R13ABN405,BB571_1,328.0,2022-04-02 13:33:00,2022-04-02 14:57:00,7521.269999999999,2022-04-02 13:33:00,2022-04-02 14:57:00
39,39,ABU060C91003A,AAB096EL1017A,892.0,BB574,MC,R14BUA202,R14ABC703,BB574_1,808.0,2022-04-02 21:33:00,2022-04-02 22:57:00,7521.58,2022-04-02 21:33:00,2022-04-02 22:57:00
40,40,AAB096EL1012A,AAB048TW2006A,120.0,BB575,"CWN,SC",,R14ABDQ06,BB575_1,0.0,2022-04-02 08:05:00,2022-04-02 10:05:00,7541.07,2022-04-02 08:05:00,2022-04-02 10:05:00
41,41,AAB048TW2006A,ACD054TN1001A,1011.820717,BB575,"CWN,SC",R14ABDQ12,R14CDBB03,BB575_5,891.820717,2022-04-02 22:56:49,2022-04-03 00:56:49,,2022-04-02 22:56:49,2022-04-03 00:56:49
42,42,ABU048TG1002A,AAB048TW2006A,4.0,BB584,"CWN,SC",R13BUEV04,R14ABDQ05,BB584_1,-116.0,2022-04-02 06:09:00,2022-04-02 08:09:00,7541.07,2022-04-02 06:09:00,2022-04-02 08:09:00
43,43,AAB048TW2006A,AUL054TN1008A,1009.883379,BB584,"CWN,SC",R14ABDQ16,R14ULA102,BB584_4,889.883379,2022-04-02 22:54:53,2022-04-03 00:54:53,7535.73,2022-04-02 22:54:53,2022-04-03 00:54:53
44,44,AAW024MAA006A,AAB024MA5013A,248.0,BB591,"CWN,SC",R14AWA305,R12ABCE02,BB591_1,128.0,2022-04-02 10:13:00,2022-04-02 12:13:00,7613.04,2022-04-02 10:13:00,2022-04-02 12:13:00
45,45,AAB024MA5013A,ACD054TN1001A,956.690537,BB591,"CWN,SC",R12ABCE01,R14CDAU05,BB591_3,836.690537,2022-04-02 22:01:41,2022-04-03 00:01:41,7523.309999999999,2022-04-02 22:01:41,2022-04-03 00:01:41
46,46,ABU048TP2010A,AMS078C93001B,84.0,BB598,MC,,R13MSEV06,BB598_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.809999999999,2022-04-02 08:05:00,2022-04-02 09:29:00
47,47,ABU060C91003A,ACD084CC2002A,1405.46185,BB604,"CWN,SC",R14BUA201,R14CDAP03,BB604_2,1285.46185,2022-04-03 05:30:27,2022-04-03 07:30:27,7522.03,2022-04-03 05:30:27,2022-04-03 07:30:27
48,48,AAB096EL1012A,ABU024MA6010A,120.0,BB609,"CWN,SC",,R14VGA301,BB609_1,0.0,2022-04-02 08:05:00,2022-04-02 10:05:00,7521.08,2022-04-02 08:05:00,2022-04-02 10:05:00
49,49,ABU024MA6010A,AAB024MA5013A,455.257483,BB609,"CWN,SC",R14VGA301,R12ABCZ01,BB609_2,335.257483,2022-04-02 13:40:15,2022-04-02 15:40:15,7550.36,2022-04-02 13:40:15,2022-04-02 15:40:15
50,50,AAB024MA5013A,AAW024MA6037B,563.487798,BB609,MC,R12ABCZ01,R14AWAZ01,BB609_3,479.487798,2022-04-02 16:04:29,2022-04-02 17:28:29,7613.04,2022-04-02 16:04:29,2022-04-02 17:28:29
51,51,AAW024MA6037B,IS048XJ2006A,1113.119594,BB609,"CWN,SC",R14AWAZ01,R13ISB501,BB609_4,993.119594,2022-04-03 00:38:07,2022-04-03 02:38:07,7521.08,2022-04-03 00:38:07,2022-04-03 02:38:07
52,52,IS048XJ2006A,AAB060NR1007A,1674.799133,BB609,"CWN,SC",R13ISB501,R14ABDP08,BB609_5,1554.799133,2022-04-03 09:59:47,2022-04-03 11:59:47,7521.8,2022-04-03 09:59:47,2022-04-03 11:59:47
53,53,ABU096EF2001A,ABU024MA6011A,120.0,BB615,"CWN,SC",,R14VGA101,BB615_1,0.0,2022-04-02 08:05:00,2022-04-02 10:05:00,7681.0,2022-04-02 08:05:00,2022-04-02 10:05:00
54,54,ABU024MA6011A,ABU048TP2005A,427.730436,BB615,"CWN,SC",R14VGA101,R14VGA401,BB615_2,307.730436,2022-04-02 13:12:43,2022-04-02 15:12:43,,2022-04-02 13:12:43,2022-04-02 15:12:43
55,55,ABU048TP2005A,AAB024MA5012A,883.573289,BB615,"CWN,SC",R13VGDI01,R11ABEQ03,BB615_4,763.573289,2022-04-02 20:48:34,2022-04-02 22:48:34,7551.73,2022-04-02 20:48:34,2022-04-02 22:48:34
56,56,AAB024MA5012A,AAB060NR1007A,1753.737122,BB615,"CWN,SC",R11ABEQ01,R14ABDP07,BB615_6,1633.737122,2022-04-03 11:18:44,2022-04-03 13:18:44,7521.8,2022-04-03 11:18:44,2022-04-03 13:18:44
57,57,AAW024MAA006A,ABU024MA6002B,44.0,BB618,MC,R14AWA304,R14BUA901,BB618_1,-40.0,2022-04-02 07:25:00,2022-04-02 08:49:00,,2022-04-02 07:25:00,2022-04-02 08:49:00
58,58,AAB096EL1012A,AUL054TN1008A,84.0,BB620,MC,,R14ULA106,BB620_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7535.73,2022-04-02 08:05:00,2022-04-02 09:29:00
59,59,AAW024MA6050A,AAB096EL1003A,84.0,BB621,MC,,R14ABDI04,BB621_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.269999999999,2022-04-02 08:05:00,2022-04-02 09:29:00
60,60,AAW024MA6041B,AAW024XJ6010B,604.0,BB701,MC,R14AWB302,R14AWAE03,BB701_1,520.0,2022-04-02 16:45:00,2022-04-02 18:09:00,7524.16,2022-04-02 16:45:00,2022-04-02 18:09:00
61,61,AYU096EL2001A,AAB162KE1006A,2125.144899,BB702,"CWN,SC",R14YUE202,R14ABK505,BB702_3,2005.144899,2022-04-03 17:30:08,2022-04-03 19:30:08,,2022-04-03 17:30:08,2022-04-03 19:30:08
62,62,AAW052XY1002A,AAW024XJ6010B,1398.0,BB704,MC,R14AWA403,R14AWAT02,BB704_1,1314.0,2022-04-03 05:59:00,2022-04-03 07:23:00,7525.25,2022-04-03 05:59:00,2022-04-03 07:23:00
63,63,ACD084CC2004B,AMS078C93001B,84.0,BB705,MC,,R13MSEV02,BB705_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.809999999999,2022-04-02 08:05:00,2022-04-02 09:29:00
64,64,AAB024XJ6011A,AAB162KE1006A,147.0,BB713,MC,,R14ABK104,BB713_2,63.0,2022-04-02 09:08:00,2022-04-02 10:32:00,,2022-04-02 09:08:00,2022-04-02 10:32:00
65,65,ABU096EF5001A,ANV153XT9078A,-13662.0,BB714,MC,R10BUC104,R09NVJM07,BB714_1,-13746.0,2022-03-23 18:59:00,2022-03-23 20:23:00,7520.68,2022-03-23 18:59:00,2022-03-23 20:23:00
66,66,AMS096EC3001B,AAB048TW2006A,84.0,BB716,MC,,R14ABDQ02,BB716_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7541.07,2022-04-02 08:05:00,2022-04-02 09:29:00
67,67,ACD084CC2004B,ACD054TN1001A,84.0,BB717,MC,,R14CDB301,BB717_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7633.0,2022-04-02 08:05:00,2022-04-02 09:29:00
68,68,AAW048TP1008B,AAB060EM2001A,120.0,BB719,"CWN,SC",,R14ABBJ01,BB719_1,0.0,2022-04-02 08:05:00,2022-04-02 10:05:00,7521.48,2022-04-02 08:05:00,2022-04-02 10:05:00
69,69,AAB060EM2001A,AAB162KE1006A,1878.524794,BB719,"CWN,SC",R14ABBJ01,R14ABD901,BB719_2,1758.524794,2022-04-03 13:23:31,2022-04-03 15:23:31,,2022-04-03 13:23:31,2022-04-03 15:23:31
70,70,AAW048TP1008B,AAB162KE1006A,84.0,BB721,MC,,R14ABD302,BB721_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.8,2022-04-02 08:05:00,2022-04-02 09:29:00
71,71,AMS096EC3001B,ANV132X2C059A,1092.0,BB722,MC,R14MSCJ01,R14NVP215,BB722_1,1008.0,2022-04-03 00:53:00,2022-04-03 02:17:00,7521.08,2022-04-03 00:53:00,2022-04-03 02:17:00
72,72,ACD084CC2004B,ANV132X2C059A,616.877465,BB723,MC,R14CDAA05,R14NVP220,BB723_1,532.877465,2022-04-02 16:57:52,2022-04-02 18:21:52,7521.08,2022-04-02 16:57:52,2022-04-02 18:21:52
73,73,ACD084CC2004B,ANV132X2C059A,277.0,BB726,MC,R14CDA805,R14NVP219,BB726_1,193.0,2022-04-02 11:18:00,2022-04-02 12:42:00,7521.08,2022-04-02 11:18:00,2022-04-02 12:42:00
