,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
0,AAB008Y62011A,2200,TB-P,111.177,7.0,7.0,7.0
1,AAB008YB2005A,2200,TB-U,74.554,2.0,2.0,4.0
2,AAB008YD2003A,2200,TB-U,21.12,1.0,1.0,1.0
3,AAB008YD4001A,2200,TB-U,18.624,1.0,1.0,1.0
4,AAB008YD4004A,2200,TB-U,10.944,1.0,1.0,1.0
5,AAB008YM2023A,2200,TB-IP,25.156,0.0,0.0,1.0
6,AAB008YM2025A,2200,TB-IP,17.69,2.0,2.0,2.5
7,AAB008YM2025A,2200,TB-U,144.0,10.0,10.0,3.0
8,AAB008YM2036A,2200,TB-R,439.44,14.0,14.0,14.0
9,AAB008YQ2041A,2200,TB-U,0.0,1.0,0.0,0.5
10,AAB008YQ3004A,2200,TB-U,28.0,3.0,3.0,3.0
11,AAB008YQ3013A,2200,TB-U,0.0,0.0,0.0,0.5
12,AAB008YQ3013A,3200,TB-U,7.61,0.0,0.0,0.5
13,AAB008YQ3020A,2200,TB-U,4.083,1.0,1.0,1.0
14,AAB008YQ3021A,2200,TB-U,104.228,9.0,10.0,10.0
15,AAB008YQ3023A,2200,TB-U,52.073,5.0,2.0,2.0
16,AAB008YQ3025A,2200,TB-U,8.856,1.0,1.0,0.0
17,AAB024MA0007A,2200,TA-1,35.345,0.0,0.0,1.5
18,AAB024MA5010A,2200,TA-1,28.524,0.0,0.0,2.0
19,AAB024MA6020A,2200,TA-1,12.32,0.0,0.0,0.3333333333333333
20,AAB024MA6020A,2200,TA-2,24.184,0.0,0.0,1.0
21,AAB024MA6024B,2200,TA-2,21.307,0.0,0.0,1.0
22,AAB024MAA019A,2200,TA-2,0.0,1.0,0.0,0.0
23,AAB024MAA020A,2200,TA-2,1.291,1.0,1.0,1.0
24,AAB024XJ6006A,2200,TA-2,0.0,1.0,0.0,0.0
25,AAB024XJ6007A,3200,TA-2,0.0,1.0,0.0,0.0
26,AAB048TW2002A,2200,TA-2,9.27,3.0,3.0,2.0
27,AAB054TN1005A,2200,TA-1,25.92,0.0,0.0,7.5
28,AAB054TN1005A,2200,TA-2,34.559,6.0,6.0,6.0
29,AAB054TS1004A,2200,TA-2,6.938,2.0,3.0,3.0
30,AAB084CC9001A,2200,TA-P,12.051,4.0,3.0,3.0
31,AAB084CC9002A,2200,TA-5,0.0,1.0,0.0,2.0
32,AAB084CC9002A,2200,TA-P,0.0,1.0,0.0,0.0
33,AAB084N43003A,2200,TA-2,0.0,0.0,0.0,1.0
34,AAB096EF3001A,2200,TA-1,0.0,0.0,0.0,6.0
35,AAB096EL1003A,2200,TA-1,15.553,8.0,2.0,6.0
36,AAB096EL1003A,2200,TA-2,5.939,1.0,1.0,4.0
37,AAB096EL1012A,2200,TA-1,46.783,15.0,14.0,12.0
38,AAB096EL1017A,2200,TA-1,0.0,1.0,0.0,2.5
39,AAB096EL1019A,2200,TA-1,11.943,2.0,2.0,2.5
40,AAB096EL1019A,2200,TA-2,11.947,3.0,3.0,3.0
41,AAB178NN2001A,2200,TA-1,3.911,0.0,0.0,3.5
42,AAS008FG1011A,2200,TB-P,96.988,5.0,2.0,4.0
43,AAS008FG1011A,2200,TB-U,30.24,2.0,0.0,0.0
44,AAS008FG1018A,2200,TB-U,0.054,0.0,0.0,1.0
45,AAS008YQ2001B,2200,TB-I,90.161,2.0,2.0,7.0
46,AAS008YQ2001B,2200,TB-U,67.544,4.0,4.0,4.0
47,AAS008YQ2002B,2200,TB-I,17.28,1.0,1.0,1.0
48,AAS008YQ2002B,2200,TB-U,47.52,3.0,2.0,2.0
49,AAS008YQ2016A,2200,TB-U,56.289,3.0,3.0,3.0
50,AAS024MA0006A,2200,TB-U,0.0,0.0,0.0,1.5
51,AAS048TG2003A,2200,TB-I,17.92,0.0,0.0,5.0
52,AAS048TG2003A,2200,TB-U,7.68,0.0,0.0,3.5
53,AAS060NR2004A,2200,TB-U,6.677,2.0,2.0,2.0
54,AAS067N51014A,2200,TB-U,20.791,2.0,2.0,2.0
55,AAS067N51015A,2200,TB-U,12.044,1.0,1.0,1.0
56,AAS084CC2007A,2200,TB-P,61.82,16.0,16.0,16.0
57,AAS084CC2007A,2200,TB-U,23.275,7.0,7.0,7.0
58,AAS096EL1009B,2200,TB-U,58.933,22.0,21.0,21.0
59,AAS096EL1016A,2200,TB-U,4.682,0.0,0.0,2.5
60,AAS162KE1008A,2200,TB-U,35.608,13.0,13.0,7.0
61,AAW008Y62016A,2200,TB-IP,81.613,0.0,0.0,2.5
