route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wlot_last_trans,WB_move_in_entity
BGA161,R05AWC6,MXIC,MBGA24J3U,024MAAW078,1,1721,2005,N,N,AAW024MAA002B,,1,,,6769A-24XD10JYDW99,67.25,N,,2022/2/8 05:44,
BGA161,RXXAW2I,ChipMOS,MBGA24J3U,024MAAW078,384,0,2070,N,N,AAW024MAA002B,,7,,,6769A-24XD10JYDW99,67,N,,2022/1/29 02:00,
BGA161,R05VGEE,ISSI-VG,MBGA24J4U,024MAVG026,27986,3,2070,N,N,ABU024MAA007A,,5,,,IS25WP064A-RHLE,67.45,N,,2022/2/7 18:21,
BGA161,PXXAWJ3,ChipMOS,MINIBGA24A3L,024MAAW066,48,0,2070,N,N,AAW024MA6037B,,2,,Y,6762A-24XD10RTE13G{A},76.03,N,,2021/11/23 20:45,
BGA161,RXXVG28,ChipMOS,MBGA24J4U,024MAVG026,87,0,2070,N,N,ABU024MAA007A,,5,,,IS25WP064A-RHLE,68.33,N,,2022/1/28 22:20,
BGA161,R06AWC201,MXIC,MINIBGA24A4L,024MAAW047,4931,0,2080,N,N,AAW024MA6024A,4,1,,Y,6732X-24XD05RYE999{A},67.74,N,DA,2022/2/8 06:05,
BGA161,R05AWBN01,MXIC,MINIBGA24A4L,024MAAW058,8640,0,2090,N,N,AAW024MA6029D,,2,BB444-1,Y,6750N-24XD08QYD999{A},67.1,N,DA,2022/2/7 22:04,
BGA161,R05VGEG01,ISSI-VG,VFBGA64B4U,064RKVG005,2240,0,2090,N,N,ABU064RK1007A,,1,BB449-1,,IS29GL128-70DLEL-AS,67.42,N,DA,2022/2/1 11:43,
BGA161,R06AWAF03,MXIC,MINIBGA24A4L,024MAAW045,4127,0,2090,N,N,AAW024MA6022C,,3,BB481-1,Y,6732O-24XD08RYI399{A},67.1,N,DA,2022/2/8 01:53,
BGA161,R05AWBN02,MXIC,MINIBGA24A4L,024MAAW058,7936,0,2150,N,N,AAW024MA6029D,,2,N2A10-6,Y,6750N-24XD08QYD999{A},67.1,N,DA,2022/2/5 04:20,
BGA161,R05VGED05,ISSI-VG,MINIBGA48J3U,048MAVG003,6157,0,2150,N,N,ABU048MA3002A,,6,N2A17-1,,IS29GL032-70BLED,67.74,N,DA,2022/2/6 19:44,
BGA161,R06AWAG01,MXIC,MINIBGA24A4L,024MAAW045,8339,0,2150,N,N,AAW024MA6022C,,3,N2A17-1,Y,6732O-24XD08RYI399{A},67.1,N,DA,2022/2/6 14:10,
BGA161,R06AWAI01,MXIC,MINIBGA24A4L,024MAAW045,3402,0,2150,N,N,AAW024MA6022C,,1,N2A07-1,Y,6732L-24XD08QYI499{A},66.94,N,DA,2022/2/7 13:03,
BGA161,PXXAWAP01,ChipMOS,MINIBGA24A4L,024MAAW059,300,0,2150,N,N,AAW024MA6031B,,9,N2WB TB,Y,6738V-24XD05STE999{A},104.54,N,DA,2021/6/24 08:09,
BGA161,R05VGED02,ISSI-VG,MINIBGA48J3U,048MAVG003,6158,0,2150,N,N,ABU048MA3002A,,6,N2A08-4,,IS29GL032-70BLED,67.74,N,DA,2022/2/6 05:52,
BGA161,R05VGED06,ISSI-VG,MINIBGA48J3U,048MAVG003,1249,0,2150,N,N,ABU048MA3002A,,6,N2A17-1,,IS29GL032-70BLED,67.74,N,DA,2022/2/6 19:44,
BGA161,R06AWAG02,MXIC,MINIBGA24A4L,024MAAW045,8520,0,2150,N,N,AAW024MA6022C,,3,N2A17-1,Y,6732O-24XD08RYI399{A},67.1,N,DA,2022/2/6 14:10,
BGA161,R06AWAJ01,MXIC,MINIBGA24A4L,024MAAW045,1678,0,2150,N,N,AAW024MA6022C,,1,N2A10-1,Y,6732L-24XD08QYI499{A},66.94,N,DA,2022/2/7 13:03,
BGA161,PXXAWAF01,ChipMOS,MINIBGA24A4L,024MAAW045,144,0,2150,N,N,AAW024MA6022C,,3,N2WB TB,Y,6732L-24XD08RTE9VA,105.02,N,DA,2021/6/20 08:19,
BGA161,R05VGED03,ISSI-VG,MINIBGA48J3U,048MAVG003,6159,0,2150,N,N,ABU048MA3002A,,6,N2A17-2,,IS29GL032-70BLED,67.74,N,DA,2022/2/6 11:47,
BGA161,R06AWAG03,MXIC,MINIBGA24A4L,024MAAW045,2278,0,2150,N,N,AAW024MA6022C,,3,N2A17-1,Y,6732O-24XD08RYI399{A},67.1,N,DA,2022/2/6 14:10,
BGA161,R06AWAK01,MXIC,MINIBGA24A4L,024MAAW045,8508,0,2150,N,N,AAW024MA6022C,,2,N2A10-3,Y,6732L-24XD08QYI499{A},66.94,N,DA,2022/2/7 20:29,
BGA161,R05VGED04,ISSI-VG,MINIBGA48J3U,048MAVG003,6159,0,2150,N,N,ABU048MA3002A,,6,N2A08-2,,IS29GL032-70BLED,67.74,N,DA,2022/2/6 13:21,
BGA161,R06AWAH01,MXIC,MINIBGA24A4L,024MAAW045,6675,0,2150,N,N,AAW024MA6022C,,1,N2A10-1,Y,6732L-24XD08QYI499{A},67.1,N,DA,2022/2/7 13:03,
BGA161,R06AWAK02,MXIC,MINIBGA24A4L,024MAAW045,3370,0,2150,N,N,AAW024MA6022C,,2,N2A10-3,Y,6732L-24XD08QYI499{A},66.94,N,DA,2022/2/7 20:29,
BGA161,R05VGED01,ISSI-VG,MINIBGA48J3U,048MAVG003,6138,0,2200,N,Y,ABU048MA3002A,,6,,,IS29GL032-70BLED,67.74,N,DA,2022/2/8 07:45,BB599
BGA161,R06AWAF01,MXIC,MINIBGA24A4L,024MAAW045,8401,0,2200,N,Y,AAW024MA6022C,,3,,Y,6732O-24XD08RYI399{A},67.1,N,DA,2022/2/8 02:58,BB472
BGA161,R06AWAF02,MXIC,MINIBGA24A4L,024MAAW045,8456,0,2200,N,Y,AAW024MA6022C,,3,,Y,6732O-24XD08RYI399{A},67.1,N,DA,2022/2/7 19:17,BB481
BGA161,R06AWAE01,MXIC,MINIBGA24A4L,024MAAW045,3372,0,2250,N,N,AAW024MA6022C,,1,,Y,6732O-24XD08RYI399{A},66.72,N,BB472,2022/2/8 04:45,
BGA161,R06AWA203,MXIC,MBGA24J3U,024MAAW083,6140,0,2250,N,N,AAW024MAA006A,4,4,,Y,6769A-24XD08RYB2GE,67.35,N,BB489,2022/2/7 07:55,
BGA161,R06AWA101,MXIC,MBGA24J3U,024MAAW083,6010,0,2250,N,N,AAW024MAA006A,4,2,,Y,6769A-24XD08RYB2GE,67.35,N,BB489,2022/2/7 18:59,
BGA161,R06AWA204,MXIC,MBGA24J3U,024MAAW083,3485,0,2250,N,N,AAW024MAA006A,4,4,,Y,6769A-24XD08RYB2GE,67.35,N,BB489,2022/2/7 12:40,
BGA161,R06AWA304,MXIC,MINIBGA24A3L,024MAAW065,8254,0,2250,N,N,AAW024MA6036A,4,4,,Y,6757L-24XD08QYD999{A},67.77,N,BB726,2022/2/8 05:12,
BGA161,R06AWAC01,MXIC,MINIBGA24A4L,024MAAW045,1624,0,2250,N,N,AAW024MA6022C,,1,,Y,6732O-24XD08RYI399{A},66.72,N,BB481,2022/2/7 19:54,
BGA161,R06AWA102,MXIC,MBGA24J3U,024MAAW083,4677,0,2250,N,N,AAW024MAA006A,4,2,,Y,6769A-24XD08RYB2GE,67.35,N,BB489,2022/2/8 03:00,
BGA161,R06AWAD01,MXIC,MINIBGA24A4L,024MAAW045,3325,0,2250,N,N,AAW024MA6022C,,1,,Y,6732O-24XD08RYI399{A},66.72,N,BB472,2022/2/7 22:00,
BGA161,R06AWA302,MXIC,MINIBGA24A3L,024MAAW065,8632,0,2320,N,N,AAW024MA6036A,4,4,,Y,6757L-24XD08QYD999{A},67.15,N,BB726,2022/2/8 00:39,
BGA161,R06AWA201,MXIC,MBGA24J3U,024MAAW083,12199,0,2405,N,N,AAW024MAA006A,4,4,,Y,6769A-24XD08RYB2GE,66,N,BB489,2022/2/8 00:14,
BGA161,R06AWA303,MXIC,MINIBGA24A3L,024MAAW065,8611,0,2405,N,N,AAW024MA6036A,4,4,,Y,6757L-24XD08QYD999{A},67,N,BB726,2022/2/8 04:33,
BGA161,R06AWA301,MXIC,MINIBGA24A3L,024MAAW065,8600,0,2405,N,N,AAW024MA6036A,4,4,,Y,6757L-24XD08QYD999{A},67,N,BB726,2022/2/8 07:42,
BGA170,R05UKAL,QST,LGA12CBP,012DNUK014,1,23370,2003,Y,N,AUK012DN2003A,,1,,,QMA7981-HCAAY,68.48,N,,2022/1/31 19:32,
BGA170,P46UKT4,QST,LGA12CBP,012DNUK014,0,5,2070,N,Y,AUK012DN2003A,,4,,,QMA7981-HCAAY,70.83,N,,2022/2/6 23:06,
BGA170,P46UKT404,QST,LGA12CBP,012DNUK014,10065,0,2070,N,Y,AUK012DN2003A,,4,,,QMA7981-HCAAY,70.83,N,,2022/2/6 23:06,
BGA170,P46UKT403,QST,LGA12CBP,012DNUK014,24000,0,2070,N,Y,AUK012DN2003A,,4,,,QMA7981-HCAAY,70.83,N,,2022/2/6 23:06,
BGA170,P46UKT304,QST,LGA12CBP,012DNUK014,24000,0,2080,N,N,AUK012DN2003A,,5,,,QMA7981-HCAAY,72.2,N,DA,2022/2/8 05:56,
BGA170,P46UKT305,QST,LGA12CBP,012DNUK014,2087,0,2080,N,N,AUK012DN2003A,,5,,,QMA7981-HCAAY,72.2,N,DA,2022/2/8 07:08,
